Name,Predictions,Predictions StDev,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,[5.54975579 6.02152546 5.43562928 ... 5.9000138  5.87476713 6.76557989],,0.3886964273273693,7.123736745216874,0.36595995636313694,0.28501160227837,0.7244373835806626
Random Forest Regressor,[6.16422479 6.29871616 5.57571229 ... 5.58218926 5.56392436 6.58476357],,0.30536679583422516,5.67382541660704,0.37368569824785347,0.2328898810730472,0.7748311140562028
Support Vector Regressor,[5.79366093 6.21904683 6.12069093 ... 5.68824747 5.82148867 6.86731904],,0.3578743734655526,6.635023921815386,0.39312902899294755,0.28262450062029965,0.7267453456892169
Kernel Ridge Regressor,[5.52307418 5.94582207 5.44134157 ... 5.52315982 5.48212712 6.31740506],,0.5303108064690699,9.395298480892386,0.46298233326814414,0.4955821923762902,0.5208478374551913
K-NN Regressor,[6.25452513 6.29980441 5.78987438 ... 5.54781381 5.64268482 7.01363726],,0.38424526772553336,7.0056386732138805,0.383296774208412,0.29456084288804124,0.7152047288178973
Gaussian Process Regressor,[5.62740108 6.11903391 5.83957639 ... 5.71675482 5.77647588 6.7551451 ],,0.3398931001360091,6.244376835766148,0.34542225356508827,0.23484385277805123,0.7729419223491425
Gradient Boosting Regressor,[5.7158287  6.00013281 5.77083623 ... 5.62570447 5.65866423 6.66378926],,0.38694939813649315,7.092856529109325,0.3404635754187515,0.26564528290511413,0.743161651625353
TPOT Regressor 1,[6.13457121 6.29694062 5.6075435  ... 5.57473938 5.5811947  6.55175053],,0.30615248519640004,5.691662126626717,0.36999913472296503,0.2306287038876748,0.7770173264644273
TPOT Regressor 2,[6.20707277 6.31899359 5.65638692 ... 5.59793634 5.57114562 6.6223729 ],,0.30666344095233083,5.702836466008658,0.3721192604288084,0.23251520999880695,0.7751933636653027
Ensemble Model (L1),[6.03029718 6.23597194 5.68044536 ... 5.61825246 5.64987472 6.63143149],[0.48261402 0.46911475 0.47859026 ... 0.49074809 0.47836404 0.47172397],0.3137415624143146,5.8110864667178594,0.35855737738107124,0.22699716086056718,0.780528472993865
