starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)OP(=O)(O)OC(C)=O,AdenosineOnly_gen3,5.757650283775594,0.4795908575343949,4.81765220300818,6.697648364543008,1.7472285447658378e-06,2.0060956465665798e-07,1.5217657208266265e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OP(=O)(O)OP(=O)(O)O,GuanosineOnly_gen3,5.693192348396923,0.4789084103097144,4.754531864189882,6.631852832603963,2.0267848606269547e-06,2.3342489245930665e-07,1.7598195410897553e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,AdenosineOnly_gen3,5.692370863729733,0.4732519205872829,4.764797099378659,6.619944628080808,2.0306222300371336e-06,2.399138786250437e-07,1.718711174506665e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,AdenosineOnly_gen3,5.683029990617546,0.4710670640250807,4.759738545128387,6.606321436106704,2.074770237280328e-06,2.475589111763128e-07,1.7388473382153704e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=C(O)CC(=O)OP(=O)(O)O,GuanosineOnly_gen3,5.679012689424159,0.476017291303127,4.74601879847003,6.612006580378288,2.094051269964157e-06,2.443393530405604e-07,1.794655943330822e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O,GuanosineOnly_gen3,5.676937461340754,0.4714116256353796,4.752970675095409,6.600904247586098,2.104081406904693e-06,2.506661856106864e-07,1.7661570730397298e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1N=C2NC=Nc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,InosineOnly_gen3,5.670250268338334,0.471980250134134,4.745168978075432,6.595331558601236,2.1367304135259133e-06,2.539033560844118e-07,1.798171135071074e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,AdenosineOnly_gen3,5.669406810473407,0.470421401434035,4.747380863662698,6.591432757284116,2.140884261614182e-06,2.561929902304307e-07,1.7890362329995105e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,AdenosineOnly_gen3,5.666539647576784,0.4700708874567662,4.745200708161522,6.587878586992045,2.1550648945751094e-06,2.582982197978996e-07,1.7980397632875178e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)OP(=O)(O)O,AdenosineOnly_gen3,5.664334328560654,0.478858515334192,4.725771638505639,6.60289701861567,2.166036005083209e-06,2.495186323865225e-07,1.8803052623537238e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C(O)CC(=O)O,InosineOnly_gen3,5.650949586183893,0.4755297998878939,4.718911178403621,6.582987993964165,2.2338315156372303e-06,2.612233568386797e-07,1.9102439003322885e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O,AdenosineOnly_gen3,5.645439736082341,0.4721122901580117,4.720099647372638,6.570779824792044,2.2623524483465043e-06,2.686706185663104e-07,1.905023566719558e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2OC(C(O)O)=C[C@H]2O)c(=O)[nH]1,GuanosineOnly_gen3,5.62918996509899,0.4757028597240771,4.696812360039799,6.561567570158181,2.348605290807148e-06,2.744305334664376e-07,2.009961042721188e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NC(=O)O,AdenosineOnly_gen3,5.626957119833771,0.4778164170800386,4.690436942356896,6.563477297310647,2.360711307051594e-06,2.732264268915971e-07,2.03968479134426e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1nc2nc3c1nc(C(O)O)n3[C@@H]1OC[C@@H](O)[C@H]1O2,AdenosineOnly_gen3,5.62566932211431,0.4734121731248699,4.697781462789565,6.553557181439055,2.367721827792262e-06,2.795392647615705e-07,2.0054809325572164e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,InosineOnly_gen3,5.625424597007206,0.4749494608260135,4.694523653788219,6.556325540226193,2.3690564159353902e-06,2.777630419701434e-07,2.020581378313071e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=CNc1ncnc2c1ncn2[C@@H]1OC[C@@H](O)[C@H]1O,AdenosineOnly_gen3,5.624362423197559,0.4703628071050577,4.702451321271646,6.546273525123473,2.374857616432553e-06,2.84267018757318e-07,1.9840320284016475e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,O=C1Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,AdenosineOnly_gen3,5.61787380575314,0.4708529600472844,4.695002004060463,6.5407456074458175,2.4106057838638023e-06,2.879084374814706e-07,2.0183570499116084e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC1(C)O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,AdenosineOnly_gen3,5.615975319616828,0.4709556385980449,4.69290226796466,6.539048371268996,2.4211666345363414e-06,2.890357939367216e-07,2.028139073140335e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H]1[C@@H](O)[C@H]2O,AdenosineOnly_gen3,5.614788533645848,0.4713800435394702,4.690883648308486,6.53869341898321,2.4277919460196385e-06,2.892721217208377e-07,2.037587894088875e-05
