starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(=O)CC(=O)C(N)=CC(=O)Cl,3,0.0769,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(C(=O)Cl)=C(N)C(=O)CC=O,3,0.0851,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(=O)C(C=O)C(N)=CC(=O)Cl,3,0.0909,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(=O)C(C=O)C(=O)Cl,3,0.093,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(=O)CC(=O)C(=O)Cl,3,0.0714,
NC1=CC(=O)O/C1=C/C=O,NC(C(=O)CC=O)=C(C(=O)Cl)C(=O)Cl,3,0.0976,
NC1=CC(=O)O/C1=C/C=O,NC1=CC(O)OC1=C(C(=O)Cl)C(=O)Cl,3,0.1951,
NC1=CC(=O)O/C1=C/C=O,NC1=C(C(=O)Cl)C(O)O/C1=C/C(=O)Cl,3,0.1628,
NC1=CC(=O)O/C1=C/C=O,NC1=CC(O)(C(=O)Cl)O/C1=C/C(=O)Cl,3,0.2093,
NC1=CC(=O)O/C1=C/C=O,NC1=CC(=O)OC1=C(C(=O)Cl)C(=O)Cl,3,0.3824,
NC1=CC(=O)O/C1=C/C=O,NC1=C(C(=O)Cl)C(=O)O/C1=C/C(=O)Cl,3,0.2195,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)/C(C(=O)O)=C1/OC(=O)C=C1N,3,0.3023,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)(/C=C1/OC(=O)C=C1N)C(=O)O,3,0.4146,
NC1=CC(=O)O/C1=C/C=O,CC(Cl)(C#N)NC1=CC(=O)O/C1=C/C=O,3,0.4146,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C/C(Cl)C#N,3,0.25,
NC1=CC(=O)O/C1=C/C=O,NC1=C(CCl)C(=O)O/C1=C(\O)CCl,3,0.1905,
NC1=CC(=O)O/C1=C/C=O,NC1=CC(=O)O/C1=C(\O)C(Cl)CCl,3,0.3333,
NC1=CC(=O)O/C1=C/C=O,NC(=O)NC(=CC(=O)Cl)C(=O)CC=O,3,0.087,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(O)O/C1=C/C(=O)Cl,3,0.125,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C(\Cl)CO,3,0.25,
NC1=CC(=O)O/C1=C/C=O,CC(=O)OC1C=C(N)/C(=C\C(=O)Cl)O1,3,0.1915,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC(=CC(=O)Cl)C(=O)CC=O,3,0.0638,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(O)O/C1=C(\Cl)C=O,3,0.1429,
NC1=CC(=O)O/C1=C/C=O,CC(=O)OC1C=C(N)/C(=C(/Cl)C=O)O1,3,0.2128,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(=O)C(C=O)CC=O,3,0.087,
NC1=CC(=O)O/C1=C/C=O,CC(=O)O/C(CCl)=C1\OC(=O)C=C1N,3,0.3171,
NC1=CC(=O)O/C1=C/C=O,CC(=O)OC/C(Cl)=C1/OC(=O)C=C1N,3,0.3415,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(=O)Cl)C(=O)CC(=O)CC=O,3,0.0889,
NC1=CC(=O)O/C1=C/C=O,NC(C(=O)CC=O)=C(CC=O)C(=O)Cl,3,0.0952,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C(\O)CCl,3,0.2222,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C/C(=O)Cl,3,0.2857,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C(\Cl)C=O,3,0.2791,
NC1=CC(=O)O/C1=C/C=O,NC(=CCO)C(=O)CC(=O)C(N)=CCO,3,0.0789,
NC1=CC(=O)O/C1=C/C=O,NC(=CC(O)C(N)=CCO)C(=O)CC=O,3,0.1064,
NC1=CC(=O)O/C1=C/C=O,NC(=CCO)C(=O)C(C=O)C(N)=CCO,3,0.0909,
NC1=CC(=O)O/C1=C/C=O,NC(=CCO)C(CO)=C(N)C(=O)CC=O,3,0.087,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)C(=O)/C=C1/OC(=O)C=C1N,3,0.425,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)C1=C(N)/C(=C\C=O)OC1=O,3,0.3415,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)(C=O)/C=C1/OC(=O)C=C1N,3,0.4865,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)C(C=O)=C1OC(=O)C=C1N,3,0.375,
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)/C=C1/OC(=O)C(C=O)=C1N,3,0.2222,
NC1=CC(=O)O/C1=C/C=O,CC(=O)C(C(C)=O)C1(N)OC(=O)C=C1N,3,0.2143,
NC1=CC(=O)O/C1=C/C=O,CC(=O)C(N)=CC(C(=O)O)=C(N)C(C)=O,3,0.0976,
NC1=CC(=O)O/C1=C/C=O,CC(=O)CC(=O)CC1(N)OC(=O)C=C1N,3,0.1957,
NC1=CC(=O)O/C1=C/C=O,CC(=O)N(C)C1=CC(=O)OC1(N)CC=O,3,0.2083,
NC1=CC(=O)O/C1=C/C=O,CC(=O)N(C)C1(CC=O)OC(=O)C=C1N,3,0.234,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)OC1(N)C(C)C=O,3,0.2083,
NC1=CC(=O)O/C1=C/C=O,CCC(=O)NC1(CC=O)OC(=O)C=C1N,3,0.2292,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1(C(C)C=O)OC(=O)C=C1N,3,0.234,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1(CC=O)OC(=O)C(C)=C1N,3,0.1633,
NC1=CC(=O)O/C1=C/C=O,CCC(=O)NC1=CC(=O)OC1(N)CC=O,3,0.2041,
NC1=CC(=O)O/C1=C/C=O,CC(=O)CC1(N)OC(=O)C(C(C)=O)=C1N,3,0.1304,
NC1=CC(=O)O/C1=C/C=O,CC(=O)CC1(N)OC(=O)C=C1NC(C)=O,3,0.1702,
NC1=CC(=O)O/C1=C/C=O,CC(=O)CC1(NC(C)=O)OC(=O)C=C1N,3,0.1957,
NC1=CC(=O)O/C1=C/C=O,CC(=O)C(N)=CCC(=O)C(N)=CC(=O)O,3,0.0667,
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=C(C)C(=O)OC1(N)CC=O,3,0.14,
NC1=CC(=O)O/C1=C/C=O,CC(O)OC(C#N)/C=C1/OC(=O)C=C1N,3,0.3953,
NC1=CC(=O)O/C1=C/C=O,CC(=O)OC(C#N)CC1OC(=O)C=C1N,3,0.1731,
