starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
NC1=CC(=O)O/C1=C/C=O,NC1=C(CCl)C(=O)O/C1=C(\O)CCl,3,0.1905,,0.6699854731559753
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C(\O)CCl,3,0.2222,,0.9910687208175659
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C/C(=O)Cl,3,0.2857,,0.9896191954612732
NC1=CC(=O)O/C1=C/C=O,N#CC(Cl)C(=O)/C=C1/OC(=O)C=C1N,3,0.425,,0.891311526298523
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)OC1(N)C(C)C=O,3,0.2083,,0.9574429988861084
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=C(C)C(=O)OC1(N)CC=O,3,0.14,,0.725106418132782
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C/C(=O)CN,3,0.2955,,0.9730924963951111
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)OC1CC(O)C#N,3,0.1321,,0.7650068998336792
NC1=CC(=O)O/C1=C/C=O,CC(=O)NCC(=O)/C=C1/OC(=O)C=C1N,3,0.425,,0.9672203063964844
NC1=CC(=O)O/C1=C/C=O,CC(O)(C#N)OC/C=C1/OC(=O)C=C1N,3,0.3864,,0.7423758506774902
NC1=CC(=O)O/C1=C/C=O,C=C1OC(=O)C(C(O)C#N)=C1NC(C)=O,3,0.0962,,0.8951080441474915
NC1=CC(=O)O/C1=C/C=O,CC(O)(C#N)C(=O)/C=C1/OC(=O)C=C1N,3,0.4146,,0.6612098217010498
NC1=CC(=O)O/C1=C/C=O,C/C(C(=O)C(O)C#N)=C1\OC(=O)C=C1N,3,0.3023,,0.9565711617469788
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC/C(O)=C1/OC(O)C=C1N,3,0.1702,,0.9796873331069946
NC1=CC(=O)O/C1=C/C=O,CC(=O)NCCC(=O)C(N)=CC(=O)O,3,0.0638,,0.8976616859436035
NC1=CC(=O)O/C1=C/C=O,C/C(=C1\OC(O)C=C1N)C(O)(O)C#N,3,0.1489,,0.6685917377471924
NC1=CC(=O)O/C1=C/C=O,COC(=O)NC/C=C1/OC(=O)C=C1N,3,0.425,,0.7597749829292297
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC/C(O)=C1/OC(=O)C=C1N,3,0.3171,,0.9867636561393738
NC1=CC(=O)O/C1=C/C=O,CC(=O)NC1=CC(=O)O/C1=C(\O)CN,3,0.25,,0.9685804843902588
NC1=CC(=O)O/C1=C/C=O,COC(=O)NC1=CC(=O)O/C1=C/CN,3,0.2955,,0.8598366975784302
NC1=CC(=O)O/C1=C/C=O,CC(O)(C#N)/C(O)=C1/OC(O)C=C1N,3,0.1458,,0.934136688709259
NC1=CC(=O)O/C1=C/C=O,NC/C=C1/OC(=O)C=C1NC(=O)CO,3,0.3023,,0.8127478361129761
