starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](Cl)C(O)=CC(C)C,2,0.22,,0.91267085
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)Cl)[C@@H](O)C(O)=CC(C)C,2,0.2157,,0.8919898
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](O)C(O)=C(O)C(C)C,2,0.2041,,0.85399324
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC(O)[C@H](C(=O)O)[C@@H](O)C(O)=CC(C)C,2,0.18,,0.9857533
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,CCC(O)C[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,2,0.6098,,0.86239547
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC(C)[C@H](C(=O)O)[C@@H](O)C(O)=CC(C)C,2,0.18,,0.9932903
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,CC=CC[C@H](C(=O)O)[C@@H](O)C(O)=CC(C)C,2,0.1509,,0.99556917
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@@]1(C)C(O)OC(=C(O)C(C)C)[C@@H]1O,2,0.25,,0.609373
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](O)C(O)=C(C)C(C)C,2,0.1961,,0.9216709
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)OC)[C@@H](O)C(O)=CC(C)C,2,0.2308,,0.8437943
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](O)C(O)=CC(C)CC,2,0.1887,,0.9845861
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@@](C)(C(=O)O)[C@@H](O)C(O)=CC(C)C,2,0.2157,,0.8910532
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](OC)C(O)=CC(C)C,2,0.2353,,0.8357372
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@](C)(O)C(O)=CC(C)C,2,0.2157,,0.7863722
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC(C)[C@@H]1C(=O)OC(=C(O)C(C)C)[C@@H]1O,2,0.3333,,0.8996169
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=C(O)C(C)[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,2,0.5238,,0.8609626
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@@]1(C)C(=O)OC(=C(O)C(C)C)[C@@H]1O,2,0.34,,0.8393016
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC(O)[C@@]1(C)C(=O)OC(=CC(C)C)[C@@H]1O,2,0.4043,,0.92732716
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=C[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1OC(C)=O,2,0.4565,,0.9701283
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,CCC[C@H](C(=O)O)[C@@H](O)C(O)=CC(C)C,2,0.1569,,0.9737074
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](O)C(O)CC(C)C,2,0.2,,0.9915764
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(O)O)[C@@H](O)C(O)=CC(C)C,2,0.2083,,0.89531
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(N)O)[C@@H](O)C(O)=CC(C)C,2,0.2,,0.9484135
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC[C@H](C(=O)O)[C@@H](O)C(O)=CC(C)C,1,0.2245,,0.9973642
C=CC[C@@H]1C(=O)OC(=CC(C)C)[C@@H]1O,C=CC(C)[C@@H]1C(=O)OC(O)(CCC)[C@@H]1O,2,0.2941,,0.61909527
