starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C=C(C(=O)O)C(C)(C)S(=O)O,2,0.1698,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C=C(C(=O)O)C(C)(C)OO,2,0.1731,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C(OO)C(C(=O)O)=C(C)C,2,0.1569,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)(Cl)C=C1C=C(C(C)C)C(O)O1,2,0.2353,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C=C1C=C(C(C)CCl)C(O)O1,2,0.3778,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C=C1C=C(C(C)C)C(O)O1)CCCl,2,0.2917,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C1=CC(=CC(C)C(C)Cl)OC1O,2,0.2609,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C=C(C(=O)Cl)C(C)C,2,0.1915,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C(Cl)=C1C=C(C(C)C)C(O)O1,2,0.2245,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C=C1C=C(C(C)C)C(O)O1)CCl,2,0.2857,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C=C1C=C(C(C)(C)Cl)C(O)O1,2,0.3696,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(CCO)CC(=O)C=C(C(C)C)C(O)O,2,0.14,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C=C(C(O)O)C(C)CO,2,0.1837,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(CCO)CC(O)C=C(C(=O)O)C(C)C,2,0.1373,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C(O)C1(O)C=C(C(C)C)C(O)O1,2,0.1961,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(CO)CC1(O)C=C(C(C)C)C(O)O1,2,0.1887,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C(O)C(O)C=C(C(=O)O)C(C)C,2,0.1667,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)(O)CC1(O)C=C(C(C)C)C(O)O1,2,0.1667,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(CO)CC(O)C=C(C(=O)O)C(C)C,2,0.1569,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)CC(O)(C(=O)O)C(C)C,2,0.1667,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(O)C(O)=C(C(=O)O)C(C)C,2,0.1702,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC1(O)C=C(C(C)CO)C(O)O1,2,0.1887,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)(O)CC(O)C=C(C(=O)O)C(C)C,2,0.1346,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C1=CC(O)(CC(C)C(C)O)OC1O,2,0.1538,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C(=CC(O)CC(C)C(C)O)C(=O)O,2,0.1224,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC1(O)C=C(C(C)(C)O)C(O)O1,2,0.1887,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(O)C=C(C(=O)O)C(C)CO,2,0.18,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C(O)C(C(=O)O)C(C)C,2,0.1702,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C(O)C(=O)C=C(C(C)C)C(O)O,2,0.1702,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(CCO)CC1(O)C=C(C(C)C)C(O)O1,2,0.1698,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C(=CC(=O)CC(C)C(C)O)C(O)O,2,0.125,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C(O)=C(C(C)C)C(O)O,2,0.1957,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(CO)CC(=O)C=C(C(C)C)C(O)O,2,0.16,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)(O)CC(=O)C=C(C(C)C)C(O)O,2,0.1373,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)CC(N)(C(=O)O)C(C)C,2,0.1633,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C(N)C(C(=O)O)C(C)C,2,0.1667,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C=C1C=C(C(C)CCl)C(=O)O1,2,0.7222,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C=C1C=C(C(C)C)C(=O)O1)CCl,2,0.6757,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C=C1C=C(C(C)C)C(=O)O1)CCCl,2,0.6944,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C(Cl)=C1C=C(C(C)C)C(=O)O1,2,0.4634,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)(Cl)C=C1C=C(C(C)C)C(=O)O1,2,0.55,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C1=CC(=CC(C)C(C)Cl)OC1=O,2,0.6286,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C=C1C=C(C(C)(C)Cl)C(=O)O1,2,0.5897,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)COC(=O)C=C(C(=O)O)C(C)C,2,0.1837,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C1OC1(C(=O)O)C(C)C,2,0.18,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C1=CC2(OC1O)OC2C(C)CCO,2,0.1481,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(CO)C1=CC(=CC(C)C(C)O)OC1O,2,0.24,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C=C1C=C(C(C)C(O)O)C(O)O1,2,0.3778,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C1(O)OC12C=C(C(C)C)C(O)O2,2,0.1961,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)OC=C(C(=O)O)C(C)C,2,0.1837,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(O)C(C)C=C1C=C(C(C)(C)O)C(O)O1,2,0.22,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC1(O)C=C(C(C)(C)O)C(=O)O1,2,0.2857,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C1=CC(=CC(C)C(O)CO)OC1O,2,0.2653,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C=C1C=C(C(C)(C)O)C(O)O1)CCO,2,0.2549,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC(=O)C=C(OC(=O)O)C(C)C,2,0.1837,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C1=CC(=C(O)C(C)C(C)O)OC1O,2,0.16,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)CC1(O)C=C(C(C)CO)C(=O)O1,2,0.2857,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CC(C)C(=CC(=O)CC(C)C(C)O)C(=O)O,2,0.1224,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)C=C1C=C(C(CO)CO)C(O)O1,2,0.3778,
CCC(C)C=C1C=C(C(C)C)C(=O)O1,CCC(C)(O)C=C1C=C(C(C)CO)C(O)O1,2,0.2037,
