starter_idx,starter_smiles,status,time_seconds,error
0,CCC=C1OC(=O)[C@@H](C)[C@H]1O,scaffolded,0.0,
1,CCC=C1OC(=O)[C@H](O)C1=O,scaffolded,0.0,
2,CCC=C1OC(=O)CC1=O,scaffolded,0.0,
3,CCC=C1C[C@H](CC)C(=O)O1,scaffolded,0.0,
4,CCC=C1OC(=O)[C@H](C(C)C)[C@H]1O,scaffolded,0.0,
5,CCC=C1OC(=O)[C@H](OC)[C@H]1O,scaffolded,0.0,
6,C=CC[C@@H]1C(=O)OC(=CCC)[C@H]1O,scaffolded,0.0,
7,CCC=C1OC(=O)[C@H](C)C1=O,scaffolded,0.0,
8,CCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@@H]1O,scaffolded,0.0,
9,CCC=C1OC(=O)[C@@H](C(C)C)[C@@H]1O,scaffolded,0.0,
10,CCC=C1OC(=O)[C@@H](OC)[C@H]1O,scaffolded,0.0,
11,C=CC[C@@H]1C(=O)OC(=CCC)[C@@H]1O,scaffolded,0.0,
12,CCC=C1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H]1O,scaffolded,0.0,
13,CCC=C1OC(=O)[C@@H](C(C)C)C1=O,scaffolded,0.0,
14,CCC=C1OC(=O)C[C@@H]1O,scaffolded,0.0,
15,CCC=C1OC(=O)[C@@H](OC)C1=O,scaffolded,0.0,
16,CCC=C1OC(=O)[C@H](CC)C1=O,scaffolded,0.0,
17,CCC=C1OC(=O)C(CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
18,CCC=C1OC(=O)[C@@H](CCCC)C1=O,scaffolded,0.0,
19,CCC=C1OC(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)C1=O,scaffolded,0.0,
20,CCC=C1C[C@H](CCCCCC)C(=O)O1,scaffolded,0.0,
21,CCC=C1OC(=O)[C@@H](O)C1=O,scaffolded,0.0,
22,CCC=C1OC(=O)[C@H](CCCC)[C@H]1O,scaffolded,0.0,
23,CCC=C1OC(=O)[C@H](C(C)C)C1=O,scaffolded,0.0,
24,CCC=C1C[C@H](OC)C(=O)O1,scaffolded,0.0,
25,CCC=C1C[C@H](CCCCc2c[nH]c(Cl)c2Cl)C(=O)O1,scaffolded,0.0,
26,CCC=C1OC(=O)[C@@H](CCCCCC)[C@@H]1O,scaffolded,0.0,
27,CCC=C1OC(=O)[C@@H](CC)[C@@H]1O,scaffolded,0.0,
28,CCC=C1C[C@H](C)C(=O)O1,scaffolded,0.0,
29,CCC=C1OC(=O)[C@@H](CCCC)[C@H]1O,scaffolded,0.0,
30,CCC=C1OC(=O)[C@H](O)[C@@H]1O,scaffolded,0.0,
31,CCC=C1OC(=O)[C@H](C(C)C)[C@@H]1O,scaffolded,0.0,
32,CCC=C1C=C(OC)C(=O)O1,scaffolded,0.0,
33,CCC=C1OC(=O)C[C@H]1O,scaffolded,0.0,
34,CCC=C1OC(=O)[C@@H](CCCCCC)[C@H]1O,scaffolded,0.0,
35,CCC=C1OC(=O)[C@@H](C)C1=O,scaffolded,0.0,
36,CCC=C1OC(=O)[C@@H](OC)[C@@H]1O,scaffolded,0.0,
37,CCC=C1OC(=O)[C@H](C)[C@@H]1O,scaffolded,0.0,
38,CCC=C1OC(=O)[C@@H](CC)C1=O,scaffolded,0.0,
39,CCC=C1C=C(CCCCCC)C(=O)O1,scaffolded,0.0,
40,CCC=C1OC(=O)[C@@H](CCCCCC)C1=O,scaffolded,0.0,
41,CCC=C1OC(=O)[C@H](CC)[C@@H]1O,scaffolded,0.0,
42,C=CC[C@H]1C(=O)OC(=CCC)[C@H]1O,scaffolded,0.0,
43,CCC=C1OC(=O)[C@H](OC)C1=O,scaffolded,0.0,
