
=== ADMET profile prediction ===
inputFile: BacillusAnthracis_generatedCompounds_wART.csv
SMILES column: Canonical_SMILES
outputCsv: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET.csv
checkpoint: /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/SynThera/BacillusAnthracis/Results_BacillusAnthracis/BacillusAnthracis_generatedCompounds_wART_wADMET_checkpoint.csv

Applying diversity filter...
diversity: processed 1000/642240 | +911 new | total 911
diversity: processed 2000/642240 | +894 new | total 1805
diversity: processed 3000/642240 | +871 new | total 2676
diversity: processed 4000/642240 | +882 new | total 3558
diversity: processed 5000/642240 | +839 new | total 4397
diversity: processed 6000/642240 | +851 new | total 5248
diversity: processed 7000/642240 | +852 new | total 6100
diversity: processed 8000/642240 | +845 new | total 6945
diversity: processed 9000/642240 | +844 new | total 7789
diversity: processed 10000/642240 | +809 new | total 8598
diversity: processed 11000/642240 | +820 new | total 9418
diversity: processed 12000/642240 | +810 new | total 10228
diversity: processed 13000/642240 | +816 new | total 11044
diversity: processed 14000/642240 | +818 new | total 11862
diversity: processed 15000/642240 | +797 new | total 12659
diversity: processed 16000/642240 | +804 new | total 13463
diversity: processed 17000/642240 | +809 new | total 14272
diversity: processed 18000/642240 | +789 new | total 15061
diversity: processed 19000/642240 | +786 new | total 15847
diversity: processed 20000/642240 | +757 new | total 16604
diversity: processed 21000/642240 | +773 new | total 17377
diversity: processed 22000/642240 | +760 new | total 18137
diversity: processed 23000/642240 | +773 new | total 18910
diversity: processed 24000/642240 | +758 new | total 19668
diversity: processed 25000/642240 | +756 new | total 20424
diversity: processed 26000/642240 | +755 new | total 21179
diversity: processed 27000/642240 | +756 new | total 21935
diversity: processed 28000/642240 | +767 new | total 22702
diversity: processed 29000/642240 | +750 new | total 23452
diversity: processed 30000/642240 | +767 new | total 24219
diversity: processed 31000/642240 | +743 new | total 24962
diversity: processed 32000/642240 | +734 new | total 25696
diversity: processed 33000/642240 | +741 new | total 26437
diversity: processed 34000/642240 | +713 new | total 27150
diversity: processed 35000/642240 | +713 new | total 27863
diversity: processed 36000/642240 | +713 new | total 28576
diversity: processed 37000/642240 | +714 new | total 29290
diversity: processed 38000/642240 | +753 new | total 30043
diversity: processed 39000/642240 | +709 new | total 30752
diversity: processed 40000/642240 | +772 new | total 31524
diversity: processed 41000/642240 | +712 new | total 32236
diversity: processed 42000/642240 | +689 new | total 32925
diversity: processed 43000/642240 | +716 new | total 33641
diversity: processed 44000/642240 | +715 new | total 34356
diversity: processed 45000/642240 | +707 new | total 35063
diversity: processed 46000/642240 | +711 new | total 35774
diversity: processed 47000/642240 | +689 new | total 36463
