jobName,jobDir,jobIndex,starterSmiles,targetSmiles,targetCanonical,generationRun,maxAtoms,targetInNetwork,numMolecules,seconds,status,searchDepth,maxNumRxns,minRxnAtomEconomy,targetUsedForPathwaySearch,runRanking,runVisualization,pathwaysTxtFound,numPathwayBlocksOriginal,numPathwayBlocksExact,exactPathwaysTxt,backupPathwaysTxt
high_pPotency_molecule_pathway1_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway1_wGen1,1,Nc1ccc(C=C2C=C(O)C(=O)O2)cc1,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,1,"{'C': 17, 'N': 2, 'O': 5, 'S': 1}",False,65,26.88,ok,1,1,0.0,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,True,False,False,0,0,high_pPotency_molecule_pathway1_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway1_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway1_wGen2,1,Nc1ccc(C=C2C=C(O)C(=O)O2)cc1,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,2,"{'C': 17, 'N': 2, 'O': 5, 'S': 1}",True,524,348.42,ok,2,2,0.0,NC(=O)c1cc(C=C2C=C(O)C(=O)O2)ccc1N,True,False,True,1,1,high_pPotency_molecule_pathway1_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway1_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway2_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway2_wGen1,2,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,1,"{'C': 15, 'N': 5, 'O': 3, 'S': 1}",False,87,31.5,ok,1,1,0.0,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,True,False,False,0,0,high_pPotency_molecule_pathway2_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway2_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway2_wGen2,2,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,2,"{'C': 15, 'N': 5, 'O': 3, 'S': 1}",True,1134,696.97,ok,2,2,0.0,CC(CNC(N)=[NH2+])=C1C=C(CCCO)C(=O)O1,True,False,True,2,2,high_pPotency_molecule_pathway2_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway2_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway3_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway3_wGen1,3,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,1,"{'C': 15, 'N': 5, 'O': 3, 'S': 1}",False,87,29.8,ok,1,1,0.0,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,True,False,False,0,0,high_pPotency_molecule_pathway3_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway3_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway3_wGen2,3,C=CCC1=CC(=CCNC(N)=[NH2+])OC1=O,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,2,"{'C': 15, 'N': 5, 'O': 3, 'S': 1}",False,1134,716.39,ok,2,2,0.0,NC(=[NH2+])NCC=C1C=C(CC2(O)CO2)C(=O)O1,True,False,False,0,0,high_pPotency_molecule_pathway3_wGen2_pathways_exact2.txt,
high_pPotency_molecule_pathway4_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway4_wGen1,4,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,1,"{'C': 15, 'N': 5, 'O': 3, 'S': 1}",False,90,30.44,ok,1,1,0.0,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,True,False,False,0,0,high_pPotency_molecule_pathway4_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway4_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway4_wGen2,4,C=CC[C@H]1CC(=CCNC(N)=[NH2+])OC1=O,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,2,"{'C': 15, 'N': 5, 'O': 3, 'S': 1}",True,1279,800.74,ok,2,2,0.0,C=CC1(C[C@H]2CC(=CCNC(N)=[NH2+])OC2=O)CO1,True,False,True,1,1,high_pPotency_molecule_pathway4_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway4_wGen2_pathways_unfiltered.txt
high_pPotency_molecule_pathway5_wGen1,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway5_wGen1,5,Nc1cc(O)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,1,"{'C': 17, 'N': 2, 'O': 6, 'S': 1}",False,83,30.71,ok,1,1,0.0,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,True,False,False,0,0,high_pPotency_molecule_pathway5_wGen1_pathways_exact1.txt,
high_pPotency_molecule_pathway5_wGen2,/mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/BacillusAnthracis_bestMACAW_allDB_generative/DORAnet/BasidalinPrecursor/PATHWAY_reconstruction/high_pPotency_molecule_pathway5_wGen2,5,Nc1cc(O)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,2,"{'C': 17, 'N': 2, 'O': 6, 'S': 1}",True,1234,925.4,ok,2,2,0.0,NC(=O)c1cc(N)cc(C=C2C=C(O)C(=O)O2)c1,True,False,True,1,1,high_pPotency_molecule_pathway5_wGen2_pathways_exact2.txt,high_pPotency_molecule_pathway5_wGen2_pathways_unfiltered.txt
