Canonical_SMILES,Drug_Type,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,AMES,hERG,DILI,ClinTox,Carcinogens_Lagunin,Skin_Reaction,LD50_Zhu,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,BBB_Martins,Pgp_Broccatelli,Caco2_Wang,HIA_Hou,PAMPA_NCATS,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,antibiotic,5.385018658063965,1.1407307016748276,3.1491864827813028,7.620850833346626,4.120798150346988e-06,2.3941379271523053e-08,0.0007092731460171599,0.54734343,0.17840056,0.82844096,0.4288072,0.18526182,0.3728263,2.447027,0.038874883,0.015214639,0.0017464433,0.006126573,0.037532292,0.022823464,0.062797405,0.033066813,0.00408793,0.0098264385,0.1158181,0.005687439,0.6136018,0.019839466,-4.751381,0.9290555,0.21738192,0.92410153,0.025488485,0.018546863,0.093259536,0.0118558,0.05728873,0.02881739,0.22057343,0.002846916
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,antibiotic,5.385018658063965,1.1407307016748276,3.1491864827813028,7.620850833346626,4.120798150346988e-06,2.3941379271523053e-08,0.0007092731460171599,0.6075002,0.18130733,0.81366503,0.44651622,0.16140375,0.37761495,2.572023,0.036647715,0.016505156,0.0015929237,0.0053645414,0.04094376,0.025535852,0.068015955,0.031508956,0.0038413673,0.009542344,0.116479084,0.004579164,0.5934781,0.017693797,-4.7276917,0.91267955,0.19082925,0.9151314,0.021557646,0.014615545,0.07468826,0.009346348,0.055359006,0.02995376,0.21383314,0.0027999827
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,antibiotic,5.347637893185141,1.1430410701803686,3.1072773956316184,7.5879983907386634,4.491197016769012e-06,2.5822697591171765e-08,0.0007811287171767385,0.837125,0.15775685,0.85081196,0.43151647,0.2182724,0.5006312,2.7812762,0.08930913,0.033937268,0.007223402,0.008245721,0.13202219,0.044878084,0.051440734,0.042369593,0.007947138,0.013040948,0.095781565,0.00607455,0.5974461,0.012829928,-5.414304,0.7923142,0.1463985,0.8509158,0.016433902,0.0125268595,0.08723446,0.01036582,0.039728113,0.024557386,0.25628513,0.007868591
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,antibiotic,5.339056360634691,1.1416044339427964,3.1015116701068104,7.576601051162572,4.580824351368847e-06,2.6509342047873074e-08,0.0007915681837821177,0.7742201,0.30511132,0.83728045,0.46953934,0.13678697,0.36235622,2.3600154,0.08538021,0.051514953,0.0060729706,0.025284505,0.14104421,0.066064596,0.11145493,0.07158077,0.021122124,0.023799418,0.1340623,0.007478482,0.34141594,0.04141012,-5.0647173,0.7367118,0.11530654,0.81131715,0.017211208,0.026063487,0.05571588,0.026705766,0.04298847,0.038653184,0.2664345,0.028307801
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,antibiotic,5.316573584275929,1.1418580442056958,3.0785318176327654,7.554615350919093,4.8242123454779685e-06,2.7885898936949316e-08,0.0008345804023346309,0.6590387,0.07832432,0.86449814,0.3399242,0.24969316,0.38783574,2.3637118,0.035285503,0.012495468,0.0020073154,0.0025577461,0.045445476,0.021344807,0.052354593,0.041937888,0.0021953608,0.0058640004,0.102230944,0.0014506378,0.6343184,0.0035808391,-5.348793,0.85983354,0.11000391,0.8889133,0.023637395,0.007362333,0.07583779,0.0059897313,0.036183506,0.017482553,0.13330396,0.0017947035
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,antibiotic,5.292256786819916,1.1404690948536593,3.0569373609067436,7.527576212733088,5.10203241115258e-06,2.9677259025170926e-08,0.0008771273217103145,0.5330749,0.090573,0.7824693,0.31041422,0.18548365,0.37624937,2.4301326,0.037662663,0.017003987,0.0028850765,0.003758508,0.04350398,0.034957245,0.09463592,0.02940454,0.004383563,0.012306514,0.13227503,0.0038243034,0.46846637,0.008596489,-5.2444954,0.7576048,0.075984314,0.8467957,0.015062558,0.012601474,0.073429,0.009488301,0.0337063,0.025682246,0.12995169,0.0025875077
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,antibiotic,5.2794904574383725,1.140408915391744,3.044288983270554,7.51469193160619,5.254235598840201e-06,3.057088901556955e-08,0.0009030483776268207,0.54017735,0.17639367,0.7896907,0.34352174,0.20827448,0.3674814,2.526715,0.053784084,0.022916695,0.003972513,0.009343737,0.057005383,0.03649111,0.09170998,0.046865113,0.009085883,0.015809227,0.12122098,0.007441095,0.44454226,0.023267154,-5.0968714,0.8274995,0.16163623,0.8731949,0.0291639,0.025728595,0.09367807,0.019387303,0.056252517,0.039049007,0.21245956,0.009329986
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,antibiotic,5.276057029103825,1.1411704371618225,3.0393629722666526,7.512751085940997,5.295938960396281e-06,3.0707814896363286e-08,0.0009133495680789986,0.42440477,0.12333498,0.8057728,0.2844782,0.16778289,0.31594786,2.4223003,0.037390567,0.011667732,0.0024180822,0.00488054,0.03752304,0.025235761,0.083876275,0.022404483,0.004978306,0.010997349,0.098643646,0.00453702,0.35602492,0.015135357,-5.0716257,0.8178134,0.10589141,0.8856247,0.0076759914,0.015495787,0.08382262,0.011969104,0.03577262,0.022529377,0.18129505,0.0059466576
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,antibiotic,5.273624170094713,1.1425334482234153,3.0342586115768193,7.512989728612608,5.325689345926747e-06,3.069094573901329e-08,0.000924147703055745,0.5125183,0.09081339,0.75439215,0.27037472,0.18980782,0.37370044,2.4541943,0.03154673,0.009898363,0.0020585672,0.0035961322,0.032040946,0.024111144,0.07346112,0.025020469,0.0035275898,0.009749311,0.09880479,0.0030154914,0.4457642,0.007672526,-4.925952,0.80223453,0.10745227,0.8820127,0.011468698,0.012411708,0.07457616,0.007745692,0.03990258,0.01979082,0.14771232,0.0031607426
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,antibiotic,5.196957968118294,1.1468923731076466,2.949048916827307,7.444867019409282,6.35392423415571e-06,3.5903185305524205e-08,0.0011244783110422065,0.2535842,0.091705754,0.8710715,0.19547927,0.050807524,0.1990137,2.489471,0.02028489,0.012034064,0.0006155652,0.0110236425,0.035189446,0.0069943247,0.059861165,0.025592387,0.0036925513,0.010653925,0.07840064,0.0027768028,0.11771659,0.007367447,-5.7132616,0.75536454,0.039169613,0.86568344,0.0051416126,0.011223943,0.046040244,0.010994504,0.007127115,0.003412143,0.17651826,0.0033874281
