starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6571,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCCCCCCC(O)[C@H](Cn1ccc(N)nc1=O)OCP(=O)(O)O,2,0.5362,0.0923
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6571,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6571,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6571,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6429,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6286,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6143,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCCCCCCC(O)[C@@H](O)Cn1ccc(N)nc1=O,2,0.4844,0.2581
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6087,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(COCCCOP(=O)(O)COCCO)Cn1ccc(N)nc1=O,2,0.6029,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(=O)OCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,2,0.746,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(=O)Nc1ccn(C[C@@H](CO)OCP(=O)(O)OCCCO)c(=O)n1,2,0.5714,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CC(=O)OC[C@H](Cn1ccc(N)nc1=O)OCP(=O)(O)OCCCO,2,0.6324,
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,CCCCCCCCCCCCCCC(CO)Cn1ccc(N)nc1=O,2,0.5238,0.2206
