Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,80000.0,/ml,Activity,'<',,CHEMBL4065616,602.59,2.31,CHEMBL4434621,Ebolavirus,Ebolavirus
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,,,Activity,,,CHEMBL4065616,602.59,2.31,CHEMBL4434621,Ebolavirus,Ebolavirus
COc1nc(N)ncc1-c1cn(COCCO)cn1,100000.0,nM,EC50,'>',,CHEMBL3596788,265.27,-0.1,CHEMBL4434621,Ebolavirus,Ebolavirus
Nc1nccc2c1ncn2[C@H]1C=C[C@H](O)[C@@H]1O,29.5,ug.mL-1,EC50,'=',,CHEMBL4080961,232.24,-0.15,CHEMBL4434621,Ebolavirus,Ebolavirus
Nc1ncc(Br)c2c1ncn2[C@@H]1[C@@H](O)[C@@H](O)[C@H]2C[C@H]21,,,Activity,,,CHEMBL4081268,325.17,0.69,CHEMBL4434621,Ebolavirus,Ebolavirus
Nc1nccc2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,320.0,nM,EC50,'<',,CHEMBL3753489,262.27,-0.8,CHEMBL4434621,Ebolavirus,Ebolavirus
CCOP(=O)(Cc1cccc(COc2ccccc2OC2CCN(Cc3ccc4nc(-c5ccccc5)[nH]c4c3)CC2)c1)OCC,1880.0,nM,EC50,'=',5.73,CHEMBL4751715,639.73,8.62,CHEMBL4434621,Ebolavirus,Ebolavirus
CCOP(=O)(Cc1cccc(COc2ccccc2OC2CCN(Cc3ccc4nc(-c5cccc(C(F)(F)F)c5)[nH]c4c3)CC2)c1)OCC,2490.0,nM,EC50,'=',5.6,CHEMBL4792617,707.73,9.64,CHEMBL4434621,Ebolavirus,Ebolavirus
CCCCCCCCCCCCCCCC(=O)O[C@H]1[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1CO[P@@](=O)(N[C@H](C)C(=O)OCC(CC)CC)Oc1ccccc1,50000.0,nM,IC50,'>',,CHEMBL5085366,841.0,8.34,CHEMBL4434621,Ebolavirus,Ebolavirus
CCCCCCCCCCOCCC(=O)O,50000.0,nM,IC50,'>',,CHEMBL1871969,230.35,3.62,CHEMBL4434621,Ebolavirus,Ebolavirus
CCSCCCCCCCCCCCC(=O)O,50000.0,nM,IC50,'>',,CHEMBL1760728,260.44,4.73,CHEMBL4434621,Ebolavirus,Ebolavirus
CCC(CC)COC(=O)[C@@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1OC(=O)CCCCCCCCCCCN=[N+]=[N-])Oc1ccccc1,830.0,nM,IC50,'=',6.08,CHEMBL5084473,825.9,7.07,CHEMBL4434621,Ebolavirus,Ebolavirus
N#Cc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,8000.0,nM,IC50,'=',5.1,CHEMBL2323050,434.58,2.93,CHEMBL4434621,Ebolavirus,Ebolavirus
COc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,5400.0,nM,IC50,'=',5.27,CHEMBL2323047,439.6,3.06,CHEMBL4434621,Ebolavirus,Ebolavirus
Cc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,1100.0,nM,IC50,'=',5.96,CHEMBL2323043,423.6,3.36,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2Cl)CC1,3200.0,nM,IC50,'=',5.5,CHEMBL2323263,444.02,3.71,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CC12CC3CC(CC(C3)C1)C2)NCCC(=O)N1CCN(Cc2ccccc2)CC1,17000.0,nM,IC50,'=',4.77,CHEMBL2323283,423.6,3.44,CHEMBL4434621,Ebolavirus,Ebolavirus
O=C(CNC(=O)C12CC3CC(CC(C3)C1)C2)N1CCN(Cc2ccccc2)CC1,29000.0,nM,IC50,'=',4.54,CHEMBL2323281,395.55,2.66,CHEMBL4434621,Ebolavirus,Ebolavirus
CNC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,2100.0,nM,IC50,'=',5.68,CHEMBL2323035,572.75,3.99,CHEMBL4434621,Ebolavirus,Ebolavirus
COC(=O)c1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,15000.0,nM,IC50,'=',4.82,CHEMBL2323053,467.61,2.84,CHEMBL4434621,Ebolavirus,Ebolavirus
