chembl_id,name,synonyms,type,max_phase,molecular_weight,targets,bioactivities,alogp,polar_surface_area,hba,hbd,ro5_violations,rotatable_bonds,passes_ro3,qed_weighted,aromatic_rings,structure_type,inorganic_flag,heavy_atoms,np_likeness_score,molecular_formula,smiles,inchi_key,inchi,withdrawn_flag,orphan,records_key,records_name
CHEMBL4211136,,,Small molecule,,622.83,1,1,3.88,99.26,6.0,1.0,1.0,11.0,N,0.41,2.0,MOL,-1,44.0,-1.46,C34H46N4O5S,CN(C)S(=O)(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,XQPJUGYLLSYLDU-UHFFFAOYSA-N,"InChI=1S/C34H46N4O5S/c1-36(2)44(41,42)30-9-7-25(8-10-30)24-43-31-6-4-3-5-29(31)23-37-11-13-38(14-12-37)33(40)22-35-32(39)21-34-18-26-15-27(19-34)17-28(16-26)20-34/h3-10,26-28H,11-24H2,1-2H3,(H,35,39)",False,-1,['1a-7'],"['2-((3r,5r,7r)-Adamantan-1-yl)-N-(2-(4-(2-((4-(N,N-dimethylsulfamoyl)benzyl)oxy)benzyl)piperazin-1-yl)-2-oxoethyl)acetamide']"
CHEMBL4208214,,,Small molecule,,731.69,1,1,6.33,125.25,7.0,2.0,2.0,11.0,N,0.17,3.0,MOL,-1,49.0,-1.07,C38H43BrN4O6,O=C(CC12CC3CC(C1)CC(c1ccc(O)c([N+](=O)[O-])c1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,MOVOXSFQSIMZNB-UHFFFAOYSA-N,"InChI=1S/C38H43BrN4O6/c39-31-8-5-26(6-9-31)24-49-34-4-2-1-3-29(34)23-41-11-13-42(14-12-41)36(46)22-40-35(45)21-37-17-27-15-28(18-37)20-38(19-27,25-37)30-7-10-33(44)32(16-30)43(47)48/h1-10,16,27-28,44H,11-15,17-25H2,(H,40,45)",False,-1,['2-5'],"['(1s,3r,5R,7S)-N-(2-(4-(2-((4-bromobenzyl)oxy)benzyl)piperazin-1-yl)-2-oxoethyl)-3-(4-hydroxy-3-nitrophenyl)adamantane-1-carboxamide']"
CHEMBL5086796,,,Unknown,,825.9,4,7,7.07,258.38,15.0,3.0,3.0,26.0,N,0.02,3.0,MOL,-1,58.0,0.24,C39H56N9O9P,CCC(CC)COC(=O)[C@@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](OC(=O)CCCCCCCCCCCN=[N+]=[N-])[C@@H]1O)Oc1ccccc1,CUIJLBKPUHYFSW-DTMJIXHDSA-N,"InChI=1S/C39H56N9O9P/c1-4-29(5-2)24-53-38(51)28(3)46-58(52,57-30-18-14-13-15-19-30)54-25-32-35(50)36(39(26-40,56-32)33-22-21-31-37(41)43-27-45-48(31)33)55-34(49)20-16-11-9-7-6-8-10-12-17-23-44-47-42/h13-15,18-19,21-22,27-29,32,35-36,50H,4-12,16-17,20,23-25H2,1-3H3,(H,46,52)(H2,41,43,45)/t28-,32-,35-,36-,39+,58+/m1/s1",False,-1,['3c'],"['(2R,3R,4R,5R)-2-(4-Aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-2-cyano-5-((((((R)-1-(2-ethylbutoxy)-1-oxopropanyl-2-yl)amino)(phenoxy)phosphoryl)oxy)methyl)-4-hydroxytetra-hydrofuran-3-yl-12-azidododecanoate']"
CHEMBL5205032,,,,,588.56,8,52,2.06,203.55,13.0,4.0,2.0,12.0,N,0.18,3.0,MOL,-1,41.0,0.14,C26H33N6O8P,CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,QHEKHVFPDPTSKM-PZPGFRDGSA-N,"InChI=1S/C26H33N6O8P/c1-4-17(5-2)38-25(35)16(3)31-41(36,40-18-9-7-6-8-10-18)37-13-20-22(33)23(34)26(14-27,39-20)21-12-11-19-24(28)29-15-30-32(19)21/h6-12,15-17,20,22-23,33-34H,4-5,13H2,1-3H3,(H,31,36)(H2,28,29,30)/t16-,20+,22+,23+,26-,41-/m0/s1",False,-1,['1; GS-5734'],['Remdesivir; Veklury']
CHEMBL3121700,,,Small molecule,,673.72,4,5,-0.49,256.03,12.0,8.0,3.0,15.0,N,0.05,2.0,MOL,-1,48.0,0.68,C32H43N5O11,[N-]=[N+]=NCCO[C@H]1C[C@H](C(=O)NCc2ccc(CO)cc2)[C@@H](C(=O)NCc2ccc(CO)cc2)C[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,AOBVPDDHLOAJGJ-JYVQCWHTSA-N,"InChI=1S/C32H43N5O11/c33-37-36-9-10-46-24-11-22(30(44)34-13-18-1-5-20(15-38)6-2-18)23(31(45)35-14-19-3-7-21(16-39)8-4-19)12-25(24)47-32-29(43)28(42)27(41)26(17-40)48-32/h1-8,22-29,32,38-43H,9-17H2,(H,34,44)(H,35,45)/t22-,23-,24-,25-,26+,27+,28-,29-,32-/m0/s1",False,-1,"['V', '25']","['(1S,2S,4S,5S)-4-(2-azidoethoxy)-N1,N2-bis(4-(hydroxymethyl)benzyl)-5-((2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yloxy)cyclohexane-1,2-dicarboxamide', '(1S,2S,4S,5S)-4-(2-azidoethoxy)-N1,N2-bis(4-(hydroxymethyl)benzyl)-5-(((2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)cyclohexane-1,2-dicarboxamide']"
CHEMBL4210694,,,Small molecule,,617.74,1,1,3.87,125.48,7.0,2.0,1.0,11.0,N,0.36,2.0,MOL,-1,45.0,-0.96,C35H43N3O7,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(C3)CC(C(=O)O)(C5)C4)CC2)cc1,DHPRPHHOKCCDJV-UHFFFAOYSA-N,"InChI=1S/C35H43N3O7/c1-44-32(41)27-8-6-24(7-9-27)22-45-29-5-3-2-4-28(29)21-37-10-12-38(13-11-37)31(40)20-36-30(39)19-34-15-25-14-26(16-34)18-35(17-25,23-34)33(42)43/h2-9,25-26H,10-23H2,1H3,(H,36,39)(H,42,43)",False,-1,['2-7'],"['(1s,3r,5R,7S)-3-(2-((2-(4-(2-((4-(Methoxycarbonyl)benzyl)oxy)benzyl)piperazin-1-yl)-2-oxoethyl)amino)-2-oxoethyl)adamantane-1-carboxylic acid']"
CHEMBL4215782,,,Small molecule,,571.76,1,1,4.63,78.95,5.0,1.0,1.0,10.0,N,0.42,2.0,MOL,-1,42.0,-0.84,C35H45N3O4,COC(=O)c1ccc(CCc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,MNPHGDOCLOYFRB-UHFFFAOYSA-N,"InChI=1S/C35H45N3O4/c1-42-34(41)30-10-7-25(8-11-30)6-9-29-4-2-3-5-31(29)24-37-12-14-38(15-13-37)33(40)23-36-32(39)22-35-19-26-16-27(20-35)18-28(17-26)21-35/h2-5,7-8,10-11,26-28H,6,9,12-24H2,1H3,(H,36,39)",False,-1,['1a-19'],"['Methyl 4-(2-((4-((2-((3r,5r,7r)-Adamantan-1-yl)acetyl)glycyl)piperazin-1-yl)methyl)phenethyl)benzoate']"
CHEMBL4216072,,,Small molecule,,629.04,1,1,5.76,61.88,4.0,1.0,2.0,9.0,N,0.36,2.0,MOL,-1,40.0,-1.19,C32H39BrClN3O3,O=C(CC12CC3CC(CC(Cl)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,UGWOERHNAWWZOH-UHFFFAOYSA-N,"InChI=1S/C32H39BrClN3O3/c33-27-7-5-23(6-8-27)21-40-28-4-2-1-3-26(28)20-36-9-11-37(12-10-36)30(39)19-35-29(38)18-31-14-24-13-25(15-31)17-32(34,16-24)22-31/h1-8,24-25H,9-22H2,(H,35,38)",False,-1,['2-1'],['N-(2-{4-[2-(4-Bromo-benzyloxy)-benzyl]-piperazin-1-yl}-2-oxo-ethyl)-2-(3-chloro-adamantan-1-yl)-acetamide']
CHEMBL4277261,,,Small molecule,,262.27,3,3,-0.79,117.42,7.0,4.0,0.0,2.0,N,0.53,2.0,MOL,-1,19.0,0.9,C12H14N4O3,Nc1ccnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,BDUORCKQSMHWAX-IEBDPFPHSA-N,"InChI=1S/C12H14N4O3/c13-7-1-2-14-12-9(7)15-5-16(12)8-3-6(4-17)10(18)11(8)19/h1-3,5,8,10-11,17-19H,4H2,(H2,13,14)/t8-,10-,11+/m1/s1",False,-1,['2'],['Neplanocin']
CHEMBL5614212,,,,,396.87,4,5,4.98,63.5,4.0,2.0,0.0,5.0,N,0.64,3.0,MOL,-1,28.0,-0.92,C22H21ClN2O3,O=C(Nc1ccc(Cl)cc1)c1ccc(-c2ccccc2OC2CCNCC2)o1,ZDEOZCYLTMMABD-UHFFFAOYSA-N,"InChI=1S/C22H21ClN2O3/c23-15-5-7-16(8-6-15)25-22(26)21-10-9-20(28-21)18-3-1-2-4-19(18)27-17-11-13-24-14-12-17/h1-10,17,24H,11-14H2,(H,25,26)",False,-1,['99'],['N-(4-chlorophenyl)-5-(2-(piperidin-4-yloxy)phenyl)furan-2-carboxamide']
