molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C27H35N6O8P,RWWYLEGWBNMMLJ-YSOARWBDSA-N,"InChI=1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21+,23+,24+,27-,42-/m0/s1",602.59,Small molecule,80000.0,/ml,'<',Activity,,2.31,203.55,13.0,4.0,13.0,0.16,42.0,3.0,2.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C27H35N6O8P,RWWYLEGWBNMMLJ-YSOARWBDSA-N,"InChI=1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21+,23+,24+,27-,42-/m0/s1",602.59,Small molecule,,,,Activity,,2.31,203.55,13.0,4.0,13.0,0.16,42.0,3.0,2.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,C11H15N5O3,CVSSXRUFNBCRPB-UHFFFAOYSA-N,"InChI=1S/C11H15N5O3/c1-18-10-8(4-13-11(12)15-10)9-5-16(6-14-9)7-19-3-2-17/h4-6,17H,2-3,7H2,1H3,(H2,12,13,15)",265.27,Small molecule,100000.0,nM,'>',EC50,,-0.1,108.31,8.0,2.0,6.0,0.7,19.0,2.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL4080961,Nc1nccc2c1ncn2[C@H]1C=C[C@H](O)[C@@H]1O,C11H12N4O2,UJJIREDPTVPNLW-OYNCUSHFSA-N,"InChI=1S/C11H12N4O2/c12-11-9-6(3-4-13-11)15(5-14-9)7-1-2-8(16)10(7)17/h1-5,7-8,10,16-17H,(H2,12,13)/t7-,8-,10+/m0/s1",232.24,Small molecule,29.5,ug.mL-1,'=',EC50,,-0.15,97.19,6.0,3.0,1.0,0.59,17.0,2.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL4081268,Nc1ncc(Br)c2c1ncn2[C@@H]1[C@@H](O)[C@@H](O)[C@H]2C[C@H]21,C12H13BrN4O2,XJUUPHWULCINAO-MZFBDAEWSA-N,"InChI=1S/C12H13BrN4O2/c13-6-2-15-12(14)7-9(6)17(3-16-7)8-4-1-5(4)10(18)11(8)19/h2-5,8,10-11,18-19H,1H2,(H2,14,15)/t4-,5+,8+,10+,11-/m1/s1",325.17,Small molecule,,,,Activity,,0.69,97.19,6.0,3.0,1.0,0.72,19.0,2.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL3753489,Nc1nccc2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,C12H14N4O3,PCJCKCSFBICBNZ-NRZXQICZSA-N,"InChI=1S/C12H14N4O3/c13-12-9-7(1-2-14-12)16(5-15-9)8-3-6(4-17)10(18)11(8)19/h1-3,5-6,10-11,17-19H,4H2,(H2,13,14)/t6-,10-,11+/m0/s1",262.27,Small molecule,320.0,nM,'<',EC50,,-0.8,117.42,7.0,4.0,2.0,0.56,19.0,2.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL4751715,CCOP(=O)(Cc1cccc(COc2ccccc2OC2CCN(Cc3ccc4nc(-c5ccccc5)[nH]c4c3)CC2)c1)OCC,C37H42N3O5P,BCNOLUKYPQLFDY-UHFFFAOYSA-N,"InChI=1S/C37H42N3O5P/c1-3-43-46(41,44-4-2)27-30-12-10-11-29(23-30)26-42-35-15-8-9-16-36(35)45-32-19-21-40(22-20-32)25-28-17-18-33-34(24-28)39-37(38-33)31-13-6-5-7-14-31/h5-18,23-24,32H,3-4,19-22,25-27H2,1-2H3,(H,38,39)",639.73,Unknown,1880.0,nM,'=',EC50,5.73,8.62,85.91,7.0,1.0,14.0,0.12,46.0,5.0,2.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL4792617,CCOP(=O)(Cc1cccc(COc2ccccc2OC2CCN(Cc3ccc4nc(-c5cccc(C(F)(F)F)c5)[nH]c4c3)CC2)c1)OCC,C38H41F3N3O5P,YPONQFDDBHJAOJ-UHFFFAOYSA-N,"InChI=1S/C38H41F3N3O5P/c1-3-47-50(45,48-4-2)26-29-10-7-9-28(21-29)25-46-35-13-5-6-14-36(35)49-32-17-19-44(20-18-32)24-27-15-16-33-34(22-27)43-37(42-33)30-11-8-12-31(23-30)38(39,40)41/h5-16,21-23,32H,3-4,17-20,24-26H2,1-2H3,(H,42,43)",707.73,Unknown,2490.0,nM,'=',EC50,5.6,9.64,85.91,7.0,1.0,14.0,0.12,50.0,5.0,2.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL5085366,CCCCCCCCCCCCCCCC(=O)O[C@H]1[C@@H](O)[C@](C#N)(c2ccc3c(N)ncnn23)O[C@@H]1CO[P@@](=O)(N[C@H](C)C(=O)OCC(CC)CC)Oc1ccccc1,C43H65N6O9P,VXYCOVDOXKSLFC-NKSQPNMBSA-N,"InChI=1S/C43H65N6O9P/c1-5-8-9-10-11-12-13-14-15-16-17-18-22-25-38(50)56-39-36(57-43(30-44,40(39)51)37-27-26-35-41(45)46-31-47-49(35)37)29-55-59(53,58-34-23-20-19-21-24-34)48-32(4)42(52)54-28-33(6-2)7-3/h19-21,23-24,26-27,31-33,36,39-40,51H,5-18,22,25,28-29H2,1-4H3,(H,48,53)(H2,45,46,47)/t32-,36-,39-,40-,43+,59+/m1/s1",841.0,Unknown,50000.0,nM,'>',IC50,,8.34,209.62,14.0,3.0,28.0,0.04,59.0,3.0,3.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1871969,CCCCCCCCCCOCCC(=O)O,C13H26O3,ZYLHDTBQHXSLEZ-UHFFFAOYSA-N,"InChI=1S/C13H26O3/c1-2-3-4-5-6-7-8-9-11-16-12-10-13(14)15/h2-12H2,1H3,(H,14,15)",230.35,Small molecule,50000.0,nM,'>',IC50,,3.62,46.53,2.0,1.0,12.0,0.52,16.0,0.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1760728,CCSCCCCCCCCCCCC(=O)O,C14H28O2S,DSQBWINXXHAPMB-UHFFFAOYSA-N,"InChI=1S/C14H28O2S/c1-2-17-13-11-9-7-5-3-4-6-8-10-12-14(15)16/h2-13H2,1H3,(H,15,16)",260.44,Small molecule,50000.0,nM,'>',IC50,,4.73,37.3,2.0,1.0,13.0,0.49,17.0,0.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL5084473,CCC(CC)COC(=O)[C@@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1OC(=O)CCCCCCCCCCCN=[N+]=[N-])Oc1ccccc1,C39H56N9O9P,MPBWXQGVIJRXSW-DTMJIXHDSA-N,"InChI=1S/C39H56N9O9P/c1-4-29(5-2)24-53-38(51)28(3)46-58(52,57-30-18-14-13-15-19-30)54-25-32-35(55-34(49)20-16-11-9-7-6-8-10-12-17-23-44-47-42)36(50)39(26-40,56-32)33-22-21-31-37(41)43-27-45-48(31)33/h13-15,18-19,21-22,27-29,32,35-36,50H,4-12,16-17,20,23-25H2,1-3H3,(H,46,52)(H2,41,43,45)/t28-,32-,35-,36-,39+,58+/m1/s1",825.9,Unknown,830.0,nM,'=',IC50,6.08,7.07,258.38,15.0,3.0,26.0,0.02,58.0,3.0,3.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323050,N#Cc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,C26H34N4O2,WBJINYWRUWVQDS-UHFFFAOYSA-N,"InChI=1S/C26H34N4O2/c27-16-19-1-3-20(4-2-19)18-29-5-7-30(8-6-29)25(32)17-28-24(31)15-26-12-21-9-22(13-26)11-23(10-21)14-26/h1-4,21-23H,5-15,17-18H2,(H,28,31)",434.58,Small molecule,8000.0,nM,'=',IC50,5.1,2.93,76.44,4.0,1.0,6.0,0.75,32.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323047,COc1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,C26H37N3O3,OLEBDHFJFRHPFI-UHFFFAOYSA-N,"InChI=1S/C26H37N3O3/c1-32-23-4-2-19(3-5-23)18-28-6-8-29(9-7-28)25(31)17-27-24(30)16-26-13-20-10-21(14-26)12-22(11-20)15-26/h2-5,20-22H,6-18H2,1H3,(H,27,30)",439.6,Small molecule,5400.0,nM,'=',IC50,5.27,3.06,61.88,4.0,1.0,7.0,0.71,32.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323043,Cc1cccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,C26H37N3O2,PSEMLABCWMDRGN-UHFFFAOYSA-N,"InChI=1S/C26H37N3O2/c1-19-3-2-4-20(9-19)18-28-5-7-29(8-6-28)25(31)17-27-24(30)16-26-13-21-10-22(14-26)12-23(11-21)15-26/h2-4,9,21-23H,5-8,10-18H2,1H3,(H,27,30)",423.6,Small molecule,1100.0,nM,'=',IC50,5.96,3.36,52.65,3.0,1.0,6.0,0.76,31.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323263,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2Cl)CC1,C25H34ClN3O2,ZMAZSKAOOSMIMW-UHFFFAOYSA-N,"InChI=1S/C25H34ClN3O2/c26-22-4-2-1-3-21(22)17-28-5-7-29(8-6-28)24(31)16-27-23(30)15-25-12-18-9-19(13-25)11-20(10-18)14-25/h1-4,18-20H,5-17H2,(H,27,30)",444.02,Small molecule,3200.0,nM,'=',IC50,5.5,3.71,52.65,3.0,1.0,6.0,0.73,31.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323283,O=C(CC12CC3CC(CC(C3)C1)C2)NCCC(=O)N1CCN(Cc2ccccc2)CC1,C26H37N3O2,IBPSWCQXSBZPEJ-UHFFFAOYSA-N,"InChI=1S/C26H37N3O2/c30-24(18-26-15-21-12-22(16-26)14-23(13-21)17-26)27-7-6-25(31)29-10-8-28(9-11-29)19-20-4-2-1-3-5-20/h1-5,21-23H,6-19H2,(H,27,30)",423.6,Small molecule,17000.0,nM,'=',IC50,4.77,3.44,52.65,3.0,1.0,7.0,0.73,31.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323281,O=C(CNC(=O)C12CC3CC(CC(C3)C1)C2)N1CCN(Cc2ccccc2)CC1,C24H33N3O2,ZVUMGEXLVQGXFC-UHFFFAOYSA-N,"InChI=1S/C24H33N3O2/c28-22(27-8-6-26(7-9-27)17-18-4-2-1-3-5-18)16-25-23(29)24-13-19-10-20(14-24)12-21(11-19)15-24/h1-5,19-21H,6-17H2,(H,25,29)",395.55,Small molecule,29000.0,nM,'=',IC50,4.54,2.66,52.65,3.0,1.0,5.0,0.83,29.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323035,CNC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,C34H44N4O4,QNZLMDVEEQRIAP-UHFFFAOYSA-N,"InChI=1S/C34H44N4O4/c1-35-33(41)28-8-6-24(7-9-28)23-42-30-5-3-2-4-29(30)22-37-10-12-38(13-11-37)32(40)21-36-31(39)20-34-17-25-14-26(18-34)16-27(15-25)19-34/h2-9,25-27H,10-23H2,1H3,(H,35,41)(H,36,39)",572.75,Small molecule,2100.0,nM,'=',IC50,5.68,3.99,90.98,5.0,2.0,10.0,0.45,42.0,2.0,1.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323053,COC(=O)c1ccc(CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,C27H37N3O4,AESOMQBDHDFYPK-UHFFFAOYSA-N,"InChI=1S/C27H37N3O4/c1-34-26(33)23-4-2-19(3-5-23)18-29-6-8-30(9-7-29)25(32)17-28-24(31)16-27-13-20-10-21(14-27)12-22(11-20)15-27/h2-5,20-22H,6-18H2,1H3,(H,28,31)",467.61,Small molecule,15000.0,nM,'=',IC50,4.82,2.84,78.95,5.0,1.0,7.0,0.62,34.0,1.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL2323249,COC(=O)c1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,C34H43N3O5,DZFFNXCKDMGETR-UHFFFAOYSA-N,"InChI=1S/C34H43N3O5/c1-41-33(40)28-7-4-5-24(16-28)23-42-30-8-3-2-6-29(30)22-36-9-11-37(12-10-36)32(39)21-35-31(38)20-34-17-25-13-26(18-34)15-27(14-25)19-34/h2-8,16,25-27H,9-15,17-23H2,1H3,(H,35,38)",573.73,Small molecule,2400.0,nM,'=',IC50,5.62,4.42,88.18,6.0,1.0,10.0,0.42,42.0,2.0,1.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,C19H16N6O,OOKWWPFCCCMWIS-ZZXKWVIFSA-N,"InChI=1S/C19H16N6O/c20-18(21)10-2-5-16-12(7-10)8-13(26-16)3-6-17-24-14-4-1-11(19(22)23)9-15(14)25-17/h1-9H,(H3,20,21)(H3,22,23)(H,24,25)/b6-3+",344.38,Small molecule,148.0,U/L,'=',Activity,,3.05,141.56,4.0,5.0,4.0,0.29,26.0,4.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,C19H16N6O,OOKWWPFCCCMWIS-ZZXKWVIFSA-N,"InChI=1S/C19H16N6O/c20-18(21)10-2-5-16-12(7-10)8-13(26-16)3-6-17-24-14-4-1-11(19(22)23)9-15(14)25-17/h1-9H,(H3,20,21)(H3,22,23)(H,24,25)/b6-3+",344.38,Small molecule,,,,Activity,,3.05,141.56,4.0,5.0,4.0,0.29,26.0,4.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL5290974,COC(=O)[C@H]1C[C@H](OCCN)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)C[C@@H]1C(=O)OC,C18H31NO11,KSUVSURJFDVHIZ-JRFCXQANSA-N,"InChI=1S/C18H31NO11/c1-26-16(24)8-5-10(28-4-3-19)11(6-9(8)17(25)27-2)29-18-15(23)14(22)13(21)12(7-20)30-18/h8-15,18,20-23H,3-7,19H2,1-2H3/t8-,9-,10-,11-,12+,13+,14-,15-,18-/m0/s1",437.44,,60.0,nM,'<',IC50,,-3.11,187.23,12.0,5.0,8.0,0.24,30.0,0.0,1.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1773160,CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc21.Cl,C30H43ClN6,DJTHSGQZBRXYHG-UHFFFAOYSA-N,"InChI=1S/C30H42N6.ClH/c1-7-35(8-2)17-15-31-27-19-21(5)33-29-23-12-14-26-28(32-16-18-36(9-3)10-4)20-22(6)34-30(26)24(23)11-13-25(27)29;/h11-14,19-20H,7-10,15-18H2,1-6H3,(H,31,33)(H,32,34);1H",523.17,Small molecule,97.0,%,'=',Inhibition,,6.06,56.32,6.0,2.0,12.0,0.24,36.0,4.0,1.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1773160,CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc21.Cl,C30H43ClN6,DJTHSGQZBRXYHG-UHFFFAOYSA-N,"InChI=1S/C30H42N6.ClH/c1-7-35(8-2)17-15-31-27-19-21(5)33-29-23-12-14-26-28(32-16-18-36(9-3)10-4)20-22(6)34-30(26)24(23)11-13-25(27)29;/h11-14,19-20H,7-10,15-18H2,1-6H3,(H,31,33)(H,32,34);1H",523.17,Small molecule,5000.0,nM,'=',IC50,5.3,6.06,56.32,6.0,2.0,12.0,0.24,36.0,4.0,1.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,C19H16N6O,OOKWWPFCCCMWIS-ZZXKWVIFSA-N,"InChI=1S/C19H16N6O/c20-18(21)10-2-5-16-12(7-10)8-13(26-16)3-6-17-24-14-4-1-11(19(22)23)9-15(14)25-17/h1-9H,(H3,20,21)(H3,22,23)(H,24,25)/b6-3+",344.38,Small molecule,,,,Activity,,3.05,141.56,4.0,5.0,4.0,0.29,26.0,4.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,C19H16N6O,OOKWWPFCCCMWIS-ZZXKWVIFSA-N,"InChI=1S/C19H16N6O/c20-18(21)10-2-5-16-12(7-10)8-13(26-16)3-6-17-24-14-4-1-11(19(22)23)9-15(14)25-17/h1-9H,(H3,20,21)(H3,22,23)(H,24,25)/b6-3+",344.38,Small molecule,100.0,nM,'=',EC50,7.0,3.05,141.56,4.0,5.0,4.0,0.29,26.0,4.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,C19H16N6O,OOKWWPFCCCMWIS-ZZXKWVIFSA-N,"InChI=1S/C19H16N6O/c20-18(21)10-2-5-16-12(7-10)8-13(26-16)3-6-17-24-14-4-1-11(19(22)23)9-15(14)25-17/h1-9H,(H3,20,21)(H3,22,23)(H,24,25)/b6-3+",344.38,Small molecule,23.0,U/L,'=',Activity,,3.05,141.56,4.0,5.0,4.0,0.29,26.0,4.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,C19H16N6O,OOKWWPFCCCMWIS-ZZXKWVIFSA-N,"InChI=1S/C19H16N6O/c20-18(21)10-2-5-16-12(7-10)8-13(26-16)3-6-17-24-14-4-1-11(19(22)23)9-15(14)25-17/h1-9H,(H3,20,21)(H3,22,23)(H,24,25)/b6-3+",344.38,Small molecule,207.0,U/L,'=',Activity,,3.05,141.56,4.0,5.0,4.0,0.29,26.0,4.0,0.0,CHEMBL4434621,Ebolavirus,Ebolavirus
