molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL1631000,O=C(O)CCCCCNC(=O)/C(=C/c1ccccc1)NC(=O)c1ccco1,C20H22N2O5,SUHGDWPKYGQPAF-PEZBUJJGSA-N,"InChI=1S/C20H22N2O5/c23-18(24)11-5-2-6-12-21-19(25)16(14-15-8-3-1-4-9-15)22-20(26)17-10-7-13-27-17/h1,3-4,7-10,13-14H,2,5-6,11-12H2,(H,21,25)(H,22,26)(H,23,24)/b16-14-",370.4,Small molecule,0.0,%,'=',Inhibition,,2.81,108.64,4.0,3.0,10.0,0.44,27.0,2.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631619,O=C(c1ccco1)N1CCN(C(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc3nsnc3c2)CC1,C24H23N5O5S2,UMHQDVJVNKQWNF-UHFFFAOYSA-N,"InChI=1S/C24H23N5O5S2/c30-23(28-10-12-29(13-11-28)24(31)22-7-4-14-34-22)21(15-17-5-2-1-3-6-17)27-36(32,33)18-8-9-19-20(16-18)26-35-25-19/h1-9,14,16,21,27H,10-13,15H2",525.61,Small molecule,22.0,%,'=',Inhibition,,2.16,125.71,8.0,1.0,7.0,0.39,36.0,4.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631621,O=C(NCC1COc2ccccc2O1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1,C24H22N4O5S2,INLDLAFZCBBLEU-UHFFFAOYSA-N,"InChI=1S/C24H22N4O5S2/c29-24(25-14-17-15-32-22-8-4-5-9-23(22)33-17)21(12-16-6-2-1-3-7-16)28-35(30,31)18-10-11-19-20(13-18)27-34-26-19/h1-11,13,17,21,28H,12,14-15H2,(H,25,29)",510.6,Small molecule,20.0,%,'=',Inhibition,,2.54,119.51,8.0,2.0,8.0,0.37,35.0,4.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631628,O=C(C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12)N1CCC2(CC1)OCCO2,C25H27N3O5S,DHRUDVWQTJYJKN-UHFFFAOYSA-N,"InChI=1S/C25H27N3O5S/c29-24(28-14-11-25(12-15-28)32-16-17-33-25)21(18-19-6-2-1-3-7-19)27-34(30,31)22-10-4-8-20-9-5-13-26-23(20)22/h1-10,13,21,27H,11-12,14-18H2",481.57,Small molecule,9.0,%,'=',Inhibition,,2.49,97.83,6.0,1.0,6.0,0.58,34.0,3.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631634,COc1ccc(CCNC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc(Cl)cc2)cc1OC,C25H27ClN2O5S,UFIUSKGSSHFIPT-UHFFFAOYSA-N,"InChI=1S/C25H27ClN2O5S/c1-32-23-13-8-19(17-24(23)33-2)14-15-27-25(29)22(16-18-6-4-3-5-7-18)28-34(30,31)21-11-9-20(26)10-12-21/h3-13,17,22,28H,14-16H2,1-2H3,(H,27,29)",503.02,Small molecule,14.0,%,'=',Inhibition,,3.61,93.73,5.0,2.0,11.0,0.42,34.0,3.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1396288,O=C(NCc1ccc(Cl)cc1)C1CCCN(c2ncnc3onc(-c4ccc(F)cc4)c23)C1,C24H21ClFN5O2,LMAPZEJFWUHCBR-UHFFFAOYSA-N,"InChI=1S/C24H21ClFN5O2/c25-18-7-3-15(4-8-18)12-27-23(32)17-2-1-11-31(13-17)22-20-21(16-5-9-19(26)10-6-16)30-33-24(20)29-14-28-22/h3-10,14,17H,1-2,11-13H2,(H,27,32)",465.92,Small molecule,23.6,%,'=',Inhibition,,4.61,84.15,6.0,1.0,5.0,0.46,33.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631730,CCc1ccc(CNC(=O)C2CCCN(c3ncnc4onc(-c5ccc(F)cc5)c34)C2)cc1,C26H26FN5O2,OGUNFCLUOHJKAR-UHFFFAOYSA-N,"InChI=1S/C26H26FN5O2/c1-2-17-5-7-18(8-6-17)14-28-25(33)20-4-3-13-32(15-20)24-22-23(19-9-11-21(27)12-10-19)31-34-26(22)30-16-29-24/h5-12,16,20H,2-4,13-15H2,1H3,(H,28,33)",459.53,Small molecule,7.0,%,'=',Inhibition,,4.52,84.15,6.0,1.0,6.0,0.46,34.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1391201,O=C(CCn1c(=O)c2ccccc2n(Cc2cc(=O)n3ccccc3n2)c1=O)NCc1ccco1,C25H21N5O5,ZDJYRFMZJIEMPW-UHFFFAOYSA-N,"InChI=1S/C25H21N5O5/c31-22(26-15-18-6-5-13-35-18)10-12-29-24(33)19-7-1-2-8-20(19)30(25(29)34)16-17-14-23(32)28-11-4-3-9-21(28)27-17/h1-9,11,13-14H,10,12,15-16H2,(H,26,31)",471.47,Small molecule,15.0,%,'=',Inhibition,,1.52,120.61,9.0,1.0,7.0,0.38,35.0,5.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1631740,O=C(CSc1nc2ccccc2c(=O)n1Cc1ccc2c(c1)OCO2)NCc1ccco1,C23H19N3O5S,BWCISTKGFCHDBS-UHFFFAOYSA-N,"InChI=1S/C23H19N3O5S/c27-21(24-11-16-4-3-9-29-16)13-32-23-25-18-6-2-1-5-17(18)22(28)26(23)12-15-7-8-19-20(10-15)31-14-30-19/h1-10H,11-14H2,(H,24,27)",449.49,Small molecule,34.2,%,'=',Inhibition,,3.18,95.59,8.0,1.0,7.0,0.34,32.0,4.0,0.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
CHEMBL1593957,Cc1cccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NCc4cccs4)cc32)c1,C27H22N2O2S2,BUJIPWVASJYAKD-UHFFFAOYSA-N,"InChI=1S/C27H22N2O2S2/c1-18-6-4-7-19(14-18)17-29-23-15-20(26(30)28-16-21-8-5-13-32-21)11-12-25(23)33-24-10-3-2-9-22(24)27(29)31/h2-15H,16-17H2,1H3,(H,28,30)",470.62,Small molecule,8.3,%,'=',Inhibition,,6.3,49.41,4.0,1.0,5.0,0.37,33.0,4.0,1.0,CHEMBL1907598,Integrin alpha-V/beta-3,Homo sapiens
