chembl_id,name,synonyms,type,max_phase,molecular_weight,targets,bioactivities,alogp,polar_surface_area,hba,hbd,ro5_violations,rotatable_bonds,passes_ro3,qed_weighted,aromatic_rings,structure_type,inorganic_flag,heavy_atoms,np_likeness_score,molecular_formula,smiles,inchi_key,inchi,withdrawn_flag,orphan,records_key,records_name
CHEMBL2322817,,,Small molecule,,358.45,1,1,4.74,51.97,5,1,0,6,N,0.54,4,MOL,-1,27,-1.84,C22H22N4O,CCOc1ccc(-n2cnc3cc(NCc4ccc(C)nc4)ccc32)cc1,IBYKLOHNGXSCRZ-UHFFFAOYSA-N,"InChI=1S/C22H22N4O/c1-3-27-20-9-7-19(8-10-20)26-15-25-21-12-18(6-11-22(21)26)24-14-17-5-4-16(2)23-13-17/h4-13,15,24H,3,14H2,1-2H3",False,-1,['7v'],['1-(4-ethoxyphenyl)-N-((6-methylpyridin-3-yl)methyl)-1H-benzo[d]imidazol-5-amine']
CHEMBL2322812,,,Small molecule,,389.46,1,1,4.66,57.54,6,1,0,7,N,0.5,4,MOL,-1,29,-1.23,C23H23N3O3,COc1ccc(-n2cnc3cc(NCc4ccc(OC)c(OC)c4)ccc32)cc1,FLPMDKMKNCSOHN-UHFFFAOYSA-N,"InChI=1S/C23H23N3O3/c1-27-19-8-6-18(7-9-19)26-15-25-20-13-17(5-10-21(20)26)24-14-16-4-11-22(28-2)23(12-16)29-3/h4-13,15,24H,14H2,1-3H3",False,-1,['7q'],"['N-(3,4-dimethoxybenzyl)-1-(4-methoxyphenyl)-1H-benzo[d]imidazol-5-amine']"
CHEMBL2435320,,,Small molecule,,368.91,1,1,5.28,41.46,2,1,1,4,N,0.58,2,MOL,-1,26,-1.3,C22H25ClN2O,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccc(C(C)(C)C)cc1)c1ccc(Cl)cc1,DZXGDLAKZTXDBZ-MJEARJAWSA-N,"InChI=1S/C22H25ClN2O/c1-14(15-7-11-18(23)12-8-15)24-25-21(26)20-13-19(20)16-5-9-17(10-6-16)22(2,3)4/h5-12,19-20H,13H2,1-4H3,(H,25,26)/b24-14+/t19-,20+/m0/s1",False,-1,['4b'],"[trans-2-(4-tert-butylphenyl)-N'-(1-(4-chlorophenyl)ethylidene)cyclopropanecarbohydrazide""]"""
CHEMBL2435315,,,Small molecule,,361.45,1,1,3.68,70.56,3,2,0,6,N,0.61,2,MOL,-1,27,-1.44,C22H23N3O2,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)C2CC2)cc1,PFIVUVPFOSVBPJ-MJEARJAWSA-N,"InChI=1S/C22H23N3O2/c1-14(15-9-11-18(12-10-15)23-21(26)17-7-8-17)24-25-22(27)20-13-19(20)16-5-3-2-4-6-16/h2-6,9-12,17,19-20H,7-8,13H2,1H3,(H,23,26)(H,25,27)/b24-14+/t19-,20+/m0/s1",False,-1,['3w'],['trans-N-(4-(1-(2-(2-phenylcyclopropanecarbonyl)hydrazono)ethyl)phenyl)cyclopropanecarboxamide']
CHEMBL2322808,,,Small molecule,,426.56,1,1,5.63,42.32,5,1,1,7,N,0.42,4,MOL,-1,32,-1.52,C27H30N4O,COc1ccc(-n2cnc3cc(NCc4ccc(CN5CCCCC5)cc4)ccc32)cc1,BEDAOIMFFKBIDJ-UHFFFAOYSA-N,"InChI=1S/C27H30N4O/c1-32-25-12-10-24(11-13-25)31-20-29-26-17-23(9-14-27(26)31)28-18-21-5-7-22(8-6-21)19-30-15-3-2-4-16-30/h5-14,17,20,28H,2-4,15-16,18-19H2,1H3",False,-1,['7m'],['1-(4-methoxyphenyl)-N-(4-(piperidin-1-ylmethyl)benzyl)-1H-benzo[d]imidazol-5-amine']
CHEMBL2322821,,,Small molecule,,385.51,1,1,5.79,30.29,4,0,1,6,N,0.42,4,MOL,-1,29,-1.36,C25H27N3O,COc1ccc(-n2cnc3cc(N(C)Cc4ccc(C(C)C)cc4)ccc32)cc1,RSWBAJDUHXONLP-UHFFFAOYSA-N,"InChI=1S/C25H27N3O/c1-18(2)20-7-5-19(6-8-20)16-27(3)22-11-14-25-24(15-22)26-17-28(25)21-9-12-23(29-4)13-10-21/h5-15,17-18H,16H2,1-4H3",False,-1,['13'],['N-(4-isopropylbenzyl)-1-(4-methoxyphenyl)-N-methyl-1H-benzo[d]imidazol-5-amine']
CHEMBL564774,,,Small molecule,,424.54,1,1,5.31,36.69,3,0,1,5,N,0.44,4,MOL,-1,32,-1.02,C28H28N2O2,Cc1ccc(CN2CCN(C(=O)c3cc4ccccc4o3)C[C@@H]2Cc2ccccc2)cc1,HULWOOGEHDFSNJ-VWLOTQADSA-N,"InChI=1S/C28H28N2O2/c1-21-11-13-23(14-12-21)19-29-15-16-30(20-25(29)17-22-7-3-2-4-8-22)28(31)27-18-24-9-5-6-10-26(24)32-27/h2-14,18,25H,15-17,19-20H2,1H3/t25-/m0/s1",False,-1,['11'],['Benzofuran-2-yl-[(S)-3-benzyl-4-(4-methyl-benzyl)-piperazin-1-yl]-methanone']
CHEMBL2435197,,,Small molecule,,369.47,1,1,4.12,67.48,3,2,0,5,N,0.4,3,MOL,-1,28,-0.53,C24H23N3O,C/C(=N\NC(=O)C1CC1(c1ccccc1)c1ccccc1)c1ccc(N)cc1,ZDVWSAXPVASUBN-YZSQISJMSA-N,"InChI=1S/C24H23N3O/c1-17(18-12-14-21(25)15-13-18)26-27-23(28)22-16-24(22,19-8-4-2-5-9-19)20-10-6-3-7-11-20/h2-15,22H,16,25H2,1H3,(H,27,28)/b26-17+",False,-1,['5e'],"[N'-(1-(4-aminophenyl)ethylidene)-2,2-diphenylcyclopropanecarbohydrazide""]"""
CHEMBL2435308,,,Small molecule,,306.41,1,1,3.95,41.46,2,1,0,4,N,0.67,2,MOL,-1,23,-1.13,C20H22N2O,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(C)cc1C,UPULGZMUAHGMHN-CDDVYSJNSA-N,"InChI=1S/C20H22N2O/c1-13-9-10-17(14(2)11-13)15(3)21-22-20(23)19-12-18(19)16-7-5-4-6-8-16/h4-11,18-19H,12H2,1-3H3,(H,22,23)/b21-15+/t18-,19+/m0/s1",False,-1,['3p'],"[trans-N'-(1-(2,4-dimethylphenyl)ethylidene)-2-phenylcyclopropanecarbohydrazide""]"""
CHEMBL4862268,,,Unknown,,346.41,4,4,5.59,26.53,3,0,1,4,N,0.48,4,MOL,-1,26,-1.39,C22H19FN2O,CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(F)cc4)cn23)cc1,YVHUFJVGRIHUOK-UHFFFAOYSA-N,"InChI=1S/C22H19FN2O/c1-15(2)26-20-10-5-17(6-11-20)21-13-24-22-12-7-18(14-25(21)22)16-3-8-19(23)9-4-16/h3-15H,1-2H3",False,-1,['3f'],"['6-(4-fluorophenyl)-3-(4-isopropoxyphenyl)imidazo[1,2-a]pyridine']"
