molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL2323111,CNc1ccc2c(c1)ncn2-c1ccc(OC)cc1,C15H15N3O,NLELCMUNWBNDCQ-UHFFFAOYSA-N,"InChI=1S/C15H15N3O/c1-16-11-3-8-15-14(9-11)17-10-18(15)12-4-6-13(19-2)7-5-12/h3-10,16H,1-2H3",253.31,Small molecule,,,,Activity,,3.08,39.08,4,1,3,0.78,19,3,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2314859,COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,C24H25N3O,JPSZEXYTKSIPDW-UHFFFAOYSA-N,"InChI=1S/C24H25N3O/c1-17(2)19-6-4-18(5-7-19)15-25-20-8-13-24-23(14-20)26-16-27(24)21-9-11-22(28-3)12-10-21/h4-14,16-17,25H,15H2,1-3H3",371.48,Small molecule,2.0,,'=',FC,,5.77,39.08,4,1,6,0.47,28,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2314868,CCOc1ccc(Cn2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,C24H26N4O,YCELCDDRHIAHGC-UHFFFAOYSA-N,"InChI=1S/C24H26N4O/c1-3-18-5-7-19(8-6-18)14-25-21-13-23-24(26-15-21)28(17-27-23)16-20-9-11-22(12-10-20)29-4-2/h5-13,15,17,25H,3-4,14,16H2,1-2H3",386.5,Small molecule,1600.0,nM,'=',EC50,5.8,5.05,51.97,5,1,8,0.46,29,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2315151,CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)nc1,C22H23N5O,ZPHWVWUIDMOUMV-UHFFFAOYSA-N,"InChI=1S/C22H23N5O/c1-3-16-5-7-17(8-6-16)12-23-18-11-20-22(25-13-18)27(15-26-20)21-10-9-19(14-24-21)28-4-2/h5-11,13-15,23H,3-4,12H2,1-2H3",373.46,Small molecule,0.98,nM,'=',EC50,9.01,4.39,64.86,6,1,7,0.52,28,4,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2315139,CCOc1ccc(-n2ccc3cc(NCc4ccc(CC)cc4)ccc32)cc1,C25H26N2O,YAZYNFTXSMINHB-UHFFFAOYSA-N,"InChI=1S/C25H26N2O/c1-3-19-5-7-20(8-6-19)18-26-22-9-14-25-21(17-22)15-16-27(25)23-10-12-24(13-11-23)28-4-2/h5-17,26H,3-4,18H2,1-2H3",370.5,Small molecule,69.0,nM,'=',EC50,7.16,6.2,26.19,3,1,7,0.42,28,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,C34H43N3O5,KSISWIVDFITFKQ-UHFFFAOYSA-N,"InChI=1S/C34H43N3O5/c1-41-33(40)28-8-6-24(7-9-28)23-42-30-5-3-2-4-29(30)22-36-10-12-37(13-11-36)32(39)21-35-31(38)20-34-17-25-14-26(18-34)16-27(15-25)19-34/h2-9,25-27H,10-23H2,1H3,(H,35,38)",573.73,Small molecule,,%,,Inhibition,,4.42,88.18,6,1,10,0.42,42,2,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2314867,CCOc1ccc(-n2cnc3cc(/N=C/c4ccc(CC)cc4)cnc32)cc1,C23H22N4O,ASDSCMPUBXZHDD-ZVHZXABRSA-N,"InChI=1S/C23H22N4O/c1-3-17-5-7-18(8-6-17)14-24-19-13-22-23(25-15-19)27(16-26-22)20-9-11-21(12-10-20)28-4-2/h5-16H,3-4H2,1-2H3/b24-14+",370.46,Small molecule,4300.0,nM,'=',EC50,5.37,5.13,52.3,5,0,6,0.44,28,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2322815,COc1ccc(-n2cnc3cc(NCc4ccccc4OC)ccc32)cc1,C22H21N3O2,CWVNGHGRVCDVIO-UHFFFAOYSA-N,"InChI=1S/C22H21N3O2/c1-26-19-10-8-18(9-11-19)25-15-24-20-13-17(7-12-21(20)25)23-14-16-5-3-4-6-22(16)27-2/h3-13,15,23H,14H2,1-2H3",359.43,Small molecule,460.0,nM,'=',EC50,6.34,4.65,48.31,5,1,6,0.54,27,4,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL559853,COc1ccc(C(=O)N2CC(=O)N(Cc3ccc(C)cc3)C(CCc3ccccc3)C2)cc1,C28H30N2O3,NJYGDAJNEQOZCU-UHFFFAOYSA-N,"InChI=1S/C28H30N2O3/c1-21-8-10-23(11-9-21)18-30-25(15-12-22-6-4-3-5-7-22)19-29(20-27(30)31)28(32)24-13-16-26(33-2)17-14-24/h3-11,13-14,16-17,25H,12,15,18-20H2,1-2H3",442.56,Small molecule,400.0,nM,'=',IC50,6.4,4.49,49.85,3,0,7,0.54,33,3,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL564725,Cc1ccc(CN2C(=O)CN(C(=O)c3cc4ccccc4o3)C[C@@H]2Cc2ccccc2)cc1,C28H26N2O3,AUWNHKXYVROESW-DEOSSOPVSA-N,"InChI=1S/C28H26N2O3/c1-20-11-13-22(14-12-20)17-30-24(15-21-7-3-2-4-8-21)18-29(19-27(30)31)28(32)26-16-23-9-5-6-10-25(23)33-26/h2-14,16,24H,15,17-19H2,1H3/t24-/m0/s1",438.53,Small molecule,200.0,nM,'=',IC50,6.7,4.84,53.76,3,0,5,0.45,33,4,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2315150,CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cn1,C22H23N5O,WFUALLAHVBHOCP-UHFFFAOYSA-N,"InChI=1S/C22H23N5O/c1-3-16-5-7-17(8-6-16)12-23-18-11-20-22(25-13-18)27(15-26-20)19-9-10-21(24-14-19)28-4-2/h5-11,13-15,23H,3-4,12H2,1-2H3",373.46,Small molecule,9.0,nM,'=',EC50,8.05,4.39,64.86,6,1,7,0.52,28,4,0,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2322804,COc1ccc(-n2cnc3cc(NCc4ccc(Oc5ccccc5)cc4)ccc32)cc1,C27H23N3O2,YGAREEBFOUZSFW-UHFFFAOYSA-N,"InChI=1S/C27H23N3O2/c1-31-23-14-10-22(11-15-23)30-19-29-26-17-21(9-16-27(26)30)28-18-20-7-12-25(13-8-20)32-24-5-3-2-4-6-24/h2-17,19,28H,18H2,1H3",421.5,Small molecule,380.0,nM,'=',EC50,6.42,6.44,48.31,5,1,7,0.33,32,5,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2322788,CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(Oc3ccccc3)cc2)cc1,C29H27N3O,CKXYATFOQOWDBV-UHFFFAOYSA-N,"InChI=1S/C29H27N3O/c1-21(2)23-10-8-22(9-11-23)19-30-24-12-17-29-28(18-24)31-20-32(29)25-13-15-27(16-14-25)33-26-6-4-3-5-7-26/h3-18,20-21,30H,19H2,1-2H3",433.56,Small molecule,130.0,nM,'=',EC50,6.89,7.55,39.08,4,1,7,0.29,33,5,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
CHEMBL2314859,COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,C24H25N3O,JPSZEXYTKSIPDW-UHFFFAOYSA-N,"InChI=1S/C24H25N3O/c1-17(2)19-6-4-18(5-7-19)15-25-20-8-13-24-23(14-20)26-16-27(24)21-9-11-22(28-3)12-10-21/h4-14,16-17,25H,15H2,1-3H3",371.48,Small molecule,1.4,nM,'=',EC50,8.85,5.77,39.08,4,1,6,0.47,28,4,1,CHEMBL615051,Lassa virus,Mammarenavirus lassaense
