chembl_id,name,synonyms,type,max_phase,molecular_weight,targets,bioactivities,alogp,polar_surface_area,hba,hbd,ro5_violations,rotatable_bonds,passes_ro3,qed_weighted,aromatic_rings,structure_type,inorganic_flag,heavy_atoms,np_likeness_score,molecular_formula,smiles,inchi_key,inchi,withdrawn_flag,orphan,records_key,records_name
CHEMBL4276737,,,Small molecule,,295.42,10,19,2.47,38.77,4,0,0,4,N,0.75,0,MOL,-1,21,0.49,C17H29NO3,CC1(C)[C@H]2CC[C@]1(C)[C@H](OC(=O)CCN1CCOCC1)C2,HCUUOJPNLZSIOE-JJRVBVJISA-N,"InChI=1S/C17H29NO3/c1-16(2)13-4-6-17(16,3)14(12-13)21-15(19)5-7-18-8-10-20-11-9-18/h13-14H,4-12H2,1-3H3/t13-,14+,17+/m0/s1",False,-1,"['5b', '16', 'Fig 2, cpd 1', '8', '4', '84']","['(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-morpholinopropanoate', '[(1S,2R,4S)-1,7,7-trimethylnorbornan-2-yl]-3-morpholinopropanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(morpholin-4-yl)propanoate']"
CHEMBL4634276,,,Unknown,,428.91,6,15,6.19,32.34,3,1,1,5,N,0.58,2,MOL,-1,28,-1.82,C20H20ClF3N2OS,O=C(Nc1ccc(SC(F)(F)F)c(Cl)c1)c1ccc(CN2CCCCC2)cc1,WPWIBAJORWQXGH-UHFFFAOYSA-N,"InChI=1S/C20H20ClF3N2OS/c21-17-12-16(8-9-18(17)28-20(22,23)24)25-19(27)15-6-4-14(5-7-15)13-26-10-2-1-3-11-26/h4-9,12H,1-3,10-11,13H2,(H,25,27)",False,-1,['20'],['N-(3-Chloro-4-((trifluoromethyl)thio)phenyl)-4-(piperidin-1-ylmethyl)benzamide']
CHEMBL4633085,,,Unknown,,390.57,6,15,6.02,23.55,2,0,1,3,N,0.64,2,MOL,-1,29,-0.91,C26H34N2O,CC(c1ccc(C(=O)N2CC(C(C)(C)C)c3ccccc32)cc1)N1CCCCC1,BXHYTOCNWCVUKA-UHFFFAOYSA-N,"InChI=1S/C26H34N2O/c1-19(27-16-8-5-9-17-27)20-12-14-21(15-13-20)25(29)28-18-23(26(2,3)4)22-10-6-7-11-24(22)28/h6-7,10-15,19,23H,5,8-9,16-18H2,1-4H3",False,-1,['50'],['(3-(tert-Butyl)indolin-1-yl)(4-(1-(piperidin-1-yl)ethyl)phenyl)methanone']
CHEMBL4645609,,,Unknown,,390.57,6,15,6.53,32.34,2,1,1,5,N,0.63,2,MOL,-1,29,-1.09,C26H34N2O,CC(c1ccc(C(=O)Nc2ccc(C3CCCCC3)cc2)cc1)N1CCCCC1,APXWDUYXDRSGGN-UHFFFAOYSA-N,"InChI=1S/C26H34N2O/c1-20(28-18-6-3-7-19-28)21-10-12-24(13-11-21)26(29)27-25-16-14-23(15-17-25)22-8-4-2-5-9-22/h10-17,20,22H,2-9,18-19H2,1H3,(H,27,29)",False,-1,['27'],['N-(4-Cyclohexylphenyl)-4-(1-(piperidin-1-yl)ethyl)benzamide']
CHEMBL5205032,,,,,588.56,8,52,2.06,203.55,13,4,2,12,N,0.18,3,MOL,-1,41,0.14,C26H33N6O8P,CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,QHEKHVFPDPTSKM-PZPGFRDGSA-N,"InChI=1S/C26H33N6O8P/c1-4-17(5-2)38-25(35)16(3)31-41(36,40-18-9-7-6-8-10-18)37-13-20-22(33)23(34)26(14-27,39-20)21-12-11-19-24(28)29-15-30-32(19)21/h6-12,15-17,20,22-23,33-34H,4-5,13H2,1-3H3,(H,31,36)(H2,28,29,30)/t16-,20+,22+,23+,26-,41-/m0/s1",False,-1,['1; GS-5734'],['Remdesivir; Veklury']
CHEMBL4215857,,,Small molecule,,406.49,5,6,4.98,15.71,3,0,0,3,N,0.66,1,MOL,-1,29,0.12,C23H29F3N2O,FC(F)(F)Oc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,CCRDTUVQAPCPFB-YVNJGZBMSA-N,"InChI=1S/C23H29F3N2O/c24-23(25,26)29-20-8-6-16(7-9-20)14-28-11-3-4-17-12-18-13-19(22(17)28)15-27-10-2-1-5-21(18)27/h6-9,12,18-19,21-22H,1-5,10-11,13-15H2/t18-,19+,21+,22+/m0/s1",False,-1,['2h'],['12N-p-trifluoromethoxylbenzyl aloperine']
CHEMBL4751531,,,Unknown,,551.78,3,8,7.2,44.81,4,1,2,11,N,0.26,3,MOL,-1,41,-0.94,C36H45N3O2,CC/C(=C(/c1ccc(NC(=O)CC2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,WXFBEVAWEMSQCA-JMUUFCRMSA-N,"InChI=1S/C36H45N3O2/c1-3-34(29-9-5-4-6-10-29)36(31-13-17-33(18-14-31)41-26-25-39-21-7-8-22-39)30-11-15-32(16-12-30)37-35(40)27-28-19-23-38(2)24-20-28/h4-6,9-18,28H,3,7-8,19-27H2,1-2H3,(H,37,40)/b36-34+",False,-1,['35'],['(E)-2-(1-methylpiperidin-4-yl)-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)acetamide']
CHEMBL4782391,,,Unknown,,523.72,8,20,6.42,44.81,4,1,2,10,N,0.31,3,MOL,-1,39,-1.03,C34H41N3O2,CC/C(=C(/c1ccc(NC(=O)C2CCN(C)C2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,FJBQHGUWSRWRCM-ULIFNZDWSA-N,"InChI=1S/C34H41N3O2/c1-3-32(26-9-5-4-6-10-26)33(28-13-17-31(18-14-28)39-24-23-37-20-7-8-21-37)27-11-15-30(16-12-27)35-34(38)29-19-22-36(2)25-29/h4-6,9-18,29H,3,7-8,19-25H2,1-2H3,(H,35,38)/b33-32+",False,-1,['32'],['(E)-1-methyl-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)pyrrolidine-3-carboxamide']
CHEMBL4754810,,,Unknown,,537.75,8,20,6.81,44.81,4,1,2,10,N,0.29,3,MOL,-1,40,-1.03,C35H43N3O2,CC/C(=C(/c1ccc(NC(=O)C2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,QZYZQDMZNKXJSA-JEIPZWNWSA-N,"InChI=1S/C35H43N3O2/c1-3-33(27-9-5-4-6-10-27)34(29-13-17-32(18-14-29)40-26-25-38-21-7-8-22-38)28-11-15-31(16-12-28)36-35(39)30-19-23-37(2)24-20-30/h4-6,9-18,30H,3,7-8,19-26H2,1-2H3,(H,36,39)/b34-33+",False,-1,['30'],['(E)-1-methyl-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)piperidine-4-carboxamide']
CHEMBL4638872,,,Unknown,,461.53,6,16,5.03,44.81,4,1,1,5,N,0.68,2,MOL,-1,33,-1.7,C25H30F3N3O2,CC1CCN(c2ccc(NC(=O)c3ccc(CN4CCOCC4)cc3)cc2C(F)(F)F)CC1,VVJSZYWIEBDKTC-UHFFFAOYSA-N,"InChI=1S/C25H30F3N3O2/c1-18-8-10-31(11-9-18)23-7-6-21(16-22(23)25(26,27)28)29-24(32)20-4-2-19(3-5-20)17-30-12-14-33-15-13-30/h2-7,16,18H,8-15,17H2,1H3,(H,29,32)",False,-1,"['35', '16']","['N-(4-(4-Methylpiperidin-1-yl)-3-(trifluoromethyl)phenyl)-4-(morpholinomethyl)benzamide', 'N-(4-(4-methylpiperidin-1-yl)-3-(trifluoromethyl)phenyl)-4-(morpholinomethyl)benzamide']"
CHEMBL4206756,,,Small molecule,,419.44,5,6,5.82,6.48,2,0,1,4,N,0.57,1,MOL,-1,28,0.23,C24H32Cl2N2,Clc1ccc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,NSSUOFYUZNFJDL-HBUYNFGHSA-N,"InChI=1S/C24H32Cl2N2/c25-21-9-8-17(13-22(21)26)5-3-11-27-12-4-6-18-14-19-15-20(24(18)27)16-28-10-2-1-7-23(19)28/h8-9,13-14,19-20,23-24H,1-7,10-12,15-16H2/t19-,20+,23+,24+/m0/s1",False,-1,['8d'],"[12N-3',4'-dichlorohydrocinnamyl aloperine""]"""
CHEMBL4279271,,,Small molecule,,322.49,9,19,2.77,32.78,4,0,0,5,N,0.73,0,MOL,-1,23,0.46,C19H34N2O2,CCN1CCN(CCC(=O)O[C@@H]2C[C@@H]3CC[C@@]2(C)C3(C)C)CC1,BSKWMRLURFYVGO-FRQCXROJSA-N,"InChI=1S/C19H34N2O2/c1-5-20-10-12-21(13-11-20)9-7-17(22)23-16-14-15-6-8-19(16,4)18(15,2)3/h15-16H,5-14H2,1-4H3/t15-,16+,19+/m0/s1",False,-1,"['7b', '12', '19']","['(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-ethylpiperazin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-ethylpiperazin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(4-ethylpiperazin-1-yl)propanoate']"
CHEMBL4211416,,,Small molecule,,405.37,5,6,5.03,23.55,2,0,1,1,N,0.61,1,MOL,-1,27,0.11,C22H26Cl2N2O,O=C(c1cc(Cl)cc(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,YXQOJLIQCWSJBZ-AXNOTKAXSA-N,"InChI=1S/C22H26Cl2N2O/c23-18-10-16(11-19(24)12-18)22(27)26-7-3-4-14-8-15-9-17(21(14)26)13-25-6-2-1-5-20(15)25/h8,10-12,15,17,20-21H,1-7,9,13H2/t15-,17+,20+,21+/m0/s1",False,-1,['3a'],"[12N-3',5'-dichlorobenzoyl aloperine""]"""
CHEMBL5584026,,,,,294.44,4,14,1.99,32.78,4,0,0,3,N,0.75,0,MOL,-1,21,0.5,C17H30N2O2,CN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,WLBVLQYBHQQYFP-JLJPHGGASA-N,"InChI=1S/C17H30N2O2/c1-16(2)13-5-6-17(3,11-13)15(16)21-14(20)12-19-9-7-18(4)8-10-19/h13,15H,5-12H2,1-4H3/t13-,15-,17+/m0/s1",False,-1,['6a'],"['(1R,2R,4S)-1,3,3-Trimethylbicyclo[2.2.1]heptan-2-yl 2-(4-methylpiperazin-1-yl)acetate']"
CHEMBL5591685,,,,,308.47,4,14,2.24,32.78,4,0,0,4,N,0.75,0,MOL,-1,22,0.32,C18H32N2O2,C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CCN1CCN(C)CC1)C2(C)C,IDMWZSMOCVUKMB-QKPAOTATSA-N,"InChI=1S/C18H32N2O2/c1-13-15-11-14(18(15,2)3)12-16(13)22-17(21)5-6-20-9-7-19(4)8-10-20/h13-16H,5-12H2,1-4H3/t13-,14+,15-,16-/m1/s1",False,-1,['12b'],"['(1R,2R,3R,5S)-2,6,6-Trimethylbicyclo[3.1.1]heptan-3-yl 3-(4-methylpiperazin-1-yl)propanoate']"
CHEMBL5595146,,,,,307.48,4,5,3.87,29.54,3,0,0,5,N,0.72,0,MOL,-1,22,0.53,C19H33NO2,C[C@@H]1[C@H]2C[C@@H](C[C@H]1OC(=O)CCCN1CCCCC1)C2(C)C,ZEVNAVDGOPMPHO-YYIAUSFCSA-N,"InChI=1S/C19H33NO2/c1-14-16-12-15(19(16,2)3)13-17(14)22-18(21)8-7-11-20-9-5-4-6-10-20/h14-17H,4-13H2,1-3H3/t14-,15+,16-,17-/m1/s1",False,-1,['11c'],"['(1R,2R,3R,5S)-2,6,6-Trimethylbicyclo[3.1.1]heptan-3-yl 4-(piperidin-1-yl)butanoate']"
