molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL5593581,CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2cccnc2)CC1,C22H26N4O,YLNQLMXGGSQIQN-UHFFFAOYSA-N,"InChI=1S/C22H26N4O/c1-24(2)19-9-12-25(13-10-19)22(27)21-14-18-7-3-4-8-20(18)26(21)16-17-6-5-11-23-15-17/h3-8,11,14-15,19H,9-10,12-13,16H2,1-2H3",362.48,,38600.0,nM,'=',EC50,4.41,3.25,41.37,4,0,4,0.72,27,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5593153,CN(C)C1CCN(C(=O)c2cc3occc3n2Cc2ccc(Cl)cc2)CC1,C21H24ClN3O2,HRDVUCUABAONSN-UHFFFAOYSA-N,"InChI=1S/C21H24ClN3O2/c1-23(2)17-7-10-24(11-8-17)21(26)19-13-20-18(9-12-27-20)25(19)14-15-3-5-16(22)6-4-15/h3-6,9,12-13,17H,7-8,10-11,14H2,1-2H3",385.9,,7960.0,nM,'=',EC50,5.1,4.1,41.62,4,0,4,0.68,27,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5584196,CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(F)cc2)CC1,C23H26FN3O,FTGVSSYBOZZZRD-UHFFFAOYSA-N,"InChI=1S/C23H26FN3O/c1-25(2)20-11-13-26(14-12-20)23(28)22-15-18-5-3-4-6-21(18)27(22)16-17-7-9-19(24)10-8-17/h3-10,15,20H,11-14,16H2,1-2H3",379.48,,20000.0,nM,'>',EC50,,3.99,28.48,3,0,4,0.69,28,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5593168,CC(C)N1CCN(C(=O)c2cc3sccc3n2Cc2ccc(Cl)cc2)CC1,C21H24ClN3OS,VFDIWJQNCQZJLE-UHFFFAOYSA-N,"InChI=1S/C21H24ClN3OS/c1-15(2)23-8-10-24(11-9-23)21(26)19-13-20-18(7-12-27-20)25(19)14-16-3-5-17(22)6-4-16/h3-7,12-13,15H,8-11,14H2,1-2H3",401.96,,32800.0,nM,'=',EC50,4.48,4.57,28.48,4,0,4,0.64,27,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5595960,CC1CCN(CCCC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,C20H35NO2,PAMLLPGDKFYARA-XKGZKEIXSA-N,"InChI=1S/C20H35NO2/c1-15-8-12-21(13-9-15)11-5-6-17(22)23-18-19(2,3)16-7-10-20(18,4)14-16/h15-16,18H,5-14H2,1-4H3/t16-,18-,20+/m0/s1",321.5,,1.6,,'=',Ratio IC50,,4.26,29.54,3,0,5,0.71,23,0,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL1236524,Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,C11H15N5O3,AMFDITJFBUXZQN-KUBHLMPHSA-N,"InChI=1S/C11H15N5O3/c12-11-8-6(14-3-15-11)4(1-13-8)7-10(19)9(18)5(2-17)16-7/h1,3,5,7,9-10,13,16-19H,2H2,(H2,12,14,15)/t5-,7+,9-,10+/m1/s1",265.27,Small molecule,3000.0,nM,'=',EC50,5.52,-1.73,140.31,7,6,2,0.38,19,2,1,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5592994,CCN1CCN(CC(=O)O[C@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)CC1,C18H32N2O2,LWHIZQBSKLSFFG-QILLFSRXSA-N,"InChI=1S/C18H32N2O2/c1-5-19-8-10-20(11-9-19)13-15(21)22-16-17(2,3)14-6-7-18(16,4)12-14/h14,16H,5-13H2,1-4H3/t14-,16-,18+/m0/s1",308.47,,30100.0,nM,'=',IC50,4.52,2.38,32.78,4,0,4,0.75,22,0,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5595813,O=C(NCCN1CCC1)c1cc2occc2n1Cc1cccc(C(F)(F)F)c1,C20H20F3N3O2,AAGLEUDGCVLXIQ-UHFFFAOYSA-N,"InChI=1S/C20H20F3N3O2/c21-20(22,23)15-4-1-3-14(11-15)13-26-16-5-10-28-18(16)12-17(26)19(27)24-6-9-25-7-2-8-25/h1,3-5,10-12H,2,6-9,13H2,(H,24,27)",391.39,,6220.0,nM,'=',EC50,5.21,3.74,50.41,4,1,6,0.7,28,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5593540,CN(C)C1CCN(C(=O)c2cc3occc3n2Cc2ccc(F)cc2)CC1,C21H24FN3O2,SROMSTLMFXBSPU-UHFFFAOYSA-N,"InChI=1S/C21H24FN3O2/c1-23(2)17-7-10-24(11-8-17)21(26)19-13-20-18(9-12-27-20)25(19)14-15-3-5-16(22)6-4-15/h3-6,9,12-13,17H,7-8,10-11,14H2,1-2H3",369.44,,11400.0,nM,'=',EC50,4.94,3.59,41.62,4,0,4,0.71,27,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
CHEMBL5594239,CN(C)C1CCN(C(=O)c2cc3occc3n2C(=O)OCc2ccccc2)CC1,C22H25N3O4,JBBVSSUCYZZTTL-UHFFFAOYSA-N,"InChI=1S/C22H25N3O4/c1-23(2)17-8-11-24(12-9-17)21(26)19-14-20-18(10-13-28-20)25(19)22(27)29-15-16-6-4-3-5-7-16/h3-7,10,13-14,17H,8-9,11-12,15H2,1-2H3",395.46,,29800.0,nM,'=',EC50,4.53,3.59,67.92,6,0,4,0.68,29,3,0,CHEMBL4296577,Marburgvirus,Marburgvirus
