Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
Nc1ncc(Br)c2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3753746,341.17,-0.04,CHEMBL615055,Nipah virus,Henipavirus nipahense
Nc1ncc(Br)c2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,,,Activity,,,CHEMBL3754027,341.17,-0.04,CHEMBL615055,Nipah virus,Henipavirus nipahense
NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,,,Activity,,,CHEMBL556461,531.42,4.41,CHEMBL615055,Nipah virus,Henipavirus nipahense
Nc1ccc2oc(Cc3ccccc3)nc2c1,,,Activity,,,CHEMBL214087,224.26,3.0,CHEMBL615055,Nipah virus,Henipavirus nipahense
N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,2120.0,nM,EC50,'=',5.67,CHEMBL2016757,291.27,-1.86,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,32.0,nM,EC50,'=',7.5,CHEMBL5205032,588.56,2.06,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCOC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,,,Activity,,,CHEMBL559961,548.44,5.18,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,29.0,nM,EC50,'=',7.54,CHEMBL4065616,602.59,2.31,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,29.0,nM,EC50,'=',7.54,CHEMBL4065616,602.59,2.31,CHEMBL615055,Nipah virus,Henipavirus nipahense
CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)cn1,,,Activity,,,CHEMBL5619345,338.34,-0.06,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,29.0,nM,EC50,'=',7.54,CHEMBL4065616,602.59,2.31,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,32.0,,Ratio,'=',,CHEMBL5205032,588.56,2.06,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,77.0,,Ratio,'=',,CHEMBL5205032,588.56,2.06,CHEMBL615055,Nipah virus,Henipavirus nipahense
N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,2460.0,nM,EC50,'=',5.61,CHEMBL2016757,291.27,-1.86,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,29.0,nM,EC50,'=',7.54,CHEMBL4065616,602.59,2.31,CHEMBL615055,Nipah virus,Henipavirus nipahense
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,300.0,nM,EC50,'=',6.52,CHEMBL1650595,460.46,5.76,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,100.0,%,Survival,'=',,CHEMBL5205032,588.56,2.06,CHEMBL615055,Nipah virus,Henipavirus nipahense
Nc1nccc2c1ncn2C1=CC[C@H](O)[C@@H]1O,,,Activity,,,CHEMBL4449833,232.24,-0.02,CHEMBL615055,Nipah virus,Henipavirus nipahense
CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,66.0,nM,EC50,'=',7.18,CHEMBL5205032,588.56,2.06,CHEMBL615055,Nipah virus,Henipavirus nipahense
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,300.0,nM,EC50,'=',6.52,CHEMBL1650595,460.46,5.76,CHEMBL615055,Nipah virus,Henipavirus nipahense
CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)Oc3ccccc3)[C@@H](O)[C@@]2(C)F)cn1,,,Activity,,,CHEMBL5618812,607.58,3.08,CHEMBL615055,Nipah virus,Henipavirus nipahense
