chembl_id,name,synonyms,type,max_phase,molecular_weight,targets,bioactivities,alogp,polar_surface_area,hba,hbd,ro5_violations,rotatable_bonds,passes_ro3,qed_weighted,aromatic_rings,structure_type,inorganic_flag,heavy_atoms,np_likeness_score,molecular_formula,smiles,inchi_key,inchi,withdrawn_flag,orphan,records_key,records_name
CHEMBL5205032,,,,,588.56,8,52,2.06,203.55,13,4,2,12,N,0.18,3,MOL,-1,41,0.14,C26H33N6O8P,CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,QHEKHVFPDPTSKM-PZPGFRDGSA-N,"InChI=1S/C26H33N6O8P/c1-4-17(5-2)38-25(35)16(3)31-41(36,40-18-9-7-6-8-10-18)37-13-20-22(33)23(34)26(14-27,39-20)21-12-11-19-24(28)29-15-30-32(19)21/h6-12,15-17,20,22-23,33-34H,4-5,13H2,1-3H3,(H,31,36)(H2,28,29,30)/t16-,20+,22+,23+,26-,41-/m0/s1",False,-1,['1; GS-5734'],['Remdesivir; Veklury']
CHEMBL3754027,,,Small molecule,,341.17,15,16,-0.04,117.42,7,4,0,2,N,0.61,2,MOL,-1,20,0.64,C12H13BrN4O3,Nc1ncc(Br)c2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,XGHPFIDDLHHTKE-UTBOHETQSA-N,"InChI=1S/C12H13BrN4O3/c13-6-2-15-12(14)8-9(6)17(4-16-8)7-1-5(3-18)10(19)11(7)20/h1-2,4-5,10-11,18-20H,3H2,(H2,14,15)/t5-,10-,11+/m0/s1",False,-1,['5b'],"['(1S,2R,5S)-3-(4-amino-7-bromo-1H-imidazo[4,5-c]pyridin-1-yl)-5-(hydroxymethyl)cyclopent-3-ene-1,2-diol']"
CHEMBL214087,,,Small molecule,,224.26,5,9,3.0,52.05,3,1,0,2,N,0.68,3,MOL,-1,17,-0.98,C14H12N2O,Nc1ccc2oc(Cc3ccccc3)nc2c1,KYWJNXDUENQSPB-UHFFFAOYSA-N,"InChI=1S/C14H12N2O/c15-11-6-7-13-12(9-11)16-14(17-13)8-10-4-2-1-3-5-10/h1-7,9H,8,15H2",False,-1,"['1a', '24, OX-1']","['2-benzylbenzo[d]oxazol-5-amine', '2-benzylbenzo[d]oxazol-5-amine']"
CHEMBL556461,,,Small molecule,,531.42,4,5,4.41,97.43,5,2,1,6,N,0.49,3,MOL,-1,36,-1.6,C26H25Cl2FN4O3,NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,WJOHCLQFSHPICB-UHFFFAOYSA-N,"InChI=1S/C26H25Cl2FN4O3/c27-16-2-1-15(20(28)9-16)12-31-26(36)19-13-33(17-3-4-17)22-11-23(21(29)10-18(22)24(19)34)32-7-5-14(6-8-32)25(30)35/h1-2,9-11,13-14,17H,3-8,12H2,(H2,30,35)(H,31,36)",False,-1,['19'],"['7-(4-Carbamoylpiperidin-1-yl)-1-cyclopropyl-N-(2,4-dichlorobenzyl)-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxamide']"
CHEMBL5618812,,,,,607.58,8,8,3.08,184.97,13,4,2,12,N,0.17,3,MOL,-1,42,-0.07,C26H35FN7O7P,CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)Oc3ccccc3)[C@@H](O)[C@@]2(C)F)cn1,OGPXMJXSPIUZTH-KHWPTYTDSA-N,"InChI=1S/C26H35FN7O7P/c1-15(2)39-23(36)16(3)33-42(37,41-17-9-7-6-8-10-17)38-13-20-21(35)26(4,27)24(40-20)34-12-19(31-14-34)18-11-30-25(28)32-22(18)29-5/h6-12,14-16,20-21,24,35H,13H2,1-5H3,(H,33,37)(H3,28,29,30,32)/t16-,20+,21+,24+,26+,42-/m0/s1",False,-1,['12'],"['Propan-2-yl-(2S)-2-(((S)-(((2R,3R,4R,5R)-5-(4-(2-amino-4-(methylamino)pyrimidin-5-yl)-1H-imidazol-1-yl)-4-fluoro-3-hydroxy-4-methyloxolan-2-yl)methyl)(phenyl)phosphono)amino)propanoate']"
CHEMBL3753746,,,Small molecule,,341.17,14,14,-0.04,117.42,7,4,0,2,N,0.61,2,MOL,-1,20,0.64,C12H13BrN4O3,Nc1ncc(Br)c2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,XGHPFIDDLHHTKE-ORCOQGSOSA-N,"InChI=1S/C12H13BrN4O3/c13-6-2-15-12(14)8-9(6)17(4-16-8)7-1-5(3-18)10(19)11(7)20/h1-2,4-5,10-11,18-20H,3H2,(H2,14,15)/t5-,10-,11+/m1/s1",False,-1,['5a'],"['(1R,2S,5R)-3-(4-amino-7-bromo-1H-imidazo[4,5-c]pyridin-1-yl)-5-(hydroxymethyl)cyclopent-3-ene-1,2-diol']"
CHEMBL5619345,,,,,338.34,9,13,-0.06,131.34,9,4,0,4,N,0.61,2,MOL,-1,24,0.25,C14H19FN6O3,CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)cn1,BZIPZBYSFLONQZ-BGOOENEXSA-N,"InChI=1S/C14H19FN6O3/c1-14(15)10(23)9(5-22)24-12(14)21-4-8(19-6-21)7-3-18-13(16)20-11(7)17-2/h3-4,6,9-10,12,22-23H,5H2,1-2H3,(H3,16,17,18,20)/t9-,10-,12-,14-/m1/s1",False,-1,['11'],"['(2R,3R,4R,5R)-5-(4-(2-amino-4-(methylamino)pyrimidin-5-yl)-1H-imidazol-1-yl)-4-fluoro-2-(hydroxymethyl)-4-methyloxolan-3-ol']"
CHEMBL4449833,,,Unknown,,232.24,23,26,-0.02,97.19,6,3,0,1,N,0.64,2,MOL,-1,17,0.66,C11H12N4O2,Nc1nccc2c1ncn2C1=CC[C@H](O)[C@@H]1O,CMQALVPOCSESCM-WCBMZHEXSA-N,"InChI=1S/C11H12N4O2/c12-11-9-6(3-4-13-11)15(5-14-9)7-1-2-8(16)10(7)17/h1,3-5,8,10,16-17H,2H2,(H2,12,13)/t8-,10+/m0/s1",False,-1,['7b'],"['(1S,2R)-3-(4-amino-1H-imidazo[4,5-c]pyridin-1-yl)cyclopent-3-ene-1,2-diol']"
CHEMBL559961,,,Small molecule,,548.44,4,5,5.18,80.64,6,1,2,7,N,0.41,3,MOL,-1,37,-1.59,C27H28Cl2FN3O4,CCOC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,FBRZJFVWQBQHLK-UHFFFAOYSA-N,"InChI=1S/C27H28Cl2FN3O4/c1-3-32-15-20(26(35)31-14-17-5-6-18(28)11-21(17)29)25(34)19-12-22(30)24(13-23(19)32)33-9-7-16(8-10-33)27(36)37-4-2/h5-6,11-13,15-16H,3-4,7-10,14H2,1-2H3,(H,31,35)",False,-1,['20'],"['Ethyl 1-[3-(2,4-dichlorobenzylcarbamoyl)-1-ethyl-6-fluoro-4-oxo-1,4-dihydroquinoline-7-yl]piperidine-4-carboxylate']"
CHEMBL1650595,AR-12,AR-12|OSU-03012|PDK1 INHIBITOR AR-12,Small molecule,1.0,460.46,43,110,5.76,72.94,4,2,1,4,N,0.33,5,MOL,0,34,-1.14,C26H19F3N4O,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,YULUCECVQOCQFQ-UHFFFAOYSA-N,"InChI=1S/C26H19F3N4O/c27-26(28,29)24-14-23(33(32-24)20-10-8-19(9-11-20)31-25(34)15-30)18-7-12-22-17(13-18)6-5-16-3-1-2-4-21(16)22/h1-14H,15,30H2,(H,31,34)",False,0,"['BDBM50430630', '69', 'AR-12', 'MMV1578560', '23', 'SID172131582', 'AR-12', '1, QSU-03012', 'AR-12, OSU-03012', 'AR-12', 'OSU-03012', 'AR-12', 'AR-12', 'AR12', 'OSU-0312', 'AR-12', 'EOS100059', 'OSU-03012', 'OSU-03012; AR-12', '63; OSU-03012, AR-12', 'AR-12']","['CHEMBL1650595::US8741944, 70', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', 'AR-12', 'C0088449', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', 'SID172131582', 'AR-12', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', 'AR-12', 'OSU-03012', 'AR-12', 'AR-12', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', 'AR-12', 'OSU03012', 'OSU-03012', '2-amino-N-[4-[5-(2-phenanthryl)-3-(trifluoromethyl)pyrazol-1-yl]phenyl]acetamide', '2-amino-N-(4-(5-(phenanthren-2-yl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)phenyl)acetamide', 'AR-12']"
CHEMBL4065616,REMDESIVIR,GS 5734|GS-5734|REMDESIVIR|VEKLURY,Small molecule,4.0,602.59,56,551,2.31,203.55,13,4,2,13,N,0.16,3,MOL,0,42,0.09,C27H35N6O8P,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,RWWYLEGWBNMMLJ-YSOARWBDSA-N,"InChI=1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21+,23+,24+,27-,42-/m0/s1",False,0,"['Remdesivir', 'Remdesivir', '4a, mixture of Sp/Rp isomer', '[14C]4b', 'Remdesivir', 'RDV; GS-5734', 'REMDESIVIR', 'REMDESIVIR', 'GS-5734', '3; GS-5734', 'Remdesivir', '4b', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', '4', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir (GS-5734)', 'Remdesivir', 'COVC-1746032955', 'Remdesivir', '52', 'RDV', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'RDV', 'Remdesivir', 'Remdesivir', 'Remdesivir', '94', 'Remdesivir', 'RMV', 'Remdesivir', 'GS-5734; 8b', 'Remdesivir', 'Remdesivir', 'Cpd III', 'Remdesivir', 'Remdesivir', 'GS-5734', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'RDV', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', '18j', '1; GS-5734', 'Remdesivir', 'Remdesivir', 'RDV', 'Remdesivir', 'Remdesivir', 'Remdesivir', '1', 'Remdesivir', '14; GS-5734', '1', '1', 'GS-5734', 'Remdesivir', 'Remdesivir', '1; RDV', 'REMDESIVIR', '1', 'Remdesivir', 'Remdesivir', 'GS-5734', 'GS-5734', 'Remdesivir', 'Remdesivir', '6; RDV', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'RDV', 'REMDESIVIR']","['Remdesivir', 'Remdesivir', '(2S)-2-ethylbutyl 2-((((2R,3S,4R,5R)-5-(4-aminopyrrolo[1,2-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphorylamino)propanoate', '[14C]-(S)-2-Ethylbutyl 2-(((S)-(((2R,3S,4R,5R)-5-(4-Aminopyrrolo-[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphoryl)amino)propanoate', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'REMDESIVIR', '(2S)-2-ethylbutyl 2-((((2R,3S,4R,5R)-5-(4-aminopyrrolo[1,2-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphorylamino)propanoate', '2-Ethylbutyl ((S)-(((2R,3S,4R,5R)-5-(4-Aminopyrrolo-[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphoryl)-L-alaninate', 'Remdesivir', '(S)-2-Ethylbutyl 2-(((S)-(((2R,3S,4R,5R)-5-(4-Aminopyrrolo-[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphoryl)amino)propanoate', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir (GS-5734)', 'Remdesivir', 'REMDESIVIR', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', '2-ethylbutyl 2-((((2R,3S,4R,5R)-5-(4-aminopyrrolo[1,2-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphorylamino)propanoate', '(S)-2-ethylbutyl 2-((S)-(((2R,3S,4R,5R)-5-(4-aminopyrrolo[1,2-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(phenoxy)phosphorylamino)propanoate', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'REMDESIVIR', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'Remdesivir', 'REMDESIVIR']"
