molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL3753746,Nc1ncc(Br)c2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,C12H13BrN4O3,XGHPFIDDLHHTKE-ORCOQGSOSA-N,"InChI=1S/C12H13BrN4O3/c13-6-2-15-12(14)8-9(6)17(4-16-8)7-1-5(3-18)10(19)11(7)20/h1-2,4-5,10-11,18-20H,3H2,(H2,14,15)/t5-,10-,11+/m1/s1",341.17,Small molecule,,,,Activity,,-0.04,117.42,7,4,2,0.61,20,2,0,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL3754027,Nc1ncc(Br)c2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,C12H13BrN4O3,XGHPFIDDLHHTKE-UTBOHETQSA-N,"InChI=1S/C12H13BrN4O3/c13-6-2-15-12(14)8-9(6)17(4-16-8)7-1-5(3-18)10(19)11(7)20/h1-2,4-5,10-11,18-20H,3H2,(H2,14,15)/t5-,10-,11+/m0/s1",341.17,Small molecule,,,,Activity,,-0.04,117.42,7,4,2,0.61,20,2,0,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL556461,NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,C26H25Cl2FN4O3,WJOHCLQFSHPICB-UHFFFAOYSA-N,"InChI=1S/C26H25Cl2FN4O3/c27-16-2-1-15(20(28)9-16)12-31-26(36)19-13-33(17-3-4-17)22-11-23(21(29)10-18(22)24(19)34)32-7-5-14(6-8-32)25(30)35/h1-2,9-11,13-14,17H,3-8,12H2,(H2,30,35)(H,31,36)",531.42,Small molecule,,,,Activity,,4.41,97.43,5,2,6,0.49,36,3,1,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL214087,Nc1ccc2oc(Cc3ccccc3)nc2c1,C14H12N2O,KYWJNXDUENQSPB-UHFFFAOYSA-N,"InChI=1S/C14H12N2O/c15-11-6-7-13-12(9-11)16-14(17-13)8-10-4-2-1-3-5-10/h1-7,9H,8,15H2",224.26,Small molecule,,,,Activity,,3.0,52.05,3,1,2,0.68,17,3,0,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,C12H13N5O4,BRDWIEOJOWJCLU-LTGWCKQJSA-N,"InChI=1S/C12H13N5O4/c13-4-12(10(20)9(19)7(3-18)21-12)8-2-1-6-11(14)15-5-16-17(6)8/h1-2,5,7,9-10,18-20H,3H2,(H2,14,15,16)/t7-,9-,10-,12+/m1/s1",291.27,Small molecule,2120.0,nM,'=',EC50,5.67,-1.86,149.92,9,4,2,0.5,21,2,0,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL5205032,CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C26H33N6O8P,QHEKHVFPDPTSKM-PZPGFRDGSA-N,"InChI=1S/C26H33N6O8P/c1-4-17(5-2)38-25(35)16(3)31-41(36,40-18-9-7-6-8-10-18)37-13-20-22(33)23(34)26(14-27,39-20)21-12-11-19-24(28)29-15-30-32(19)21/h6-12,15-17,20,22-23,33-34H,4-5,13H2,1-3H3,(H,31,36)(H2,28,29,30)/t16-,20+,22+,23+,26-,41-/m0/s1",588.56,,32.0,nM,'=',EC50,7.5,2.06,203.55,13,4,12,0.18,41,3,2,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL559961,CCOC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,C27H28Cl2FN3O4,FBRZJFVWQBQHLK-UHFFFAOYSA-N,"InChI=1S/C27H28Cl2FN3O4/c1-3-32-15-20(26(35)31-14-17-5-6-18(28)11-21(17)29)25(34)19-12-22(30)24(13-23(19)32)33-9-7-16(8-10-33)27(36)37-4-2/h5-6,11-13,15-16H,3-4,7-10,14H2,1-2H3,(H,31,35)",548.44,Small molecule,,,,Activity,,5.18,80.64,6,1,7,0.41,37,3,2,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C27H35N6O8P,RWWYLEGWBNMMLJ-YSOARWBDSA-N,"InChI=1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21+,23+,24+,27-,42-/m0/s1",602.59,Small molecule,29.0,nM,'=',EC50,7.54,2.31,203.55,13,4,13,0.16,42,3,2,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C27H35N6O8P,RWWYLEGWBNMMLJ-YSOARWBDSA-N,"InChI=1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21+,23+,24+,27-,42-/m0/s1",602.59,Small molecule,29.0,nM,'=',EC50,7.54,2.31,203.55,13,4,13,0.16,42,3,2,CHEMBL615055,Nipah virus,Henipavirus nipahense
CHEMBL5619345,CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)cn1,C14H19FN6O3,BZIPZBYSFLONQZ-BGOOENEXSA-N,"InChI=1S/C14H19FN6O3/c1-14(15)10(23)9(5-22)24-12(14)21-4-8(19-6-21)7-3-18-13(16)20-11(7)17-2/h3-4,6,9-10,12,22-23H,5H2,1-2H3,(H3,16,17,18,20)/t9-,10-,12-,14-/m1/s1",338.34,,,,,Activity,,-0.06,131.34,9,4,4,0.61,24,2,0,CHEMBL615055,Nipah virus,Henipavirus nipahense
