Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1,-0.02,%,Inhibition,'=',,CHEMBL93655,347.41,4.24,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,-0.17,%,Inhibition,'=',,CHEMBL4303665,466.46,2.63,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N)C[C@@H]3N)O[C@@H]2[C@@H]1O,0.22,%,Inhibition,'=',,CHEMBL492574,539.58,-6.95,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.09,%,Inhibition,'=',,CHEMBL441,242.34,1.35,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
COc1ccc(/C=C(/C#N)c2cccnc2)cc1OC,0.09,%,Inhibition,'=',,CHEMBL1423437,266.3,3.16,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],0.05,%,Inhibition,'=',,CHEMBL2096646,211.15,0.67,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,-0.11,%,Inhibition,'=',,CHEMBL17350,327.42,2.8,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)[C@@H](C)Cc1ccc(OC)cc1,-0.21,%,Inhibition,'=',,CHEMBL1444844,429.56,4.6,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl,0.09,%,Inhibition,'=',,CHEMBL1200841,272.78,1.77,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-0.15,%,Inhibition,'=',,CHEMBL453,267.31,1.67,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,9.19,%,Inhibition,'=',,CHEMBL445813,382.25,2.45,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C(O)CCCCC1CCSS1,-0.02,%,Inhibition,'=',,CHEMBL33864,206.33,2.79,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CNCCC(Oc1ccccc1OC)c1ccccc1.Cl,0.39,%,Inhibition,'=',,CHEMBL1256695,307.82,3.42,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,0.21,%,Inhibition,'=',,CHEMBL3137308,326.4,2.01,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC(C)CCOc1ccc(NC(=S)Nc2ccc(OCCC(C)C)cc2)cc1,-0.13,%,Inhibition,'=',,CHEMBL214920,400.59,6.35,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],0.02,%,Inhibition,'=',,CHEMBL1200941,337.28,0.61,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.1,%,Inhibition,'=',,CHEMBL406393,392.58,4.48,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
COC(=O)c1sc(-c2cccs2)cc1NC(=O)/C=C/C(=O)O,-0.07,%,Inhibition,'=',,CHEMBL1077990,337.38,2.84,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
OC1CCCCC1N1CCC(c2ccccc2)CC1,-0.01,%,Inhibition,'=',,CHEMBL20943,259.39,3.17,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,-0.1,%,Inhibition,'=',,CHEMBL56337,319.41,2.92,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,-0.12,%,Inhibition,'=',,CHEMBL1276127,262.27,2.66,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,0.23,%,Inhibition,'=',,CHEMBL3188576,1461.43,-7.95,CHEMBL4303835,SARS-CoV-2,Severe acute respiratory syndrome coronavirus 2
