Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N(C)C)C(=O)CF,3600.0,nM,EC50,'=',5.44,CHEMBL201212,437.51,2.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
O=C(O)c1ccc(/N=C/c2c(O)ccc3oc4c(c23)CCCC4)cc1,23000.0,nM,EC50,'=',4.64,CHEMBL203671,335.36,4.47,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(=O)Oc1cc2c(cc1C(C)C)C=C[C@H]1C(C)(C)[C@@H](OC(C)=O)CC[C@]21C,25.0,%,Inhibition,'<',,CHEMBL242436,384.52,5.39,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC(C)C1=C[C@]2(O)CC[C@H]3C(C)(C)CCC[C@]3(C)C2=CC1=O,,,Activity,,,CHEMBL243549,302.46,4.44,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,,Activity,,,CHEMBL230006,470.69,6.41,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Nc1nc(O)c2[nH]cc([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c2n1,100000.0,nM,IC50,'>',,CHEMBL225045,278.27,-1.02,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Nc1ncc(F)c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3604361,280.26,-0.65,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Nc1ncc(F)c2c1ncn2[C@@H]1C=C(CCO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3604362,294.29,-0.26,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Cc1ccc(N)cc1C(=O)NC(C)(C)c1cccc2ccccc12,,,EC50,,,CHEMBL555339,318.42,4.4,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,13100.0,nM,EC50,'=',4.88,CHEMBL549695,304.39,4.22,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,4900.0,nM,EC50,'=',5.31,CHEMBL888,263.2,-1.29,CHEMBL4303836,SARS-CoV,Severe acute respiratory syndrome-related coronavirus
