Smiles,Standard Value,Standard Units,Standard Type,Standard Relation,pChEMBL Value,Molecule ChEMBL ID,Molecular Weight,AlogP,Target ChEMBL ID,Target Name,Target Organism
C[C@H](O)C[C@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,,,Activity,,,CHEMBL2397388,293.33,-0.54,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c(OC)c1,3400.0,nM,EC50,'=',5.47,CHEMBL5088695,348.32,5.01,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
FC(F)(F)c1ccc2nccc(Nc3ccccc3Br)c2c1,10000.0,nM,EC50,'>',,CHEMBL5079637,367.17,5.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
N#Cc1ccccc1Nc1ccnc2ccc(C(F)(F)F)cc12,10000.0,nM,EC50,'>',,CHEMBL5070629,313.28,4.87,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(=O)c1cccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c1,10000.0,nM,EC50,'>',,CHEMBL5077924,330.31,5.2,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
FC(F)(F)c1ccc2nccc(Nc3ccc4c(c3)OCCO4)c2c1,10000.0,nM,EC50,'>',,CHEMBL5076415,346.31,4.77,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Fc1cccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c1,10000.0,nM,EC50,'>',,CHEMBL5090270,306.26,5.14,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1nc(F)cc2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3604365,282.28,-0.57,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Nc1nc(F)cc2c1ncn2[C@@H]1C[C@H](CCO)[C@@H](O)[C@H]1O,,,Activity,,,CHEMBL3604366,296.3,-0.18,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCN(c3ccccc3)CC2)n1-c1ccccc1F,,,FC,,,CHEMBL3344446,459.48,3.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCNCC2)n1-c1ccccc1F,7.8,,FC,'>',,CHEMBL3185516,383.38,1.84,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1,633.0,,Ratio EC50,'=',,CHEMBL3186763,367.41,2.75,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCOP(=O)(O)CC(OCn1ccc(=O)[nH]c1=O)C(C)O,320.0,ug ml-1,Dose,'=',,CHEMBL275202,322.25,-0.52,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CS(=O)(=O)c1c(C(N)=O)ncn1C1O[C@H](CO)[C@@H](O)[C@H]1O,0.00065,M,ED50,'=',,CHEMBL606269,321.31,-3.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCOP(=O)(C[C@H](O)[C@H](C)OCc1ccccc1)OCC,320.0,ug ml-1,Dose,'=',,CHEMBL14461,316.33,3.22,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1[nH]cc([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,,,Activity,,,CHEMBL224363,240.22,-2.2,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2F)CC1,,,FC,,,CHEMBL1399083,411.44,2.57,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2/N=C2\CN(C)CCN2C)cc1,,%,Inhibition,,,CHEMBL3183844,397.44,2.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1,170.0,nM,EC50,'=',6.77,CHEMBL3186763,367.41,2.75,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,3700.0,nM,EC50,'=',5.43,CHEMBL1336,464.83,5.55,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)nn1,100000.0,nM,EC50,'>',,CHEMBL203308,240.22,-2.43,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COC(=O)c1ccc(/N=C2\CN(C)CCN2C)c(C(=O)Nc2ccccc2)c1,,,FC,,,CHEMBL3342044,380.45,2.63,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2cccc(F)c2)CC1,7.1,,FC,'=',,CHEMBL3182305,411.44,2.57,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)[nH]2)CC1,,,FC,,,CHEMBL3344451,317.35,0.97,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(C2CCNCC2)n1-c1ccccc1,,,FC,,,CHEMBL3185321,350.38,2.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccccc2C(=O)Nc2ccccc2)C1,,,FC,,,CHEMBL3342037,322.41,2.85,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc(C#N)cc2C(=O)Nc2ccccc2)C1,5.8,,FC,'>',,CHEMBL3187997,347.42,2.72,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CC(C)NC(=O)c1cc([N+](=O)[O-])ccc1/N=C1\CN(C)CCN1C,25000.0,nM,EC50,'>',,CHEMBL3342035,333.39,1.64,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc(C(F)(F)F)cc2C(=O)Nc2ccccc2)C1,22300.0,nM,EC50,'=',4.65,CHEMBL3342041,390.41,3.86,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(C)/C(=N/c2ccc(C#N)cc2C(=O)Nc2ccccc2F)C1,3700.0,nM,EC50,'=',5.43,CHEMBL3342043,365.41,2.86,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc(C(F)(F)F)cc3c(=O)n2-c2ccccc2F)CC1,25000.0,nM,EC50,'>',,CHEMBL3344438,434.44,3.68,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc(C(=O)O)cc3c(=O)n2-c2ccccc2)CC1,25000.0,nM,EC50,'>',,CHEMBL3344440,392.46,2.22,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)n2-c2ccccc2F)CC1,800.0,nM,EC50,'=',6.1,CHEMBL3186609,397.41,2.18,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCOCC2)n1-c1ccccc1F,8700.0,nM,EC50,'=',5.06,CHEMBL1537833,384.37,2.27,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(Cc2nc3ccc([N+](=O)[O-])cc3c(=O)[nH]2)CC1,25000.0,nM,EC50,'>',,CHEMBL3344451,317.35,0.97,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
COc1ccc(-n2c(CN3CCNCC3)nc3ccc([N+](=O)[O-])cc3c2=O)cc1,200.0,nM,EC50,'=',6.7,CHEMBL3183668,395.42,1.71,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(C2CCNCC2)n1-c1ccccc1,3600.0,nM,EC50,'=',5.44,CHEMBL3185321,350.38,2.76,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
C=C1CC2OC3[C@H]4C(C[C@@H](C)[C@@H](OC(C)=O)[C@@H]24)[C@@H](C)CO[C@@]3(C)CCC1=O,,,Activity,,,CHEMBL516690,376.49,3.31,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Cc1cn(COC(CP(=O)(O)O)C(O)CO)c(=O)[nH]c1=O,320.0,ug ml-1,Dose,'=',,CHEMBL279840,324.23,-2.28,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
Cc1c(C(N)=O)ncn1C1O[C@H](CO)[C@@H](O)[C@H]1O,0.0017,M,ED50,'>',,CHEMBL604602,257.25,-2.1,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)cn1,100000.0,nM,EC50,'>',,CHEMBL381539,239.23,-1.82,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1ncn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)n1,0.0,,Selectivity index,'=',,CHEMBL204499,240.22,-2.43,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)cn1,0.0,,Selectivity index,'=',,CHEMBL381539,239.23,-1.82,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCNCC2)n1-c1ccccc1F,200.0,nM,EC50,'=',6.7,CHEMBL3185516,383.38,1.84,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CN(C)c1cccc(-n2c(CN3CCNCC3)nc3ccc([N+](=O)[O-])cc3c2=O)c1,25000.0,nM,EC50,'>',,CHEMBL3344453,408.46,1.77,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CCN1CCN(C)C/C1=N\c1ccc([N+](=O)[O-])cc1C(=O)Nc1ccccc1,50.0,nM,EC50,'=',7.3,CHEMBL3189043,381.44,3.14,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
