chembl_id,name,synonyms,type,max_phase,molecular_weight,targets,bioactivities,alogp,polar_surface_area,hba,hbd,ro5_violations,rotatable_bonds,passes_ro3,qed_weighted,aromatic_rings,structure_type,inorganic_flag,heavy_atoms,np_likeness_score,molecular_formula,smiles,inchi_key,inchi,withdrawn_flag,orphan,records_key,records_name
CHEMBL5412001,,,,,363.37,1,2,-1.02,140.79,8.0,5.0,0.0,6.0,N,0.45,2.0,MOL,-1,26.0,0.75,C17H21N3O6,N=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1COCc1ccccc1,MQEQQNVSJBXDPA-IXYNUQLISA-N,"InChI=1S/C17H21N3O6/c18-15-11(9-25-8-10-4-2-1-3-5-10)6-20(17(24)19-15)16-14(23)13(22)12(7-21)26-16/h1-6,12-14,16,21-23H,7-9H2,(H2,18,19,24)/t12-,13-,14-,16-/m1/s1",False,-1,['5b'],"['5-((benzyloxy)methyl)-1-((2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-4-imino-3,4-dihydropyrimidin-2(1H)-one']"
CHEMBL5428857,,,,,433.51,1,2,0.88,140.79,8.0,5.0,0.0,6.0,N,0.46,2.0,MOL,-1,31.0,0.56,C22H31N3O6,Cc1ccccc1C(OCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=N)C(C)(C)C,JBXNTFRFDHKDHK-IEQZWKCNSA-N,"InChI=1S/C22H31N3O6/c1-12-7-5-6-8-14(12)18(22(2,3)4)30-11-13-9-25(21(29)24-19(13)23)20-17(28)16(27)15(10-26)31-20/h5-9,15-18,20,26-28H,10-11H2,1-4H3,(H2,23,24,29)/t15-,16-,17-,18?,20-/m1/s1",False,-1,['5i'],"['1-((2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-5-((2,2-dimethyl-1-(o-tolyl)propoxy)methyl)-4-imino-3,4-dihydropyrimidin-2(1H)-one']"
CHEMBL3273729,,,Small molecule,,390.94,7,16,3.54,40.62,5.0,0.0,0.0,6.0,N,0.63,3.0,MOL,-1,25.0,-0.78,C20H23ClN2O2S,CN(C)CC(=O)c1ccc2sc3ccc(C(=O)CN(C)C)cc3c2c1.Cl,IWMJIKPVYIHDIB-UHFFFAOYSA-N,"InChI=1S/C20H22N2O2S.ClH/c1-21(2)11-17(23)13-5-7-19-15(9-13)16-10-14(6-8-20(16)25-19)18(24)12-22(3)4;/h5-10H,11-12H2,1-4H3;1H",False,-1,"['51, RMI 11877DA']","[1,1'-(dibenzo[b,d]thiophene-2,8-diyl)bis(2-(dimethylamino)ethanone)dihydrochloride""]"""
CHEMBL3397199,,,Small molecule,,462.98,8,20,4.69,74.33,4.0,2.0,0.0,7.0,N,0.53,3.0,MOL,-1,33.0,-1.61,C26H27ClN4O2,O=C(NCCc1ccncc1)C1CCN(C(=O)c2ccccc2Nc2ccc(Cl)cc2)CC1,SEBDZRXSQKEOTG-UHFFFAOYSA-N,"InChI=1S/C26H27ClN4O2/c27-21-5-7-22(8-6-21)30-24-4-2-1-3-23(24)26(33)31-17-12-20(13-18-31)25(32)29-16-11-19-9-14-28-15-10-19/h1-10,14-15,20,30H,11-13,16-18H2,(H,29,32)",False,-1,['23a'],['1-(2-((4-Chlorophenyl)amino)benzoyl)-N-(2-(pyridin-4-yl)ethyl)piperidine-4-carboxamide']
CHEMBL4760407,,,Unknown,,336.46,7,17,2.67,75.27,4.0,2.0,0.0,4.0,N,0.89,1.0,MOL,-1,23.0,0.04,C17H24N2O3S,C[C@@H]1CC(C)(C)Nc2c(C(=O)NC/C=C/S(C)(=O)=O)cccc21,FFVOOQJRDWVOAR-GCZGVDRJSA-N,"InChI=1S/C17H24N2O3S/c1-12-11-17(2,3)19-15-13(12)7-5-8-14(15)16(20)18-9-6-10-23(4,21)22/h5-8,10,12,19H,9,11H2,1-4H3,(H,18,20)/b10-6+/t12-/m1/s1",False,-1,['11'],"['(E)-2,2,4-trimethyl-N-(3-(methylsulfonyl)allyl)-1,2,3,4-tetrahydroquinoline-8-carboxamide']"
CHEMBL4792762,,,Unknown,,274.32,4,5,1.5,67.43,4.0,2.0,0.0,4.0,N,0.64,1.0,MOL,-1,20.0,-0.02,C15H18N2O3,COC(=O)/C=C/CNC(=O)c1cccc2c1NCCC2,DXCVKTNFCQDMQP-XBXARRHUSA-N,"InChI=1S/C15H18N2O3/c1-20-13(18)8-4-10-17-15(19)12-7-2-5-11-6-3-9-16-14(11)12/h2,4-5,7-8,16H,3,6,9-10H2,1H3,(H,17,19)/b8-4+",False,-1,['4'],"['Methyl (E)-4-(1,2,3,4-tetrahydroquinoline-8-carboxamido)but-2-enoate']"
CHEMBL4751121,,,Unknown,,424.57,4,6,4.19,75.27,4.0,2.0,0.0,6.0,N,0.73,2.0,MOL,-1,30.0,0.01,C24H28N2O3S,CC1=CC(C)(C)Nc2c(C(=O)N[C@H](/C=C/S(C)(=O)=O)Cc3ccccc3)cccc21,UWLMLEJGDVIYMU-JKIKYLSZSA-N,"InChI=1S/C24H28N2O3S/c1-17-16-24(2,3)26-22-20(17)11-8-12-21(22)23(27)25-19(13-14-30(4,28)29)15-18-9-6-5-7-10-18/h5-14,16,19,26H,15H2,1-4H3,(H,25,27)/b14-13+/t19-/m1/s1",False,-1,['14'],"['(S,E)-2,2,4-trimethyl-N-(4-(methylsulfonyl)-1-phenylbut-3-en-2yl)-1,2-dihydroquinoline-8-carboxamide']"
CHEMBL4759030,,,Unknown,,348.47,6,12,2.97,75.27,4.0,2.0,0.0,4.0,N,0.88,1.0,MOL,-1,24.0,0.08,C18H24N2O3S,CC1=CC(C)(C)Nc2c(C(=O)N[C@@H](C)/C=C/S(C)(=O)=O)cccc21,ILBMNHXGTUOHCJ-LXKVQUBZSA-N,"InChI=1S/C18H24N2O3S/c1-12-11-18(3,4)20-16-14(12)7-6-8-15(16)17(21)19-13(2)9-10-24(5,22)23/h6-11,13,20H,1-5H3,(H,19,21)/b10-9+/t13-/m0/s1",False,-1,['12'],"['(S,E)-2,2,4-trimethyl-N-(4-(methylsulfonyl)but-3-en-2-yl)-1,2-dihydroquinoline-8-carboxamide']"
CHEMBL5084039,,,Unknown,,395.42,3,5,2.5,91.52,7.0,0.0,0.0,3.0,N,0.59,2.0,MOL,-1,29.0,-0.93,C20H21N5O4,COc1cccc(N2C(=O)c3cc([N+](=O)[O-])ccc3N=C3C2N(C)CCN3C)c1,AGMHWXGTNSXNIW-UHFFFAOYSA-N,"InChI=1S/C20H21N5O4/c1-22-9-10-23(2)19-18(22)21-17-8-7-14(25(27)28)12-16(17)20(26)24(19)13-5-4-6-15(11-13)29-3/h4-8,11-12,19H,9-10H2,1-3H3",False,-1,['7d'],"['11-(3-methoxyphenyl)-1,4-dimethyl-8-nitro-1,2,3,4,11,11a-hexahydro-10H-benzo[e]pyrazino[2,3-b][1,4]diazepin-10-one']"
CHEMBL5081936,,,Unknown,,449.51,3,3,3.81,91.52,7.0,0.0,0.0,3.0,N,0.52,2.0,MOL,-1,33.0,-0.52,C24H27N5O4,COc1ccc(N2C(=O)c3cc([N+](=O)[O-])ccc3N=C3[C@@H]2N(C)[C@@H]2CCCC[C@H]2N3C)cc1,PXCGPNWHOCOIOC-MQSCRBSSSA-N,"InChI=1S/C24H27N5O4/c1-26-20-6-4-5-7-21(20)27(2)23-22(26)25-19-13-10-16(29(31)32)14-18(19)24(30)28(23)15-8-11-17(33-3)12-9-15/h8-14,20-21,23H,4-7H2,1-3H3/t20-,21-,23-/m1/s1",False,-1,['7p'],"['(6aR,10aR,11aR)-12-(4-methoxyphenyl)-6,11-dimethyl-2-nitro-6,6a,7,8,9,10,10a,11,11a,12-decahydro-13H-benzo[5,6][1,4]diazepino[2,3-b]quinoxalin-13-one']"
