molecule_chembl_id,smiles,molecular_formula,inchi_key,inchi,molecular_weight,type,standard_value,standard_units,standard_relation,standard_type,pchembl_value,AlogP,polar_surface_area,hba,hbd,rotatable_bonds,qed_weighted,heavy_atoms,aromatic_rings,ro5_violations,Target ChEMBL ID,Target Name,Target Organism
CHEMBL2397388,C[C@H](O)C[C@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C13H19N5O3,GKBQORWUVIAVKO-PTPLXHBWSA-N,"InChI=1S/C13H19N5O3/c1-6(19)2-7-3-8(11(21)10(7)20)18-5-17-9-12(14)15-4-16-13(9)18/h4-8,10-11,19-21H,2-3H2,1H3,(H2,14,15,16)/t6-,7-,8+,10+,11-/m0/s1",293.33,Small molecule,,,,Activity,,-0.54,130.31,8.0,4.0,3.0,0.6,21.0,2.0,0.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL5088695,COc1ccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c(OC)c1,C18H15F3N2O2,QVWNSNLUUGNZNA-UHFFFAOYSA-N,"InChI=1S/C18H15F3N2O2/c1-24-12-4-6-16(17(10-12)25-2)23-15-7-8-22-14-5-3-11(9-13(14)15)18(19,20)21/h3-10H,1-2H3,(H,22,23)",348.32,Unknown,3400.0,nM,'=',EC50,5.47,5.01,43.38,4.0,1.0,4.0,0.72,25.0,3.0,1.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL5079637,FC(F)(F)c1ccc2nccc(Nc3ccccc3Br)c2c1,C16H10BrF3N2,XEKONCJTERHUJF-UHFFFAOYSA-N,"InChI=1S/C16H10BrF3N2/c17-12-3-1-2-4-15(12)22-14-7-8-21-13-6-5-10(9-11(13)14)16(18,19)20/h1-9H,(H,21,22)",367.17,Unknown,10000.0,nM,'>',EC50,,5.76,24.92,2.0,1.0,2.0,0.62,22.0,3.0,1.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL5070629,N#Cc1ccccc1Nc1ccnc2ccc(C(F)(F)F)cc12,C17H10F3N3,FSAZLAFMJKQDKO-UHFFFAOYSA-N,"InChI=1S/C17H10F3N3/c18-17(19,20)12-5-6-15-13(9-12)16(7-8-22-15)23-14-4-2-1-3-11(14)10-21/h1-9H,(H,22,23)",313.28,Unknown,10000.0,nM,'>',EC50,,4.87,48.71,3.0,1.0,2.0,0.73,23.0,3.0,0.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL5077924,CC(=O)c1cccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c1,C18H13F3N2O,FYHHGBJZUADAPI-UHFFFAOYSA-N,"InChI=1S/C18H13F3N2O/c1-11(24)12-3-2-4-14(9-12)23-17-7-8-22-16-6-5-13(10-15(16)17)18(19,20)21/h2-10H,1H3,(H,22,23)",330.31,Unknown,10000.0,nM,'>',EC50,,5.2,41.99,3.0,1.0,3.0,0.67,24.0,3.0,1.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL5076415,FC(F)(F)c1ccc2nccc(Nc3ccc4c(c3)OCCO4)c2c1,C18H13F3N2O2,RTXGAQMOQLVXFX-UHFFFAOYSA-N,"InChI=1S/C18H13F3N2O2/c19-18(20,21)11-1-3-14-13(9-11)15(5-6-22-14)23-12-2-4-16-17(10-12)25-8-7-24-16/h1-6,9-10H,7-8H2,(H,22,23)",346.31,Unknown,10000.0,nM,'>',EC50,,4.77,43.38,4.0,1.0,2.0,0.73,25.0,3.0,0.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL5090270,Fc1cccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c1,C16H10F4N2,ZYJZEZQDISEGDE-UHFFFAOYSA-N,"InChI=1S/C16H10F4N2/c17-11-2-1-3-12(9-11)22-15-6-7-21-14-5-4-10(8-13(14)15)16(18,19)20/h1-9H,(H,21,22)",306.26,Unknown,10000.0,nM,'>',EC50,,5.14,24.92,2.0,1.0,2.0,0.66,22.0,3.0,1.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL3604365,Nc1nc(F)cc2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,C12H15FN4O3,XUKFEOCGMUEQKQ-OFBQIVOGSA-N,"InChI=1S/C12H15FN4O3/c13-8-2-6-9(12(14)16-8)15-4-17(6)7-1-5(3-18)10(19)11(7)20/h2,4-5,7,10-11,18-20H,1,3H2,(H2,14,16)/t5-,7-,10-,11+/m1/s1",282.28,Small molecule,,,,Activity,,-0.57,117.42,7.0,4.0,2.0,0.55,20.0,2.0,0.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL3604366,Nc1nc(F)cc2c1ncn2[C@@H]1C[C@H](CCO)[C@@H](O)[C@H]1O,C13H17FN4O3,MQEKZBUJDUBSPS-WEPFQVLXSA-N,"InChI=1S/C13H17FN4O3/c14-9-4-7-10(13(15)17-9)16-5-18(7)8-3-6(1-2-19)11(20)12(8)21/h4-6,8,11-12,19-21H,1-3H2,(H2,15,17)/t6-,8+,11+,12-/m0/s1",296.3,Small molecule,,,,Activity,,-0.18,117.42,7.0,4.0,3.0,0.58,21.0,2.0,0.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
CHEMBL3344446,O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCN(c3ccccc3)CC2)n1-c1ccccc1F,C25H22FN5O3,RPKUIZKHTWKDRL-UHFFFAOYSA-N,"InChI=1S/C25H22FN5O3/c26-21-8-4-5-9-23(21)30-24(27-22-11-10-19(31(33)34)16-20(22)25(30)32)17-28-12-14-29(15-13-28)18-6-2-1-3-7-18/h1-11,16H,12-15,17H2",459.48,Small molecule,,,,FC,,3.76,84.51,7.0,0.0,5.0,0.33,34.0,4.0,0.0,CHEMBL613726,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus
