"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1200699";"DOXYCYCLINE";"4.0";"462.46";"1";"-0.35";"DOX";"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O";"deltaCT";"'='";"6.63";"";"";"";"";"";"";"";"";"";"0";"CHEMBL1279724";"Antimicrobial activity against Bacillus anthracis Sterne 411A2 harboring GyrA Ser85Leu and parC Ser81Phe mutant gene assessed as change in fluorescence threshold cycle at 0.12 ug/ml after 4 hrs by real-time PCR viability assay relative to control";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis str. Sterne";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1275243";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"6.63"
"CHEMBL1200699";"DOXYCYCLINE";"4.0";"462.46";"1";"-0.35";"DOX";"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O";"deltaCT";"'='";"6.94";"";"";"";"";"";"";"";"";"";"0";"CHEMBL1281848";"Antimicrobial activity against Bacillus anthracis A0419 assessed as change in fluorescence threshold cycle at 0.12 ug/ml after 4 hrs by real-time PCR viability assay relative to control";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1275243";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"6.94"
"CHEMBL1200699";"DOXYCYCLINE";"4.0";"462.46";"1";"-0.35";"DOX";"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O";"deltaCT";"'='";"7.14";"";"";"";"";"";"";"";"";"";"0";"CHEMBL1282800";"Antimicrobial activity against Bacillus anthracis Sterne 411A2 harboring GyrA Ser85Leu and parC Ser81Phe mutant gene assessed as change in fluorescence threshold cycle at 8 ug/ml after 4 hrs by real-time PCR viability assay relative to control";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis str. Sterne";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1275243";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"7.14"
"CHEMBL1200699";"DOXYCYCLINE";"4.0";"462.46";"1";"-0.35";"DOX";"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O";"deltaCT";"'='";"7.72";"";"";"";"";"";"";"";"";"";"0";"CHEMBL1282797";"Antimicrobial activity against Bacillus anthracis A0102 assessed as change in fluorescence threshold cycle at 8 ug/ml after 4 hrs by real-time PCR viability assay relative to control";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1275243";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2010";"None";"";"";"";"7.72"
"CHEMBL126";"LINEZOLID";"4.0";"337.35";"0";"1.12";"linezolid";"CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL1634079";"Antimicrobial activity against Bacillus anthracis infected in in vitro hollow fiber PK/PD model assessed as cell killing at 300 mg administered once every 24 hrs";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1629546";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2008";"None";"";"";"";""
"CHEMBL126";"LINEZOLID";"4.0";"337.35";"0";"1.12";"linezolid";"CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL1634090";"Antimicrobial activity against Bacillus anthracis infected in in vitro hollow fiber PK/PD model assessed as bacterial killing at 500 mg administered once every 24 hrs for 15 days";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1629546";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2008";"None";"";"";"";""
"CHEMBL8";"CIPROFLOXACIN";"4.0";"331.35";"0";"1.58";"Ciprofloxacin";"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O";"fAUC";"'='";"22356.0";"ng.hr.mL-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1634063";"fAUC (24 hrs) in Bacillus anthracis infected in vitro hollow fiber PK/PD model at simulated dose of 500 mg administered every 12 hrs";"A";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1629546";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2008";"None";"";"";"";"22.356"
"CHEMBL2392735";"";"None";"275.35";"0";"2.93";"47";"Cc1cc(NC(=O)NC2C3CC4CC(C3)CC2C4)no1";"MIC";"'>'";"200.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL2394217";"Antibacterial against Bacillus anthracis Sterne";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL2390858";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"200.0"
"CHEMBL2392761";"";"None";"329.32";"0";"3.78";"28";"O=C(Nc1cc(C(F)(F)F)no1)NC12CC3CC(CC(C3)C1)C2";"MIC";"'>'";"200.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL2394217";"Antibacterial against Bacillus anthracis Sterne";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL2390858";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"200.0"
"CHEMBL268077";"";"None";"828.93";"3";"-0.10";"1(10,1,10)";"CCCCCCNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CNC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)NC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL942943";"Antimicrobial activity against Bacillus anthracis Sterne";"F";"BAO_0000218";"organism-based format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL613904";"Bacillus anthracis";"Bacillus anthracis";"ORGANISM";"CHEMBL1140578";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";""
