"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL372795";"STREPTOMYCIN";"4.0";"581.58";"3";"-8.16";"Streptomycin";"CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O";"IZ";"'='";"20.53";"mm";"";"";"";"UO_0000016";"";"";"";"";"0";"CHEMBL3061841";"Antibacterial activity against Bacillus cereus NCIM-2155 after 24 hr by agar diffusion assay";"F";"BAO_0000218";"organism-based format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL3045735";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"20.53"
"CHEMBL2238351";"";"None";"629.66";"3";"5.24";"7j";"O=c1oc2ccccc2cc1-c1nnc(Sc2nc(Oc3cccc4cccnc34)nc(N3CCN(c4ccccn4)CC3)n2)o1";"MIC";"'='";"50.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3068628";"Antibacterial activity against Bacillus cereus MTCC 619 after 24 hr";"F";"BAO_0000218";"organism-based format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL3045723";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"50.0"
"CHEMBL4071700";"";"None";"336.38";"0";"1.16";"7";"CC1=CC2=C(CC(C)C(=O)C[C@H](C)O)C(=O)[C@](C)(O)[C@@H](O)C2=CO1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4020881";"Antibacterial activity against Bacillus cereus after 20 hrs by broth microdilution method";"F";"BAO_0000019";"assay format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL4020704";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";""
"CHEMBL4077237";"";"None";"522.68";"1";"2.59";"5";"CO[C@@H](/C=C/C=C(\C)[C@H](O)[C@H](C)C(=O)O[C@H]1C[C@H](C)C[C@@H]2C=C[C@H](C)[C@](C)(C(=O)[C@H](O)CO)[C@@H]12)[C@H](C)O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4020881";"Antibacterial activity against Bacillus cereus after 20 hrs by broth microdilution method";"F";"BAO_0000019";"assay format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL4020704";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";""
"CHEMBL1276636";"";"None";"382.81";"0";"2.34";"25";"Cc1c(N2C(=O)C(Cl)=C(c3ccc[nH]3)C2=O)c(=O)n(-c2ccccc2)n1C";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1282618";"Antibacterial activity against Bacillus cereus ATCC 14579 at < 100 ug/mL by agar dilution method";"F";"BAO_0000019";"assay format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL1275265";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";""
"CHEMBL1276550";"";"None";"468.90";"0";"2.94";"19";"COc1cc(NC2=C(Cl)C(=O)N(c3c(C)n(C)n(-c4ccccc4)c3=O)C2=O)cc(OC)c1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1282618";"Antibacterial activity against Bacillus cereus ATCC 14579 at < 100 ug/mL by agar dilution method";"F";"BAO_0000019";"assay format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL1275265";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";""
"CHEMBL1276420";"";"None";"453.84";"0";"2.83";"12";"Cc1c(N2C(=O)C(Cl)=C(Nc3cccc([N+](=O)[O-])c3)C2=O)c(=O)n(-c2ccccc2)n1C";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1282618";"Antibacterial activity against Bacillus cereus ATCC 14579 at < 100 ug/mL by agar dilution method";"F";"BAO_0000019";"assay format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL1275265";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";""
"CHEMBL1276344";"";"None";"477.74";"0";"4.23";"6";"Cc1c(N2C(=O)C(Cl)=C(Nc3ccc(Cl)c(Cl)c3)C2=O)c(=O)n(-c2ccccc2)n1C";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1282618";"Antibacterial activity against Bacillus cereus ATCC 14579 at < 100 ug/mL by agar dilution method";"F";"BAO_0000019";"assay format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL1275265";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";""
"CHEMBL1823029";"FATSICARPAIN F";"None";"486.74";"1";"6.86";"6";"CO[C@@H]1C=C2[C@@H]3CC(C)(C)CC[C@]3(C(=O)O)CC[C@@]2(C)[C@]2(C)CC[C@H]3C(C)(C)[C@H](O)CC[C@]3(C)[C@@H]12";"MIC";"'='";"2.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1827855";"Antimicrobial activity against Bacillus cereus ATCC 9139 after 24 hrs by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL1821643";"1";"Scientific Literature";"J Nat Prod";"2011";"None";"";"";"";"2.0"
"CHEMBL187848";"";"None";"305.38";"0";"3.44";"6c";"Cc1ccc2nc(N3CCOCC3)nc(-c3ccccc3)c2c1";"Growth Inhibition";"'='";"15.0";"mm";"";"";"";"UO_0000016";"";"";"";"";"0";"CHEMBL838335";"Ability to inhibit growth of Bacillus cereus MTCC 1272 was determined";"F";"BAO_0000218";"organism-based format";"Bacillus cereus";"None";"None";"None";"None";"";"";"";"CHEMBL613070";"Bacillus cereus";"Bacillus cereus";"ORGANISM";"CHEMBL1137910";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"15.0"
