"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL221435";"";"None";"238.37";"0";"2.89";"4";"CC1=C[C@H]2[C@@H](C(C)(C)O)CC[C@@](C)(O)[C@H]2CC1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL909628";"Antibacterial activity against Bacillus subtilis at 80 ug/disk";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL1142058";"1";"Scientific Literature";"J Nat Prod";"2007";"None";"";"";"";""
"CHEMBL8";"CIPROFLOXACIN";"4.0";"331.35";"0";"1.58";"Ciprofloxacin";"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O";"MIC";"'='";"0.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL918822";"Antimicrobial activity against Bacillus subtilis ATCC 6633";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL1144555";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"0.25"
"CHEMBL606360";"";"None";"444.92";"1";"6.11";"3d";"COc1ccc(C(=O)/C=C/c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)c(OC)c1";"MIC";"'='";"100.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1067430";"Antimicrobial activity against Bacillus subtilis MTCC 1789 after 24 hrs";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL1153097";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";"";"100.0"
"CHEMBL4089761";"";"None";"922.97";"3";"-5.56";"1a";"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](NCc3cn(CCN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)nn3)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O";"MIC";"'='";"1.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4033930";"Antibacterial activity against aminoglycosides-susceptible Bacillus subtilis by double microdilution method";"F";"BAO_0000019";"assay format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL4033618";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"1.5"
"CHEMBL1241817";"";"None";"368.31";"0";"2.00";"3h";"O=C(Cn1ncc2cc([N+](=O)[O-])ccc21)N/N=C/c1cccc([N+](=O)[O-])c1";"MIC";"'='";"16.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1246166";"Antibacterial activity against Bacillus subtilis";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL1240428";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"16.0"
"CHEMBL1242158";"";"None";"431.86";"0";"2.90";"4d";"O=C(Cn1ncc2cc([N+](=O)[O-])ccc21)NN1C(=O)CSC1c1ccc(Cl)cc1";"MIC";"'='";"16.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1246166";"Antibacterial activity against Bacillus subtilis";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL1240428";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"16.0"
"CHEMBL1242157";"";"None";"431.86";"0";"2.90";"4c";"O=C(Cn1ncc2cc([N+](=O)[O-])ccc21)NN1C(=O)CSC1c1ccccc1Cl";"MIC";"'='";"17.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1246166";"Antibacterial activity against Bacillus subtilis";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL1240428";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"17.0"
"CHEMBL5315124";"LEVOFLOXACIN";"4.0";"740.76";"0";"1.54";"Levofloxacin";"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O";"MIC";"'='";"0.39";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4029909";"Antibacterial activity against Bacillus subtilis ATCC 11774 after 20 to 24 hrs by broth microdilution method";"F";"BAO_0000019";"assay format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL4028820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"0.39"
"CHEMBL2234676";"";"None";"337.42";"0";"4.53";"5a";"CCN(CC)c1cccc(OCc2cc(=O)oc3ccc(C)cc23)c1";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3062875";"Antibacterial activity against Bacillus subtilis MTCC 297 after 24 hr by disk diffusion method";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL3046568";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"12.5"
"CHEMBL2234663";"";"None";"454.48";"1";"5.67";"3b";"Cc1ccc2c(COc3cccc(OCc4cc(=O)oc5cc(C)ccc45)c3)cc(=O)oc2c1";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3062875";"Antibacterial activity against Bacillus subtilis MTCC 297 after 24 hr by disk diffusion method";"F";"BAO_0000218";"organism-based format";"Bacillus subtilis";"None";"None";"None";"None";"";"";"";"CHEMBL359";"Bacillus subtilis";"Bacillus subtilis";"ORGANISM";"CHEMBL3046568";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"12.5"
