"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1063563";"F";"Antibacterial activity against Bacillus subtilis ATCC 451 after 24 hrs by twofold serial dilution method";"Bacillus subtilis";"17";"17";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 451";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1153594";"19361987";"10.1016/j.bmcl.2009.03.093";"2009";"Bioorg Med Chem Lett";"19";"2819";"2823";"";"";"";"";"";""
"CHEMBL1833303";"F";"Antibacterial activity against Bacillus subtilis ATCC 6633 after 24 hrs by MTT assay";"Bacillus subtilis";"36";"36";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 6633";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1828597";"21856050";"10.1016/j.ejmech.2011.07.047";"2011";"Eur J Med Chem";"46";"4904";"4914";"";"";"";"";"";""
"CHEMBL1763867";"F";"Antibacterial activity against Bacillus subtilis assessed as zone of inhibition at 200 ug/ml after 24 hrs by disc diffusion method";"Bacillus subtilis";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1759942";"21342736";"10.1016/j.ejmech.2011.01.063";"2011";"Eur J Med Chem";"46";"1367";"1373";"";"";"";"";"";""
"CHEMBL1763879";"F";"Antibacterial activity against Bacillus subtilis after 24 hrs by microdilution method";"Bacillus subtilis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1759942";"21342736";"10.1016/j.ejmech.2011.01.063";"2011";"Eur J Med Chem";"46";"1367";"1373";"";"";"";"";"";""
"CHEMBL968218";"F";"Antibacterial activity against Bacillus subtilis";"Bacillus subtilis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1155659";"10650083";"10.1021/np9903494";"2000";"J Nat Prod";"63";"79";"85";"";"";"";"";"";""
"CHEMBL983879";"F";"Antibacterial activity against Bacillus subtilis at 1 mM by almar blue dye reduction assay";"Bacillus subtilis";"167";"168";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1155099";"18585037";"10.1016/j.bmcl.2008.06.020";"2008";"Bioorg Med Chem Lett";"18";"3946";"3949";"";"";"";"";"";""
"CHEMBL1173937";"F";"Antibacterial activity against Bacillus subtilis MTCC 441 at 500 ug/ml after 24 hrs by cup-plate method";"Bacillus subtilis";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MTCC 441";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1177873";"20413186";"10.1016/j.ejmech.2010.03.019";"2010";"Eur J Med Chem";"45";"2938";"2942";"";"";"";"";"";""
"CHEMBL1173932";"F";"Antibacterial activity against Bacillus subtilis MTCC 441 at 1 ug/ml after 24 hrs by cup-plate method";"Bacillus subtilis";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MTCC 441";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1177873";"20413186";"10.1016/j.ejmech.2010.03.019";"2010";"Eur J Med Chem";"45";"2938";"2942";"";"";"";"";"";""
"CHEMBL969471";"F";"Antibacterial activity against Bacillus subtilis ATCC 6633 after 24 hrs by broth microdilution method";"Bacillus subtilis";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1149844";"18293924";"10.1021/np070446u";"2008";"J Nat Prod";"71";"706";"709";"";"";"";"";"";""
"CHEMBL968420";"F";"Antibacterial activity against Bacillus subtilis ATCC 6633";"Bacillus subtilis";"47";"47";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1423";"";"";"";"";"CHEMBL1157150";"18262793";"10.1016/j.bmc.2008.02.006";"2008";"Bioorg Med Chem";"16";"4075";"4082";"";"";"";"";"";""
