"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1268505";"F";"Antiviral activity against Ebola-like viruses infected in C57BL/6 mouse assessed as increase in mouse survival at 10 mg/kg, ip single injection";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"";"";"";"";"CHEMBL1255462";"20211898";"10.1128/aac.01315-09";"2010";"Antimicrob Agents Chemother";"54";"2152";"2159";"standard_type:DOSE standard_relation:= standard_value:10.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1775560";"F";"Antiviral activity against Zaire ebolavirus expressing enhanced GFP in Vero 76 cells at 20 uM after 48 hrs by standard Plaque assay";"Zaire ebolavirus";"4";"4";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186538";"";"";"Vero";"";"CHEMBL1773055";"21265542";"10.1021/jm100938u";"2011";"J Med Chem";"54";"1157";"1169";"";"";"";"";"";""
"CHEMBL1268594";"F";"Antiviral activity against Ebola-like viruses infected in C57BL/6 mouse assessed as serum alanine aminotransferase at 10 mg/kg, ip after 24 hrs measured on 2 days postinfection";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"CHEMBL3638229";"Serum";"";"";"CHEMBL1255462";"20211898";"10.1128/aac.01315-09";"2010";"Antimicrob Agents Chemother";"54";"2152";"2159";"standard_type:DOSE standard_relation:= standard_value:10.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1268492";"F";"Antiviral activity against Zaire ebolavirus expressing GFP in african green monkey Vero E6 cells at >=0.8 uM after 48 hrs by standard plaque assay";"Zaire ebolavirus";"1";"1";"BAO_0000219";"cell-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186538";"";"";"Vero";"";"CHEMBL1255462";"20211898";"10.1128/aac.01315-09";"2010";"Antimicrob Agents Chemother";"54";"2152";"2159";"";"";"";"";"";""
"CHEMBL1268607";"F";"Antiviral activity against Ebola-like viruses infected in C57BL/6 mouse assessed as reduction in cytokine TNFalpha at 10 mg/kg, ip single dose";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"";"";"";"";"CHEMBL1255462";"20211898";"10.1128/aac.01315-09";"2010";"Antimicrob Agents Chemother";"54";"2152";"2159";"standard_type:DOSE standard_relation:= standard_value:10.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL4330315";"F";"Antiviral activity against Ebolavirus infected in mouse assessed as protection against viral infection at 10 mg/kg/day relative to control";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"";"";"";"";"CHEMBL4330057";"30408747";"10.1016/j.ejmech.2018.10.061";"2019";"Eur J Med Chem";"162";"32";"50";"";"";"";"";"";""
"CHEMBL5384531";"F";"Antiviral activity against EBVO-GP harboring Y517S mutant infected in HEK293T cells at 10 uM incubated for 48 hrs by luciferase assay";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"";"";"HEK293T";"";"CHEMBL5380852";"37021830";"10.1021/acs.jmedchem.2c01785";"2023";"J Med Chem";"66";"5465";"5483";"";"";"";"";"";""
"CHEMBL1268599";"F";"Antiviral activity against Ebola-like viruses infected in C57BL/6 mouse assessed as serum alkaline phosphatase at 10 mg/kg, ip after 24 hrs measured on 4 days postinfection";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"CHEMBL3638229";"Serum";"";"";"CHEMBL1255462";"20211898";"10.1128/aac.01315-09";"2010";"Antimicrob Agents Chemother";"54";"2152";"2159";"standard_type:DOSE standard_relation:= standard_value:10.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1268596";"F";"Antiviral activity against Ebola-like viruses infected in C57BL/6 mouse assessed as serum alkaline phosphatase at 10 mg/kg, ip after 24 hrs measured on 2 days postinfection";"Ebolavirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"CHEMBL3638229";"Serum";"";"";"CHEMBL1255462";"20211898";"10.1128/aac.01315-09";"2010";"Antimicrob Agents Chemother";"54";"2152";"2159";"standard_type:DOSE standard_relation:= standard_value:10.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL5241447";"F";"Antiviral activity against recombinant VSV-deltaG pseudotyped GFP-tagged EBOV infected in human Huh-7 cells preincubated with cells for 1 hr followed by viral infection and measured after 16 hrs by luciferase based assay";"Ebolavirus";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186536";"";"";"Huh-7";"";"CHEMBL5241063";"33609889";"10.1016/j.ejmech.2021.113220";"2021";"Eur J Med Chem";"215";"113220";"113220";"";"";"";"";"";""
