"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5613181";"";"None";"378.50";"0";"4.80";"1";"O=C(Nc1ccccc1)c1ccc(-c2ccccc2OC2CCNCC2)s1";"EC50";"'='";"2640.0";"nM";"5.58";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5611050";"Antiviral activity against SUDV";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"None";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5608238";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"2.64"
"CHEMBL5591328";"";"None";"391.52";"0";"3.86";"55";"COc1ccc(Cn2c(C(=O)N3CCC(N(C)C)CC3)cc3ccccc32)cc1";"EC50";"'='";"1230.0";"nM";"5.91";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579641";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human A549 cells assessed as inhibition of viral growth";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"A549";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"1.23"
"CHEMBL5584196";"";"None";"379.48";"0";"3.99";"49";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(F)cc2)CC1";"EC50";"'='";"1010.0";"nM";"6.00";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579645";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human HeLa cells assessed as inhibition of viral replication";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"HeLa";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"1.01"
"CHEMBL5612845";"";"None";"378.50";"0";"4.80";"53";"O=C(Nc1ccccc1)c1ccc(-c2cccc(OC3CCNCC3)c2)s1";"EC50";"'='";"3050.0";"nM";"5.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5611050";"Antiviral activity against SUDV";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"None";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5608238";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"3.05"
"CHEMBL5612941";"";"None";"378.50";"0";"4.80";"57";"O=C(Nc1ccccc1)c1ccc(-c2ccc(OC3CCNCC3)cc2)s1";"EC50";"'='";"1680.0";"nM";"5.78";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5611050";"Antiviral activity against SUDV";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"None";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5608238";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"1.68"
"CHEMBL5593953";"";"None";"469.92";"1";"6.42";"15";"O=C(Nc1ccc(N2CCC(F)(F)CC2)cc1)c1cc2occc2n1Cc1ccc(Cl)cc1";"EC50";"'='";"2390.0";"nM";"5.62";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579641";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human A549 cells assessed as inhibition of viral growth";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"A549";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"2.39"
"CHEMBL5591328";"";"None";"391.52";"0";"3.86";"55";"COc1ccc(Cn2c(C(=O)N3CCC(N(C)C)CC3)cc3ccccc32)cc1";"EC50";"'~'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579645";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human HeLa cells assessed as inhibition of viral replication";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"HeLa";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"20.0"
"CHEMBL5594429";"";"None";"367.54";"0";"4.39";"58";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2CC2CCCCC2)CC1";"EC50";"'='";"652.0";"nM";"6.19";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579645";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human HeLa cells assessed as inhibition of viral replication";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"HeLa";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"0.652"
"CHEMBL5584196";"";"None";"379.48";"0";"3.99";"49";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(F)cc2)CC1";"EC50";"'='";"554.0";"nM";"6.26";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579641";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human A549 cells assessed as inhibition of viral growth";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"A549";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"0.554"
"CHEMBL5589828";"";"None";"362.48";"0";"3.25";"56";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccncc2)CC1";"EC50";"'='";"771.0";"nM";"6.11";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5579641";"Antiviral activity against pseudotyped Sudan ebolavirus Gulu infected in human A549 cells assessed as inhibition of viral growth";"F";"BAO_0000218";"organism-based format";"Sudan ebolavirus";"None";"None";"A549";"None";"";"";"";"CHEMBL5291667";"Sudan ebolavirus";"Sudan ebolavirus";"ORGANISM";"CHEMBL5576160";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"";"";"0.771"
