"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL5591525";"";"";"";"";"395.93";"6";"7";"4.51";"28.48";"3";"0";"0";"4";"N";"0.65";"3";"MOL";"-1";"28";"-1.58";"C23H26ClN3O";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccc(Cl)cc2)CC1";"ZJWXMZATGOHKQV-UHFFFAOYSA-N";"InChI=1S/C23H26ClN3O/c1-25(2)20-11-13-26(14-12-20)23(28)22-15-18-5-3-4-6-21(18)27(22)16-17-7-9-19(24)10-8-17/h3-10,15,20H,11-14,16H2,1-2H3";"False";"-1";"['47']";"['(1-(4-chlorobenzyl)-1H-indol-2-yl)(4-(dimethylamino)piperidin-1-yl)methanone']"
"CHEMBL5613181";"";"";"";"";"378.50";"7";"34";"4.80";"50.36";"4";"2";"0";"5";"N";"0.67";"3";"MOL";"-1";"27";"-0.65";"C22H22N2O2S";"O=C(Nc1ccccc1)c1ccc(-c2ccccc2OC2CCNCC2)s1";"SCURJBBRMBNFML-UHFFFAOYSA-N";"InChI=1S/C22H22N2O2S/c25-22(24-16-6-2-1-3-7-16)21-11-10-20(27-21)18-8-4-5-9-19(18)26-17-12-14-23-15-13-17/h1-11,17,23H,12-15H2,(H,24,25)";"False";"-1";"['1']";"['N-phenyl-5-(2-(piperidin-4-yloxy)phenyl)thiophene-2-carboxamide']"
"CHEMBL5595489";"";"";"";"";"355.87";"6";"7";"3.63";"37.27";"3";"1";"0";"6";"N";"0.73";"3";"MOL";"-1";"25";"-1.68";"C20H22ClN3O";"CN(C)CCNC(=O)c1cc2ccccc2n1Cc1ccc(Cl)cc1";"VLJCKDAGKRNBIL-UHFFFAOYSA-N";"InChI=1S/C20H22ClN3O/c1-23(2)12-11-22-20(25)19-13-16-5-3-4-6-18(16)24(19)14-15-7-9-17(21)10-8-15/h3-10,13H,11-12,14H2,1-2H3,(H,22,25)";"False";"-1";"['46']";"['1-(4-chlorobenzyl)-N-(2-(dimethylamino)ethyl)-1H-indole-2-carboxamide']"
"CHEMBL5612941";"";"";"";"";"378.50";"7";"42";"4.80";"50.36";"4";"2";"0";"5";"N";"0.67";"3";"MOL";"-1";"27";"-0.77";"C22H22N2O2S";"O=C(Nc1ccccc1)c1ccc(-c2ccc(OC3CCNCC3)cc2)s1";"MSDIIDNLPGLLLA-UHFFFAOYSA-N";"InChI=1S/C22H22N2O2S/c25-22(24-17-4-2-1-3-5-17)21-11-10-20(27-21)16-6-8-18(9-7-16)26-19-12-14-23-15-13-19/h1-11,19,23H,12-15H2,(H,24,25)";"False";"-1";"['57']";"['N-phenyl-5-(4-(piperidin-4-yloxy)phenyl)thiophene-2-carboxamide']"
"CHEMBL5591328";"";"";"";"";"391.52";"7";"11";"3.86";"37.71";"4";"0";"0";"5";"N";"0.66";"3";"MOL";"-1";"29";"-1.34";"C24H29N3O2";"COc1ccc(Cn2c(C(=O)N3CCC(N(C)C)CC3)cc3ccccc32)cc1";"XBPZLMFAFUOMBO-UHFFFAOYSA-N";"InChI=1S/C24H29N3O2/c1-25(2)20-12-14-26(15-13-20)24(28)23-16-19-6-4-5-7-22(19)27(23)17-18-8-10-21(29-3)11-9-18/h4-11,16,20H,12-15,17H2,1-3H3";"False";"-1";"['55']";"['(4-(dimethylamino)piperidin-1-yl)(1-(4-methoxybenzyl)-1H-indol-2-yl)methanone']"
"CHEMBL5612845";"";"";"";"";"378.50";"5";"10";"4.80";"50.36";"4";"2";"0";"5";"N";"0.67";"3";"MOL";"-1";"27";"-0.87";"C22H22N2O2S";"O=C(Nc1ccccc1)c1ccc(-c2cccc(OC3CCNCC3)c2)s1";"XASPAHSUQWBOAW-UHFFFAOYSA-N";"InChI=1S/C22H22N2O2S/c25-22(24-17-6-2-1-3-7-17)21-10-9-20(27-21)16-5-4-8-19(15-16)26-18-11-13-23-14-12-18/h1-10,15,18,23H,11-14H2,(H,24,25)";"False";"-1";"['53']";"['N-phenyl-5-(3-(piperidin-4-yloxy)phenyl)thiophene-2-carboxamide']"
"CHEMBL5583881";"";"";"";"";"345.83";"6";"15";"3.23";"50.41";"4";"1";"0";"6";"N";"0.75";"3";"MOL";"-1";"24";"-1.68";"C18H20ClN3O2";"CN(C)CCNC(=O)c1cc2occc2n1Cc1ccc(Cl)cc1";"NBWDZVUFVPHUIC-UHFFFAOYSA-N";"InChI=1S/C18H20ClN3O2/c1-21(2)9-8-20-18(23)16-11-17-15(7-10-24-17)22(16)12-13-3-5-14(19)6-4-13/h3-7,10-11H,8-9,12H2,1-2H3,(H,20,23)";"False";"-1";"['5; CBS1111']";"['4-(4-chlorobenzyl)-N-(2-(dimethylamino)ethyl)-4H-furo[3,2-b]pyrrole-5-carboxamide']"
"CHEMBL5589828";"";"";"";"";"362.48";"6";"7";"3.25";"41.37";"4";"0";"0";"4";"N";"0.72";"3";"MOL";"-1";"27";"-1.53";"C22H26N4O";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2Cc2ccncc2)CC1";"PRMDKFAKANCTIW-UHFFFAOYSA-N";"InChI=1S/C22H26N4O/c1-24(2)19-9-13-25(14-10-19)22(27)21-15-18-5-3-4-6-20(18)26(21)16-17-7-11-23-12-8-17/h3-8,11-12,15,19H,9-10,13-14,16H2,1-2H3";"False";"-1";"['56']";"['(4-(dimethylamino)piperidin-1-yl)(1-(pyridin-4-ylmethyl)-1H-indol-2-yl)methanone']"
"CHEMBL5594429";"";"";"";"";"367.54";"7";"14";"4.39";"28.48";"3";"0";"0";"4";"N";"0.80";"2";"MOL";"-1";"27";"-1.28";"C23H33N3O";"CN(C)C1CCN(C(=O)c2cc3ccccc3n2CC2CCCCC2)CC1";"OIBIXTOEEKCNMI-UHFFFAOYSA-N";"InChI=1S/C23H33N3O/c1-24(2)20-12-14-25(15-13-20)23(27)22-16-19-10-6-7-11-21(19)26(22)17-18-8-4-3-5-9-18/h6-7,10-11,16,18,20H,3-5,8-9,12-15,17H2,1-2H3";"False";"-1";"['58']";"['(1-(cyclohexylmethyl)-1H-indol-2-yl)(4-(dimethylamino)piperidin-1-yl)methanone']"
"CHEMBL5594836";"";"";"";"";"401.96";"6";"7";"4.57";"28.48";"4";"0";"0";"4";"N";"0.64";"3";"MOL";"-1";"27";"-2.09";"C21H24ClN3OS";"CN(C)C1CCN(C(=O)c2cc3sccc3n2Cc2ccc(Cl)cc2)CC1";"PLEGYWDFAPVLFP-UHFFFAOYSA-N";"InChI=1S/C21H24ClN3OS/c1-23(2)17-7-10-24(11-8-17)21(26)19-13-20-18(9-12-27-20)25(19)14-15-3-5-16(22)6-4-15/h3-6,9,12-13,17H,7-8,10-11,14H2,1-2H3";"False";"-1";"['20']";"['(4-(4-chlorobenzyl)-4H-thieno[3,2-b]pyrrol-5-yl)(4-(dimethylamino)piperidin-1-yl)methanone']"
