"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1090696";"";"None";"452.55";"0";"3.20";"9";"CCOC(=O)C1=C(O)CC(c2ccccc2)N(C(O)CN2CCOCC2)C1c1ccccc1";"MIC90";"'>'";"128.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1110705";"Antibacterial activity against vancomycin and Linezolid resistant Enterococcus faecalis LCB0007 by two fold serial dilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1156319";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"128.0"
"CHEMBL1093337";"";"None";"525.67";"2";"6.81";"17";"CCOC(=O)C1=C(O)CC(c2ccccc2)N(C(O)CSc2ccc3ccccc3c2)C1c1ccccc1";"MIC90";"'>'";"128.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1110705";"Antibacterial activity against vancomycin and Linezolid resistant Enterococcus faecalis LCB0007 by two fold serial dilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1156319";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"128.0"
"CHEMBL1091116";"";"None";"496.61";"1";"6.08";"24";"CCOC(=O)C1=C(O)CC(c2ccccc2)N(C(O)C(C)n2ccc3ccccc32)C1c1ccccc1";"MIC90";"'>'";"128.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1110705";"Antibacterial activity against vancomycin and Linezolid resistant Enterococcus faecalis LCB0007 by two fold serial dilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1156319";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"128.0"
"CHEMBL4098498";"";"None";"675.85";"2";"3.47";"4d";"CCCCCCCCCCCCCCCOP(=O)(CCN(CCCN)CCCN)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"MIC";"'='";"50.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4039911";"Antibacterial activity against Enterococcus faecalis CCM 4224 after 24 hrs by microdilution method";"F";"BAO_0000019";"assay format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL4038308";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"50.0"
"CHEMBL4069782";"";"None";"647.80";"2";"2.69";"4g";"CCCCCCCCCCCCCCCOP(=O)(CCN(CCN)CCN)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4039911";"Antibacterial activity against Enterococcus faecalis CCM 4224 after 24 hrs by microdilution method";"F";"BAO_0000019";"assay format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL4038308";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"12.5"
"CHEMBL4076980";"";"None";"661.82";"2";"3.08";"4h";"CCCCCCCCCCCCCCCCOP(=O)(CCN(CCN)CCN)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4039911";"Antibacterial activity against Enterococcus faecalis CCM 4224 after 24 hrs by microdilution method";"F";"BAO_0000019";"assay format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL4038308";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"12.5"
"CHEMBL4063844";"";"None";"616.74";"2";"3.12";"4i";"CCCCCCCCCCCCCCOP(=O)(CCN1CCC(N)C1)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"MIC";"'='";"6.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4039911";"Antibacterial activity against Enterococcus faecalis CCM 4224 after 24 hrs by microdilution method";"F";"BAO_0000019";"assay format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL4038308";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"6.25"
"CHEMBL4105188";"";"None";"646.76";"2";"2.48";"4k";"CCCCCCCCCCCCCCCOP(=O)(CCN1C[C@@H](O)[C@@H](N)C1)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"MIC";"'='";"12.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4039911";"Antibacterial activity against Enterococcus faecalis CCM 4224 after 24 hrs by microdilution method";"F";"BAO_0000019";"assay format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL4038308";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"12.5"
"CHEMBL4076146";"";"None";"773.96";"3";"2.91";"8d";"CCCCCCCCCCCCCCCCOP(=O)(CCN(CCCNC(=N)N)CCCNC(=N)N)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O";"MIC";"'='";"6.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4039911";"Antibacterial activity against Enterococcus faecalis CCM 4224 after 24 hrs by microdilution method";"F";"BAO_0000019";"assay format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL4038308";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"6.25"
"CHEMBL2234680";"";"None";"353.42";"0";"4.23";"5e";"CCN(CC)c1cccc(OCc2cc(=O)oc3ccc(OC)cc23)c1";"MIC";"'='";"6.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3048186";"Antibacterial activity against Enterococcus faecalis MTCC 3382 after 24 hr by disk diffusion method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL3046568";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"6.25"
"CHEMBL2234667";"";"None";"495.31";"1";"6.36";"3f";"O=c1cc(COc2cccc(OCc3cc(=O)oc4ccc(Cl)cc34)c2)c2cc(Cl)ccc2o1";"MIC";"'='";"6.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3048186";"Antibacterial activity against Enterococcus faecalis MTCC 3382 after 24 hr by disk diffusion method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL3046568";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"6.25"
"CHEMBL389862";"";"None";"2593.09";"None";"None";"51";"CC(C)C[C@@H]1NC(=O)CNC(=O)[C@H](c2ccc(O)cc2)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)NC(=O)[C@@H](CCCN)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](c2ccc(O)cc2)NC(=O)[C@H](c2ccc(O)cc2)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](CCCN)NC(=O)[C@@H](c2ccc(O)cc2)NC(=O)[C@@H](CNC(=O)[C@H](CC(N)=O)NC(=O)Cc2ccccc2[N+](=O)[O-])[C@@H](C(N)=O)OC(=O)[C@H](c2ccc(O)c(Cl)c2)NC(=O)[C@@H](C)NC1=O";"MIC";"'='";"1.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL889461";"Antibacterial activity against vancomycin A-resistant Enterococcus faecalis after 24 hrs by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Enterococcus faecalis";"None";"None";"None";"None";"";"";"";"CHEMBL362";"Enterococcus faecalis";"Enterococcus faecalis";"ORGANISM";"CHEMBL1145390";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"1.0"
