"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL836016";"F";"Minimum inhibitory concentration against cell wall biosynthesis of vancomycin resistant Enterococcus faecalis GC 2242 (VRE)";"Enterococcus faecalis";"28";"28";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1145247";"15863310";"10.1016/j.bmcl.2005.03.058";"2005";"Bioorg Med Chem Lett";"15";"2527";"2531";"";"";"";"";"";""
"CHEMBL919269";"F";"Antibacterial activity against Enterococcus faecalis";"Enterococcus faecalis";"4";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1147099";"17242152";"10.1128/aac.01315-06";"2007";"Antimicrob Agents Chemother";"51";"1259";"1267";"";"";"";"";"";""
"CHEMBL861368";"F";"Antibacterial activity against vancomycin-resistant Enterococcus faecalis DRCC 153";"Enterococcus faecalis";"13";"13";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1147001";"16488606";"10.1016/j.bmcl.2006.01.109";"2006";"Bioorg Med Chem Lett";"16";"2391";"2395";"";"";"";"";"";""
"CHEMBL906944";"F";"Antibacterial activity against vancomycin-resistant Enterococcus faecalis 700802";"Enterococcus faecalis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1142158";"17074800";"10.1128/aac.01311-05";"2007";"Antimicrob Agents Chemother";"51";"119";"127";"";"";"";"";"";""
"CHEMBL674282";"F";"Antibacterial activity against vancomycin-resistant strain of Enterococcus faecalis(VRE) was determined";"Enterococcus faecalis";"36";"36";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1144871";"12801236";"10.1021/jm020591z";"2003";"J Med Chem";"46";"2731";"2739";"";"";"";"";"";""
"CHEMBL975234";"F";"Antimicrobial activity against Enterococcus faecalis ATCC 29212 at 10 ug after 18 hrs by agar-well diffusion method";"Enterococcus faecalis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 29212";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1138558";"18676062";"10.1016/j.ejmech.2008.06.019";"2009";"Eur J Med Chem";"44";"1057";"1066";"";"";"";"";"";""
"CHEMBL977970";"F";"Antibacterial activity against vancomycin-resistant Enterococcus faecalis";"Enterococcus faecalis";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1138561";"18703256";"10.1016/j.ejmech.2008.07.001";"2009";"Eur J Med Chem";"44";"1001";"1009";"";"";"";"";"";""
"CHEMBL1820566";"F";"Antibacterial activity against Enterococcus faecalis 08-10 after 18 to 24 hrs by NCCLS M100-S11 two fold serial dilution method";"Enterococcus faecalis";"23";"23";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"08-10";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1817648";"21764484";"10.1016/j.ejmech.2011.06.032";"2011";"Eur J Med Chem";"46";"4267";"4273";"";"";"";"";"";""
"CHEMBL859882";"F";"Antibacterial activity against vancomycin resistant Enterococcus faecalis";"Enterococcus faecalis";"28";"28";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"GC 2242";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1148552";"16216496";"10.1016/j.bmcl.2005.09.021";"2006";"Bioorg Med Chem Lett";"16";"176";"180";"";"";"";"";"";""
"CHEMBL937142";"F";"Antibacterial activity against vancomycin-susceptible Enterococcus faecalis 1209 after 24 hrs by broth macrodilution method";"Enterococcus faecalis";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"1209";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1145514";"17353251";"10.1128/aac.00744-06";"2007";"Antimicrob Agents Chemother";"51";"1661";"1665";"";"";"";"";"";""
"CHEMBL1667457";"F";"Bactericidal activity against vancomycin-resistant Enterococcus faecalis ATCC 51299 expressing vanB gene assessed as change in bacterial count at 4 ug/ml by time-kill assay";"Enterococcus faecalis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 51299";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1649467";"19349514";"10.1128/aac.00197-09";"2009";"Antimicrob Agents Chemother";"53";"2687";"2689";"";"";"";"";"";""
"CHEMBL814006";"F";"In vitro minimum inhibitory concentration against Streptococcus faecalis ATCC 7080";"Enterococcus faecalis";"75";"75";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1124366";"2530352";"10.1021/jm00131a007";"1989";"J Med Chem";"32";"2450";"2460";"";"";"";"";"";""
"CHEMBL889794";"F";"Antibacterial activity against Enterococcus faecalis by broth microdilution method";"Enterococcus faecalis";"14";"14";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1146253";"17681758";"10.1016/j.bmcl.2007.07.022";"2007";"Bioorg Med Chem Lett";"17";"5036";"5040";"";"";"";"";"";""
"CHEMBL866395";"F";"Antibacterial activity against Enterococcus faecalis isolate 5";"Enterococcus faecalis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1149410";"16298528";"10.1016/j.bmcl.2005.11.005";"2006";"Bioorg Med Chem Lett";"16";"879";"883";"";"";"";"";"";""
"CHEMBL814007";"F";"In vitro minimum inhibitory concentration for Streptococcus faecalis ATCC 10541";"Enterococcus faecalis";"51";"51";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1127424";"7990118";"10.1021/jm00050a016";"1994";"J Med Chem";"37";"4195";"4210";"";"";"";"";"";""
"CHEMBL1775475";"F";"Antibacterial activity against Enterococcus faecalis at 64 ug/ml after 20 hrs";"Enterococcus faecalis";"39";"39";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1773043";"21214253";"10.1021/np100635f";"2011";"J Nat Prod";"74";"329";"340";"";"";"";"";"";""
"CHEMBL799856";"F";"Minimal inhibitory concentration against Streptococcus faecalis LEP strain";"Enterococcus faecalis";"21";"21";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1351";"";"";"";"";"CHEMBL1126958";"8230136";"10.1021/jm00074a028";"1993";"J Med Chem";"36";"3449";"3454";"";"";"";"";"";""
