"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1631000";"";"None";"370.40";"0";"2.81";"3379-2585";"O=C(O)CCCCCNC(=O)/C(=C/c1ccccc1)NC(=O)c1ccco1";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"0.0"
"CHEMBL1631619";"";"None";"525.61";"1";"2.16";"C481-1375";"O=C(c1ccco1)N1CCN(C(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc3nsnc3c2)CC1";"Inhibition";"'='";"22.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"22.0"
"CHEMBL1631621";"";"None";"510.60";"1";"2.54";"C481-1844";"O=C(NCC1COc2ccccc2O1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1";"Inhibition";"'='";"20.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"20.0"
"CHEMBL1631628";"";"None";"481.57";"0";"2.49";"G319-0151";"O=C(C(Cc1ccccc1)NS(=O)(=O)c1cccc2cccnc12)N1CCC2(CC1)OCCO2";"Inhibition";"'='";"9.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"9.0"
"CHEMBL1631634";"";"None";"503.02";"1";"3.61";"K938-0195";"COc1ccc(CCNC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc(Cl)cc2)cc1OC";"Inhibition";"'='";"14.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"14.0"
"CHEMBL1396288";"";"None";"465.92";"0";"4.61";"E945-0166";"O=C(NCc1ccc(Cl)cc1)C1CCCN(c2ncnc3onc(-c4ccc(F)cc4)c23)C1";"Inhibition";"'='";"23.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"23.6"
"CHEMBL1631730";"";"None";"459.53";"0";"4.52";"E945-0142";"CCc1ccc(CNC(=O)C2CCCN(c3ncnc4onc(-c5ccc(F)cc5)c34)C2)cc1";"Inhibition";"'='";"7.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"7.0"
"CHEMBL1391201";"";"None";"471.47";"0";"1.52";"C260-1054";"O=C(CCn1c(=O)c2ccccc2n(Cc2cc(=O)n3ccccc3n2)c1=O)NCc1ccco1";"Inhibition";"'='";"15.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"15.0"
"CHEMBL1631740";"";"None";"449.49";"0";"3.18";"K284-0637";"O=C(CSc1nc2ccccc2c(=O)n1Cc1ccc2c(c1)OCO2)NCc1ccco1";"Inhibition";"'='";"34.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"34.2"
"CHEMBL1593957";"";"None";"470.62";"1";"6.30";"K784-7793";"Cc1cccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NCc4cccs4)cc32)c1";"Inhibition";"'='";"8.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1637635";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Vero";"None";"";"";"";"CHEMBL1907598";"Integrin alpha-V/beta-3";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1629507";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307520";"";"";"";"8.3"
