"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1637635";"B";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 1 uM by immunofluorescent assay";"Homo sapiens";"117";"117";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637641";"B";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of SNV SN77734 entry at 10 uM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637636";"B";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells by immunofluorescent assay";"Homo sapiens";"3";"6";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637634";"B";"Inhibition of human alphaVbeta3 receptor expressed in african green monkey Vero E6 cells assessed as inhibition of SNV infection in cells at 2 mM by immunofluorescent assay";"Homo sapiens";"2";"2";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637639";"B";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of Hantaan 76/118 viral entry at 10 uM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637644";"B";"Inhibition of human integrase alphaVbeta1 expressed in african green monkey Vero E6 cells assessed as inhibition of PHV-1 entry at 1 mM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637638";"B";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of Andes CHI-7913 viral entry at 1 mM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637637";"B";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of Andes CHI-7913 viral entry at 10 uM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637640";"B";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of Hantaan 76/118 viral entry at 1 mM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
"CHEMBL1637642";"B";"Inhibition of human integrase alphaVbeta3 expressed in african green monkey Vero E6 cells assessed as inhibition of SNV SN77734 entry at 1 mM";"Homo sapiens";"4";"4";"BAO_0000219";"cell-based format";"7";"7 - Direct protein complex subunits assigned";"";"Scientific Literature";"9606";"";"";"Vero";"";"CHEMBL1629507";"20951038";"10.1016/j.bmcl.2010.09.092";"2010";"Bioorg Med Chem Lett";"20";"7085";"7091";"";"";"";"";"";""
