"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2323111";"";"None";"253.31";"0";"3.08";"Page No746, R7C2-1";"CNc1ccc2c(c1)ncn2-c1ccc(OC)cc1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL2328234";"Antiviral activity against Lassa virus pseudovirions infected in HEK293T/17 cells at 50 uM after 72 hrs by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2321741";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3706569";"";"";"";""
"CHEMBL2314859";"";"None";"371.48";"1";"5.77";"ST-193";"COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1";"FC";"'='";"2.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2328229";"Antiviral activity against Lassa virus infected in guinea pig strain 13 assessed as reduction in viral titre in plasma at 25 mg/kg/day, ip administered at 1 hr prior to infection for 14 days relative to control";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"CHEMBL3559721";"Plasma";"None";"None";"ROUTE: Intraperitoneal";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2321741";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"2.0"
"CHEMBL2314868";"";"None";"386.50";"1";"5.05";"22h";"CCOc1ccc(Cn2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1";"EC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2320857";"Antiviral activity against Lassa virus by pseudo-type antiviral assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2311472";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"1600.0"
"CHEMBL2315151";"";"None";"373.46";"0";"4.39";"22d";"CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)nc1";"EC50";"'='";"0.98";"nM";"9.01";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2320857";"Antiviral activity against Lassa virus by pseudo-type antiviral assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2311472";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"0.98"
"CHEMBL2315139";"";"None";"370.50";"1";"6.20";"21a";"CCOc1ccc(-n2ccc3cc(NCc4ccc(CC)cc4)ccc32)cc1";"EC50";"'='";"69.0";"nM";"7.16";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2320857";"Antiviral activity against Lassa virus by pseudo-type antiviral assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2311472";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"69.0"
"CHEMBL2323039";"";"None";"573.73";"1";"4.42";"2";"COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL2328532";"Antiviral activity against Lassa virus by cell based luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2321771";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";""
"CHEMBL2314867";"";"None";"370.46";"1";"5.13";"22g";"CCOc1ccc(-n2cnc3cc(/N=C/c4ccc(CC)cc4)cnc32)cc1";"EC50";"'='";"4300.0";"nM";"5.37";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2320857";"Antiviral activity against Lassa virus by pseudo-type antiviral assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"None";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2311472";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"4300.0"
"CHEMBL2322815";"";"None";"359.43";"0";"4.65";"7t";"COc1ccc(-n2cnc3cc(NCc4ccccc4OC)ccc32)cc1";"EC50";"'='";"460.0";"nM";"6.34";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2328235";"Antiviral activity against Lassa virus pseudovirions infected in HEK293T/17 cells after 72 hrs by luciferase reporter gene assay";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL2321741";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3706569";"";"";"";"460.0"
"CHEMBL559853";"";"None";"442.56";"0";"4.49";"17D1";"COc1ccc(C(=O)N2CC(=O)N(Cc3ccc(C)cc3)C(CCc3ccccc3)C2)cc1";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1035389";"Antiviral activity against LASV infected in human A549 cells";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"A549";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL1151924";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307651";"";"";"";"0.4"
"CHEMBL564725";"";"None";"438.53";"0";"4.84";"(-)-3";"Cc1ccc(CN2C(=O)CN(C(=O)c3cc4ccccc4o3)C[C@@H]2Cc2ccccc2)cc1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1035389";"Antiviral activity against LASV infected in human A549 cells";"F";"BAO_0000218";"organism-based format";"Mammarenavirus lassaense";"None";"None";"A549";"None";"";"";"";"CHEMBL615051";"Lassa virus";"Mammarenavirus lassaense";"ORGANISM";"CHEMBL1151924";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307651";"";"";"";"0.2"
