"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5315124";"LEVOFLOXACIN";"4.0";"740.76";"0";"1.54";"Levofloxacin";"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O";"MIC50";"'='";"0.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1262389";"Antimicrobial activity against Listeria monocytogenes isolates by CLSI M45-A protocol based microdilution method";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1255301";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2008";"None";"";"";"";"0.5"
"CHEMBL1210162";"";"None";"384.40";"0";"3.69";"4k";"O=C(O)c1ccc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1";"MIC";"'='";"400.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1212116";"Antimicrobial activity against Listeria monocytogenes by broth microdilution method";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1208662";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"400.0"
"CHEMBL1236329";"1R-(+)-ALPHA-PINENE";"None";"136.24";"0";"3.00";"1R-(+)-alpha-pinene";"CC1=CC[C@@H]2C[C@H]1C2(C)C";"GI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3052993";"Antimicrobial activity against Listeria monocytogenes ATCC 19111 assessed as growth inhibition rate at 4.44 mg/l after 72 hr by spectrophotometry";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL3046951";"1";"Scientific Literature";"J Agric Food Chem";"2004";"None";"";"";"";"0.0"
"CHEMBL2269084";"2-ETHYLFURAN";"None";"96.13";"0";"1.84";"2-ethylfuran";"CCc1ccco1";"GI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3052995";"Antimicrobial activity against Listeria monocytogenes ATCC 19111 assessed as growth inhibition rate at 3.64 mg/l after 72 hr by spectrophotometry";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL3046951";"1";"Scientific Literature";"J Agric Food Chem";"2004";"None";"";"";"";"0.0"
"CHEMBL545";"ALCOHOL";"4.0";"46.07";"0";"0.00";"ethyl alcohol";"CCO";"GI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3052996";"Antimicrobial activity against Listeria monocytogenes ATCC 19111 assessed as growth inhibition rate at 104.72 mg/l after 72 hr by spectrophotometry";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL3046951";"1";"Scientific Literature";"J Agric Food Chem";"2004";"None";"";"";"";"0.0"
"CHEMBL1232510";"SOLITHROMYCIN";"3.0";"845.02";"2";"4.60";"CEM-101";"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C";"Activity";"'='";"0.11";"mg/L";"";"";"";"";"";"";"";"";"0";"CHEMBL1695504";"Antibacterial activity against methicillin-sensitive Listeria monocytogenes EGD assessed as concentration required to no apparent bacterial growth after 24 hrs";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1687740";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"0.11"
"CHEMBL529";"AZITHROMYCIN";"4.0";"749.00";"2";"1.90";"Azithromycin";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O";"Activity";"'='";"2.9";"mg/L";"";"";"";"";"";"";"";"";"0";"CHEMBL1695507";"Antibacterial activity against methicillin-sensitive Listeria monocytogenes EGD infected in human THP1 cells assessed as concentration required to no apparent bacterial growth after 24 hrs";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"THP-1";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1687740";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"CHEMBL3307574";"";"";"";"2.9"
"CHEMBL1232510";"SOLITHROMYCIN";"3.0";"845.02";"2";"4.60";"CEM-101";"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C";"MIC";"'='";"0.004";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1695142";"Antibacterial activity against Listeria monocytogenes EGD after 24 hrs";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1687740";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"0.004"
"CHEMBL2417984";"";"None";"1112.53";"None";"None";"18";"CCC[C@@H]1C[C@@H](C(=O)NC([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)SCCOCCSSCCOCCSC[C@H]2O[C@@H](O[C@@H]3[C@@H](O)[C@H](O[C@H]4O[C@H](CN)[C@@H](O)C[C@H]4N)[C@@H](N)C[C@H]3N)[C@H](O)[C@@H](N)[C@@H]2O)N(C)C1";"MIC";"'='";"18.8";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL2421302";"Antibacterial activity against Listeria monocytogenes ATCC 19115 by double-dilution technique";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL2417431";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"18.8"
"CHEMBL2418137";"";"None";"526.79";"1";"0.83";"9";"CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)SCCOCCS)N(C)C1";"MIC";"'='";"37.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL2421302";"Antibacterial activity against Listeria monocytogenes ATCC 19115 by double-dilution technique";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL2417431";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"37.5"
"CHEMBL214872";"";"None";"683.97";"2";"7.76";"5";"O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2c1ccc1ccccc21";"MIC";"'='";"2.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL912383";"Antibacterial activity against Listeria monocytogenes 5";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1137378";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"2.5"
"CHEMBL214872";"";"None";"683.97";"2";"7.76";"5";"O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2c1ccc1ccccc21";"MIC";"'='";"2.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL912385";"Antibacterial activity against Listeria monocytogenes 7";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1137378";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"2.5"
"CHEMBL385891";"";"None";"683.97";"2";"7.76";"15";"O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2cccc3cccc1c23";"MIC";"'='";"2.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL912381";"Antibacterial activity against Listeria monocytogenes 3";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1137378";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"2.5"
"CHEMBL411871";"";"None";"404.37";"0";"4.99";"8";"O=C1OC(c2ccc(O)c(F)c2)(c2ccc(O)c(F)c2)c2ccc3ccccc3c21";"MIC";"'='";"25.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL912381";"Antibacterial activity against Listeria monocytogenes 3";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1137378";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"25.0"
"CHEMBL217765";"";"None";"447.28";"1";"5.48";"13";"O=C1OC(c2ccc(O)cc2)(c2ccc(O)c(Br)c2)c2cccc3cccc1c23";"MIC";"'='";"10.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL912382";"Antibacterial activity against Listeria monocytogenes 4";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1137378";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"10.0"
"CHEMBL385891";"";"None";"683.97";"2";"7.76";"15";"O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2cccc3cccc1c23";"MIC";"'='";"2.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL912387";"Antibacterial activity against Listeria monocytogenes ATCC 4428";"F";"BAO_0000218";"organism-based format";"Listeria monocytogenes";"None";"None";"None";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1137378";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"2.5"
"CHEMBL1423";"PIMOZIDE";"4.0";"461.56";"1";"5.86";"SID11113804";"O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1";"Inhibition";"'='";"47.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1636655";"Antimicrobial activity against Listeria monocytogenes 10403S infected in L2 cells assessed as decrease in plaque size at 18.1 uM after 1 hr";"F";"BAO_0000219";"cell-based format";"Listeria monocytogenes";"None";"None";"L2";"None";"";"";"";"CHEMBL614974";"Listeria monocytogenes";"Listeria monocytogenes";"ORGANISM";"CHEMBL1629599";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2009";"None";"";"";"";"47.1"
