"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4817815";"F";"Antiviral activity against Marburgvirus Angola infected in African green monkey Vero cells";"Marburgvirus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola";"Scientific Literature";"186537";"";"";"Vero";"";"CHEMBL4814022";"33766766";"10.1016/j.bmcl.2021.127985";"2021";"Bioorg Med Chem Lett";"41";"127985";"127985";"";"";"";"";"";""
"CHEMBL4621297";"F";"Antiviral activity against Marburg virus Lake Victoria, 2005 Angola infected in African green monkey Vero cells";"Lake Victoria marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola2005";"Scientific Literature";"11269";"";"";"Vero";"";"CHEMBL4619772";"32490678";"10.1021/acs.jmedchem.0c00463";"2020";"J Med Chem";"63";"7211";"7225";"";"";"";"";"";""
"CHEMBL5581287";"F";"Selectivity ratio of IC50 for antiviral activity against HIV-based lentiviral pseudotyped Marburgvirus harboring GP I627V mutant infected in HEK293T cells to IC50 for antiviral activity against HIV-based lentiviral pseudotyped Marburgvirus harboring mucin domain deleted GP infected in HEK293T cells";"";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"";"";"";"";"";"CHEMBL5579834";"38889610";"10.1016/j.ejmech.2024.116596";"2024";"Eur J Med Chem";"275";"116596";"116596";"";"";"";"";"";""
"CHEMBL4621285";"F";"Antiviral activity against Marburg virus Lake Victoria, 2005 Angola infected in human HeLa cells pretreated for 1 hr followed by virus infection measured after 24 hrs by Hoechst staining-based immunofluorescence assay";"Lake Victoria marburgvirus";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola2005";"Scientific Literature";"11269";"";"";"HeLa";"";"CHEMBL4619772";"32490678";"10.1021/acs.jmedchem.0c00463";"2020";"J Med Chem";"63";"7211";"7225";"";"";"";"";"";""
"CHEMBL5259488";"F";"Antiviral activity against Marburg virus infected in human HeLa cells assessed as reduction in viral cytopathic effect";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"HeLa";"";"CHEMBL5257097";"37077387";"10.1021/acsmedchemlett.3c00048";"2023";"ACS Med Chem Lett";"14";"506";"513";"";"";"";"";"";""
"CHEMBL5108751";"F";"Potency index, ratio of EC50 of GS-441524 to EC50 of test compound for antiviral activity against MARV Rec. Bat371-GFP infected in human Huh-7 cells assessed as reduction in viral replication incubated for 48 to 144 hrs by fluorescence based assay";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Rec. Bat371-GFP";"Scientific Literature";"186537";"";"";"Huh-7";"";"CHEMBL5107958";"35291757";"10.1021/acsmedchemlett.1c00624";"2022";"ACS Med Chem Lett";"13";"338";"347";"";"";"";"";"";""
"CHEMBL4197819";"F";"Antiviral activity against HIV1 pseudotyped MARV infected in HEK293T cells assessed as reduction in virus induced cytopathic effect by luciferase reporter gene assay";"Marburgvirus";"25";"25";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"";"";"CHEMBL4196047";"29494844";"10.1016/j.ejmech.2018.02.061";"2018";"Eur J Med Chem";"149";"45";"55";"";"";"";"";"";""
"CHEMBL4710532";"F";"Antiviral activity against eGFP-MARV infected in African green monkey Vero E6 cells";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"Vero C1008";"";"CHEMBL4706564";"32905862";"10.1016/j.ejmech.2020.112726";"2020";"Eur J Med Chem";"207";"112726";"112726";"";"";"";"";"";""
"CHEMBL4197834";"F";"Antiviral activity against HIV1 pseudotyped MARV infected in BALB/c mouse at 100 ug, iv and ip measured at day 4 by bioluminescence assay relative to control";"Marburgvirus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"";"";"CHEMBL4196047";"29494844";"10.1016/j.ejmech.2018.02.061";"2018";"Eur J Med Chem";"149";"45";"55";"";"";"";"";"";""
"CHEMBL4670537";"F";"Antiviral activity against pseudotyped Marburgvirus-Angola infected in human A549 cells assessed as reduction in viral infection incubated for 24 hrs by Hoechst staining based fluorescence assay";"Marburgvirus";"18";"18";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola";"Scientific Literature";"186537";"";"";"A549";"";"CHEMBL4665793";"32886512";"10.1021/acs.jmedchem.0c01001";"2020";"J Med Chem";"63";"11085";"11099";"";"";"";"";"";""
"CHEMBL4670543";"F";"Antiviral activity against pseudotyped Marburgvirus-Musoke infected in human A549 cells assessed as reduction in viral infection incubated for 48 hrs by luciferase reporter gene assay";"Marburgvirus";"31";"31";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Musoke";"Scientific Literature";"186537";"";"";"A549";"";"CHEMBL4665793";"32886512";"10.1021/acs.jmedchem.0c01001";"2020";"J Med Chem";"63";"11085";"11099";"";"";"";"";"";""
"CHEMBL4710516";"F";"Antiviral activity against MARV Popp infected in African green monkey Vero cells assessed as inhibition of viral infection by measuring reduction in virus-induced cytotoxicity incubated for 10 days by neutral red dye based colorimetric analysis";"Marburgvirus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Popp";"Scientific Literature";"186537";"";"";"Vero";"";"CHEMBL4706564";"32905862";"10.1016/j.ejmech.2020.112726";"2020";"Eur J Med Chem";"207";"112726";"112726";"";"";"";"";"";""
"CHEMBL5255530";"F";"Antiviral activity against Marburgvirus Angola infected in African green monkey Vero cells";"Marburgvirus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola";"Scientific Literature";"186537";"";"";"Vero";"";"CHEMBL5252611";"36898483";"10.1016/j.bmcl.2023.129219";"2023";"Bioorg Med Chem Lett";"85";"129219";"129219";"";"";"";"";"";""
"CHEMBL5096478";"F";"Antiviral activity against MARV infected in human A549 cells assessed as inhibition of viral growth";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"";"";"CHEMBL5096148";"33352046";"10.1021/acs.jnatprod.0c00968";"2021";"J Nat Prod";"84";"161";"182";"";"";"";"";"";""
"CHEMBL5579646";"F";"Antiviral activity against Marburgvirus Angola infected in human Huh-7 cells assessed as inhibition of viral replication";"Marburgvirus";"5";"5";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola";"Scientific Literature";"186537";"";"";"Huh-7";"";"CHEMBL5576160";"39169825";"10.1021/acs.jmedchem.4c00527";"2024";"J Med Chem";"67";"13737";"13764";"";"";"";"";"";""
"CHEMBL5581284";"F";"Antiviral activity against HIV-based lentiviral pseudotyped Marburgvirus harboring mucin domain deleted GP infected in HEK293T cells assessed as inhibition of viral entry preincubated with virus for 1 hr followed by cell infection and measured after 48 hrs by luminescence assay";"Marburgvirus";"30";"30";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"HEK293T";"";"CHEMBL5579834";"38889610";"10.1016/j.ejmech.2024.116596";"2024";"Eur J Med Chem";"275";"116596";"116596";"";"";"";"";"";""
"CHEMBL5096486";"F";"Antiviral activity against MARV musoke by high-content image analysis";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"musoke";"Scientific Literature";"186537";"";"";"";"";"CHEMBL5096148";"33352046";"10.1021/acs.jnatprod.0c00968";"2021";"J Nat Prod";"84";"161";"182";"";"";"";"";"";""
"CHEMBL5131625";"F";"Antiviral activity against Marburg virus";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"";"";"CHEMBL5131375";"33539089";"10.1021/acs.jmedchem.0c01467";"2022";"J Med Chem";"65";"893";"921";"";"";"";"";"";""
"CHEMBL5131689";"F";"Antiviral activity against MARV infected in human MDM";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"MDM";"";"CHEMBL5131375";"33539089";"10.1021/acs.jmedchem.0c01467";"2022";"J Med Chem";"65";"893";"921";"";"";"";"";"";""
"CHEMBL5579631";"F";"Antiviral activity against pseudotyped Marburgvirus 2005 Lake Victoria Angola assessed as inhibition of viral growth";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"2005 Lake Victoria Angola";"Scientific Literature";"186537";"";"";"";"";"CHEMBL5576160";"39169825";"10.1021/acs.jmedchem.4c00527";"2024";"J Med Chem";"67";"13737";"13764";"";"";"";"";"";""
"CHEMBL5131695";"F";"Antiviral activity against GFP-tagged MARV infected in human Huh-7 cells assessed as inhibition of viral replication";"Marburgvirus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"Huh-7";"";"CHEMBL5131375";"33539089";"10.1021/acs.jmedchem.0c01467";"2022";"J Med Chem";"65";"893";"921";"";"";"";"";"";""
"CHEMBL5579635";"F";"Antiviral activity against pseudotyped Marburgvirus Angola infected in human A549 cells assessed as inhibition of Pseudoviral entry incubated for 40 hrs";"Marburgvirus";"51";"51";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Angola";"Scientific Literature";"186537";"";"";"";"";"CHEMBL5576160";"39169825";"10.1021/acs.jmedchem.4c00527";"2024";"J Med Chem";"67";"13737";"13764";"";"";"";"";"";""
"CHEMBL5096481";"F";"Antiviral activity against Marburg virus";"Marburgvirus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"186537";"";"";"";"";"CHEMBL5096148";"33352046";"10.1021/acs.jnatprod.0c00968";"2021";"J Nat Prod";"84";"161";"182";"";"";"";"";"";""
