"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3753746";"";"None";"341.17";"0";"-0.04";"5a";"Nc1ncc(Br)c2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3757549";"Antiviral activity against Nipah virus";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL3751697";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";""
"CHEMBL3754027";"";"None";"341.17";"0";"-0.04";"5b";"Nc1ncc(Br)c2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3757549";"Antiviral activity against Nipah virus";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL3751697";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";""
"CHEMBL556461";"";"None";"531.42";"1";"4.41";"19";"NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1";"Activity";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"0";"CHEMBL1024585";"Inhibition of Nipah virus-mediated cell fusion infected in african green monkey Vero cells assessed as reduction in virus-induced syncytium formation after 24 hrs relative to control";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"Vero";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL1158450";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307520";"";"";"";""
"CHEMBL214087";"";"None";"224.26";"0";"3.00";"24, OX-1";"Nc1ccc2oc(Cc3ccccc3)nc2c1";"Activity";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"0";"CHEMBL1024585";"Inhibition of Nipah virus-mediated cell fusion infected in african green monkey Vero cells assessed as reduction in virus-induced syncytium formation after 24 hrs relative to control";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"Vero";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL1158450";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307520";"";"";"";""
"CHEMBL2016757";"GS-441524";"1.0";"291.27";"0";"-1.86";"2";"N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O";"EC50";"'='";"2120.0";"nM";"5.67";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5108752";"Antiviral activity against Nipah M1999 infected in human HeLa cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"HeLa";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Time_Lower = 48.0 hrs | Time_Upper = 144.0 hrs";"";"";"2.12"
"CHEMBL5205032";"";"None";"588.56";"2";"2.06";"1; GS-5734";"CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"EC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5108754";"Antiviral activity against Nipah B2004 infected in human NCI-H358 cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Time_Lower = 48.0 hrs | Time_Upper = 144.0 hrs";"";"";"0.032"
"CHEMBL559961";"";"None";"548.44";"2";"5.18";"20";"CCOC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1";"Activity";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"0";"CHEMBL1024585";"Inhibition of Nipah virus-mediated cell fusion infected in african green monkey Vero cells assessed as reduction in virus-induced syncytium formation after 24 hrs relative to control";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"Vero";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL1158450";"1";"Scientific Literature";"J Med Chem";"2009";"CHEMBL3307520";"";"";"";""
"CHEMBL4065616";"REMDESIVIR";"4.0";"602.59";"2";"2.31";"GS-5734; 8b";"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"EC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5230484";"Antiviral activity against NiV by virus titre reduction assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5230088";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"0.029"
"CHEMBL4065616";"REMDESIVIR";"4.0";"602.59";"2";"2.31";"GS-5734; 8b";"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"EC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5230485";"Antiviral activity against NiV by antigen reduction assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5230088";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"0.029"
"CHEMBL5619345";"";"None";"338.34";"0";"-0.06";"11";"CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)cn1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL5616952";"Antiviral activity against Nipah virus upto 100 uM";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5614423";"1";"Scientific Literature";"Bioorg Med Chem";"2024";"None";"DOSE <= 100.0 microM";"";"";""
