"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL5441383";"F";"Functional immunofluorescence assay to measure dose dependent changes in antiviral-drug inhibitory efficacy against hCoV-19/USA-WA1/2020 in iPSC-Pneumocyte cells which are seeded prior to treatment, then infected with hCoV-19/USA-WA1/2020. Cells are fixed with 10 % formaldehyde, washed with PBS, permeabilized with permeabilization buffer, then washed with wash buffer. The cells are incubated with nucleoprotein primary antibody IC7C7. Following primary staining, cells are washed with wash buffer and incubated in a solution of with Alexa fluor 488 and DAPI. Infected and uninfected cells are visualized and analyzed by Gen5 software. The assay has been performed by Icahn School of Medicine at Mount Sinai.";"Homo sapiens";"23";"50";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"AI-driven Structure-enabled Antiviral Platform (ASAP)";"9606";"";"";"Pneumocyte";"";"CHEMBL5441381";"None";"10.6019/CHEMBL5441381";"2024";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL5303712";"F";"Inhibition of SARS-CoV-2-induced cytopathy was measured 4 days after infection of EGFP-labeled Green monkey Vero cells by fluorescence imaging.";"Chlorocebus sabaeus";"134";"134";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"EU-OPENSCREEN";"60711";"";"";"Vero C1008";"";"CHEMBL5303708";"None";"10.6019/EOS300033";"2021";"None";"None";"None";"None";"standard_type:assay_stage standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0000030 | standard_type:bioassay_type standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0000010 | standard_type:assay_design standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0000572 | standard_type:bioassay standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0010056 | standard_type:bioassay_setting standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0020008 | standard_type:assay_format standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0000219 | standard_type:assaysupport standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0000246 | standard_type:detectionmethod standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0000450 | standard_type:detectioninstrument standard_relation:None standard_value:None standard_units:None comments:None | standard_type:bao_tags standard_relation:None standard_value:None standard_units:None comments:http://www.bioassayontology.org/bao#BAO_0010056";"";"";"";"";""
"CHEMBL5324294";"F";"Antiviral activity against SARS-CoV-2 infected in African green monkey assessed as reduction in viral genomic RNA load in throat swabs at 60 to 120 mg/kg, po qd administered for 6 days starting from 8 hrs post infection by RT-qPCR analysis";"Severe acute respiratory syndrome coronavirus 2";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"2697049";"";"";"";"";"CHEMBL5321279";"37596939";"10.1021/acs.jmedchem.3c00750";"2023";"J Med Chem";"66";"11701";"11717";"";"";"";"";"";""
"CHEMBL5319909";"F";"Antiviral activity against SARS-CoV-2 USA-WA1/2020 infected in human A549-ACE2 cells assessed as reduction in viral burden measured upto 4 days by viral plaque assay";"Severe acute respiratory syndrome coronavirus 2";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"USA-WA1/2020";"Scientific Literature";"2697049";"";"";"A549-ACE2";"";"CHEMBL5316342";"36762932";"10.1021/acs.jmedchem.2c01750";"2023";"J Med Chem";"66";"2744";"2760";"";"";"";"";"";""
"CHEMBL5152258";"F";"Antiviral activity against SARS-CoV-2 England/2/2022 assessed as reduction in viral infection";"Severe acute respiratory syndrome coronavirus 2";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"England/2/2022";"Scientific Literature";"2697049";"";"";"";"";"CHEMBL5150012";"34870992";"10.1021/acs.jmedchem.1c01377";"2021";"J Med Chem";"64";"18010";"18024";"";"";"";"";"";""
"CHEMBL5326735";"F";"Antiviral activity against SARS-CoV-2 NRC-03-nhCoV infected in african green monkey Vero E6 cells assessed as inhibition of viral growth pre-infected cells with virus for 1 hr followed by compound addition for 1 hr and measured after 72 hrs by crystal violet staining based analysis";"Severe acute respiratory syndrome coronavirus 2";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"NRC-03-nhCoV";"Scientific Literature";"2697049";"";"";"Vero E6";"";"CHEMBL5325427";"37075625";"10.1016/j.ejmech.2023.115380";"2023";"Eur J Med Chem";"254";"115380";"115380";"";"";"";"";"";""
"CHEMBL5326752";"F";"Antiviral activity against SARS CoV-2 infected in human Caco-2 cells assessed as reduction in INF-alpha expression at 20 ug/ml preincubated with cells for 24 hrs followed by viral infection and measured after 1 to 3 hrs by real-time PCR assay";"Severe acute respiratory syndrome coronavirus 2";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"2697049";"";"";"Caco-2";"";"CHEMBL5325427";"37075625";"10.1016/j.ejmech.2023.115380";"2023";"Eur J Med Chem";"254";"115380";"115380";"";"";"";"";"";""
"CHEMBL5326782";"F";"Antiviral activity against SARS- CoV-2 infected in Vero E6 cells assessed as virucidal activity pretreated with cells for 24 hrs followed by viral infection for 1 hr and measured after 1 hr by plaque assay relative to control";"Severe acute respiratory syndrome coronavirus 2";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"2697049";"";"";"Vero E6";"";"CHEMBL5325427";"37075625";"10.1016/j.ejmech.2023.115380";"2023";"Eur J Med Chem";"254";"115380";"115380";"";"";"";"";"";""
"CHEMBL4303815";"F";"Determination of antiviral efficacy in high-content imaging assay in Vero E6 cells infected with SARS-CoV-2 (USA-WA1/2020 isolate) at MOI 0.75 after 24 hrs";"Chlorocebus sabaeus";"18";"18";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"SARS-CoV-2 Screening Data";"60711";"";"";"Vero C1008";"";"CHEMBL4303082";"None";"10.1101/2020.04.16.044016";"2020";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL4303830";"F";"Reduction of viral replication in SARS-CoV-2 infected Vero E6 cells (at MOI 0.1) after 24 hrs by TCID50 assay";"Chlorocebus sabaeus";"6";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"SARS-CoV-2 Screening Data";"60711";"";"";"Vero C1008";"";"CHEMBL4303087";"None";"10.1101/2020.03.25.008482";"2020";"None";"None";"None";"None";"";"";"";"";"";""
