"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL3832907";"F";"Antibacterial activity against Staphylococcus aureus MRSA ATCC 43300; Growth inhibition at 20 uM in CAMBH media using NBS plates.";"Staphylococcus aureus";"None";"None";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"ATCC 43300; MRSA";"CO-ADD Antimicrobial Screening";"1280";"";"";"";"";"CHEMBL3832881";"None";"10.6019/CHEMBL3832881";"None";"None";"None";"None";"None";"standard_type:ASSAY_TEST standard_relation:None standard_value:None standard_units:None comments:None | standard_type:CONC standard_relation:= standard_value:20.0 standard_units:uM comments:None | standard_type:DETECTION_METHOD standard_relation:None standard_value:None standard_units:None comments:None | standard_type:MEDIA standard_relation:None standard_value:None standard_units:None comments:None | standard_type:PLATE_TYPE standard_relation:None standard_value:None standard_units:None comments:None | standard_type:TIME standard_relation:= standard_value:18.0 standard_units:hr comments:None";"";"";"";"";""
"CHEMBL863819";"F";"Antibacterial activity against Staphylococcus aureus ATCC 29213";"Staphylococcus aureus";"32";"36";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1146952";"16495055";"10.1016/j.bmcl.2006.01.072";"2006";"Bioorg Med Chem Lett";"16";"2177";"2181";"";"";"";"";"";""
"CHEMBL863820";"F";"Antibacterial activity against Staphylococcus aureus ATCC 43300";"Staphylococcus aureus";"32";"32";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1146952";"16495055";"10.1016/j.bmcl.2006.01.072";"2006";"Bioorg Med Chem Lett";"16";"2177";"2181";"";"";"";"";"";""
"CHEMBL971269";"F";"Antibacterial activity against Staphylococcus aureus ATCC 25923 at 100 ug/disk after 18 hrs by agar diffusion method";"Staphylococcus aureus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1154554";"10757736";"10.1021/np990381y";"2000";"J Nat Prod";"63";"416";"418";"";"";"";"";"";""
"CHEMBL882132";"F";"In vitro antibacterial activity of 6538P strain of Gram positive bacteria Staphylococcus aureus";"Staphylococcus aureus";"61";"61";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1131216";"9572891";"10.1021/jm970548p";"1998";"J Med Chem";"41";"1660";"1670";"";"";"";"";"";""
"CHEMBL1004888";"F";"Antimicrobial activity against vancomycin-intermediate Staphylococcus aureus 555 Hershey after 20 passages with quinupristin-dalfopristin measured after 10 antibiotic-free subculture by multi-step resistance selection technique";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"555";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1137665";"17875997";"10.1128/aac.00550-07";"2007";"Antimicrob Agents Chemother";"51";"4191";"4195";"";"";"";"";"";""
"CHEMBL1001599";"F";"Antimicrobial activity against methicillin-susceptible Staphylococcus aureus 540 by agar dilution CLSI method";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"540";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1137665";"17875997";"10.1128/aac.00550-07";"2007";"Antimicrob Agents Chemother";"51";"4191";"4195";"";"";"";"";"";""
"CHEMBL1004890";"F";"Antimicrobial activity against methicillin-susceptible Staphylococcus aureus 540 after 14 passages with CG400549 measured after 10 antibiotic-free subculture by multi-step resistance selection technique";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"540";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1137665";"17875997";"10.1128/aac.00550-07";"2007";"Antimicrob Agents Chemother";"51";"4191";"4195";"";"";"";"";"";""
"CHEMBL974309";"F";"Antibacterial activity against Staphylococcus aureus ATTC 25922 at 10 ug/mL after 24 hrs by the disk diffusion method";"Staphylococcus aureus";"1";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATTC 25922";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1138545";"18508161";"10.1016/j.ejmech.2008.03.025";"2009";"Eur J Med Chem";"44";"551";"557";"";"";"";"";"";""
"CHEMBL1000549";"F";"Antimicrobial activity against panton-valentine leukocidin-negative community-acquired methicillin-resistant Staphylococcus aureus 481 after 14 passages with daptomycin measured after 10 antibiotic-free subculture by multi-step resistance selection technique";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"481";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1137665";"17875997";"10.1128/aac.00550-07";"2007";"Antimicrob Agents Chemother";"51";"4191";"4195";"";"";"";"";"";""
"CHEMBL999695";"F";"Antimicrobial activity against vancomycin-resistant Staphylococcus aureus 510 Hershey by agar dilution CLSI method";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"510";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1137665";"17875997";"10.1128/aac.00550-07";"2007";"Antimicrob Agents Chemother";"51";"4191";"4195";"";"";"";"";"";""
"CHEMBL1662586";"F";"Antimicrobial activity against Panton-valentine leucocidin-positive community-acquired methicillin-resistant Staphylococcus aureus STA 44 infected in human THP-1 cells assessed as bacterial count per mg of cell protein at high extracellular compound concentration after 24 hrs at pH 7.4";"Staphylococcus aureus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"STA 44";"Scientific Literature";"1280";"";"";"THP-1";"";"CHEMBL1649438";"19289525";"10.1128/aac.01135-08";"2009";"Antimicrob Agents Chemother";"53";"2289";"2297";"";"";"";"";"";""
"CHEMBL919811";"F";"Antibacterial activity against ethidium bromide-resistant Staphylococcus aureus ATCC 29213 after 24 hrs by broth microdilution method";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1147099";"17242152";"10.1128/aac.01315-06";"2007";"Antimicrob Agents Chemother";"51";"1259";"1267";"";"";"";"";"";""
"CHEMBL886011";"F";"Antibacterial activity against methicillin-resistant Staphylococcus aureus after 24 hrs";"Staphylococcus aureus";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1143710";"17532639";"10.1016/j.bmc.2007.05.028";"2007";"Bioorg Med Chem";"15";"5158";"5165";"";"";"";"";"";""
"CHEMBL813007";"F";"In vivo effective dose against experimental infections in mice Staphylococcus aureus X1 when administered orally";"Staphylococcus aureus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1280";"";"";"";"";"CHEMBL1124186";"3398001";"10.1021/jm00403a025";"1988";"J Med Chem";"31";"1631";"1641";"";"";"";"";"";""
