"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2397388";"";"None";"293.33";"0";"-0.54";"2a, diastereomeric mixture";"C[C@H](O)C[C@H]1C[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL2400077";"Antiviral activity against Venezuelan equine encephalitis virus";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"None";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL2396569";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";""
"CHEMBL5088695";"";"None";"348.32";"1";"5.01";"9";"COc1ccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c(OC)c1";"EC50";"'='";"3400.0";"nM";"5.47";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5037908";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 strain infected in human U-87 MG cells assessed as reduction in viral infection measured after 18 hrs post infection by Nano luciferase assay relative to control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"U-87 MG";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL5036348";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 18.0 hr";"";"";"3.4"
"CHEMBL5079637";"";"None";"367.17";"1";"5.76";"30";"FC(F)(F)c1ccc2nccc(Nc3ccccc3Br)c2c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5037908";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 strain infected in human U-87 MG cells assessed as reduction in viral infection measured after 18 hrs post infection by Nano luciferase assay relative to control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"U-87 MG";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL5036348";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 18.0 hr";"";"";"10.0"
"CHEMBL5070629";"";"None";"313.28";"0";"4.87";"33";"N#Cc1ccccc1Nc1ccnc2ccc(C(F)(F)F)cc12";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5037908";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 strain infected in human U-87 MG cells assessed as reduction in viral infection measured after 18 hrs post infection by Nano luciferase assay relative to control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"U-87 MG";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL5036348";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 18.0 hr";"";"";"10.0"
"CHEMBL5077924";"";"None";"330.31";"1";"5.20";"36";"CC(=O)c1cccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5037908";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 strain infected in human U-87 MG cells assessed as reduction in viral infection measured after 18 hrs post infection by Nano luciferase assay relative to control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"U-87 MG";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL5036348";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 18.0 hr";"";"";"10.0"
"CHEMBL5076415";"";"None";"346.31";"0";"4.77";"15";"FC(F)(F)c1ccc2nccc(Nc3ccc4c(c3)OCCO4)c2c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5037908";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 strain infected in human U-87 MG cells assessed as reduction in viral infection measured after 18 hrs post infection by Nano luciferase assay relative to control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"U-87 MG";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL5036348";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 18.0 hr";"";"";"10.0"
"CHEMBL5090270";"";"None";"306.26";"1";"5.14";"20";"Fc1cccc(Nc2ccnc3ccc(C(F)(F)F)cc23)c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5037908";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 strain infected in human U-87 MG cells assessed as reduction in viral infection measured after 18 hrs post infection by Nano luciferase assay relative to control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"U-87 MG";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL5036348";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2021";"None";"TIME = 18.0 hr";"";"";"10.0"
"CHEMBL3604365";"";"None";"282.28";"0";"-0.57";"9a";"Nc1nc(F)cc2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3607210";"Antiviral activity against Venezuelan equine encephalitis virus infected in African green monkey Vero cells after 3 days by neutral red dye-based plaque reduction assay";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"Vero";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL3603790";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"CHEMBL3307520";"";"";"";""
"CHEMBL3604366";"";"None";"296.30";"0";"-0.18";"9b";"Nc1nc(F)cc2c1ncn2[C@@H]1C[C@H](CCO)[C@@H](O)[C@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3607210";"Antiviral activity against Venezuelan equine encephalitis virus infected in African green monkey Vero cells after 3 days by neutral red dye-based plaque reduction assay";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"Vero";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL3603790";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"CHEMBL3307520";"";"";"";""
"CHEMBL3344446";"";"None";"459.48";"0";"3.76";"20";"O=c1c2cc([N+](=O)[O-])ccc2nc(CN2CCN(c3ccccc3)CC2)n1-c1ccccc1F";"FC";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3388465";"Antiviral activity against Venezuelan equine encephalitis virus TC83 infected in Vero 76 cells assessed as reduction in viral titer at 5 uM by crystal violet staining based microplaque assay relative to untreated control";"F";"BAO_0000218";"organism-based format";"Venezuelan equine encephalitis virus";"None";"None";"Vero 76";"None";"";"";"";"CHEMBL613726";"Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"ORGANISM";"CHEMBL3352189";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3885981";"";"";"";""
