"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL820805";"F";"Inhibitory activity of compound against Venezuelan equine encephalomyelitis virus (VEE) was evaluated in vitro; Inactive";"Venezuelan equine encephalitis virus";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"";"";"CHEMBL1129515";"8676349";"10.1021/jm9506783";"1996";"J Med Chem";"39";"1130";"1135";"";"";"";"";"";""
"CHEMBL975967";"F";"Antiviral activity against Venezuelan equine encephalomyelitis virus";"Venezuelan equine encephalitis virus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"";"";"CHEMBL1158127";"17190449";"10.1021/np060317y";"2006";"J Nat Prod";"69";"1721";"1727";"";"";"";"";"";""
"CHEMBL862105";"A";"Cytotoxicity against Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"";"";"CHEMBL1148631";"16451078";"10.1021/jm0509750";"2006";"J Med Chem";"49";"1140";"1148";"";"";"";"";"";""
"CHEMBL917359";"F";"Antiviral activity against Venezulean equine encephalitis virus";"Venezuelan equine encephalitis virus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"";"";"CHEMBL1144551";"17085053";"10.1016/j.bmc.2006.10.043";"2007";"Bioorg Med Chem";"15";"839";"846";"";"";"";"";"";""
"CHEMBL3388462";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC83 infected in Vero 76 cells assessed as reduction in virus-induced cytopathic effect after 2 days by Celltiter-Glo reagent based assay";"Venezuelan equine encephalitis virus";"61";"61";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL3388472";"F";"Antiviral activity against Venezuelan equine encephalitis virus TrD infected in Vero 76 cells assessed as reduction in viral titer at 0.5 uM by crystal violet staining based microplaque assay relative to untreated control";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TrD";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL3388473";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC83 infected in Vero 76 cells assessed as reduction in viral titer by crystal violet staining based microplaque assay relative to untreated control";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL4817833";"F";"Antiviral activity against Venezuelan equine encephalitis virus infected in African green monkey Vero 76 cells";"Venezuelan equine encephalitis virus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL4814022";"33766766";"10.1016/j.bmcl.2021.127985";"2021";"Bioorg Med Chem Lett";"41";"127985";"127985";"";"";"";"";"";""
"CHEMBL3381198";"F";"Resistance index, ratio of EC50 for Venezuelan equine encephalitis virus TC83 containing non-structural protein 4 Q210K mutant to EC50 for wild type Venezuelan equine encephalitis virus TC83";"Venezuelan equine encephalitis virus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL862038";"F";"Antiviral activity against Venezuelan equine encephalitis virus";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"";"";"CHEMBL1148631";"16451078";"10.1021/jm0509750";"2006";"J Med Chem";"49";"1140";"1148";"";"";"";"";"";""
"CHEMBL1012921";"F";"Antiviral activity against Venezuelan equine encephalomyelitis virus infected in african green monkey Vero cells assessed as plaque reduction at 0.05 ug/mL";"Venezuelan equine encephalitis virus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"Vero";"";"CHEMBL1137794";"3373220";"10.1021/np50055a001";"1988";"J Nat Prod";"51";"1";"21";"";"";"";"";"";""
"CHEMBL4731361";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 infected in human BE(2)-M17 cells pretreated with compound for 2 hrs followed by viral infection at MOI of 1.2 and measured after 7 hrs by immunostaining based confocal microscopic analysis";"Venezuelan equine encephalitis virus";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"strain TC-83";"Scientific Literature";"11036";"";"";"SK-N-BE(2)-M17";"";"CHEMBL4725463";"33214821";"10.1021/acsmedchemlett.0c00215";"2020";"ACS Med Chem Lett";"11";"2139";"2145";"";"";"";"";"";""
"CHEMBL3381193";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC83 containing non-structural protein 4 Q210K mutant infected in Vero 76 cells assessed as reduction in virus-induced cytopathic effect after 2 days by Celltiter-Glo reagent based assay";"Venezuelan equine encephalitis virus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL3381197";"F";"Resistance index, ratio of EC50 for Venezuelan equine encephalitis virus TC83 containing non-structural protein 2 D116N mutant to EC50 for wild type Venezuelan equine encephalitis virus TC83";"Venezuelan equine encephalitis virus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL4731359";"F";"Antiviral activity against Venezuelan equine encephalitis virus IC-SH3 infected in HeLa cells pretreated with compound for 2 hrs followed by viral infection at MOI of 0.1 and measured after 20 hrs by immunostaining based confocal microscopic analysis";"Venezuelan equine encephalitis virus";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"IC-SH3";"Scientific Literature";"11036";"";"";"HeLa";"";"CHEMBL4725463";"33214821";"10.1021/acsmedchemlett.0c00215";"2020";"ACS Med Chem Lett";"11";"2139";"2145";"";"";"";"";"";""
"CHEMBL4731366";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 infected in mouse cortical neurons at MOI of 0.04 after 20 hrs by immunostaining based confocal microscopic analysis";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"strain TC-83";"Scientific Literature";"11036";"";"";"Cortical neuron";"";"CHEMBL4725463";"33214821";"10.1021/acsmedchemlett.0c00215";"2020";"ACS Med Chem Lett";"11";"2139";"2145";"";"";"";"";"";""
"CHEMBL820806";"F";"In vitro antiviral activity was tested against venezuelan equine encephalomyelitis (VEE)";"Venezuelan equine encephalitis virus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"";"";"CHEMBL1123027";"2993613";"10.1021/jm00147a013";"1985";"J Med Chem";"28";"1198";"1203";"";"";"";"";"";""
"CHEMBL3388466";"F";"Antiviral activity against Venezuelan equine encephalitis virus V3526 infected in Vero 76 cells assessed as reduction in virus-induced cytopathic effect after 2 days by Celltiter-Glo reagent based assay";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"V3526";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL5038558";"F";"Antiviral activity against Venezuelan equine encephalitis virus infected in African green monkey Vero 76 cells assessed as virus induced cytopathic effect measured after 48 hrs";"Venezuelan equine encephalitis virus";"19";"19";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL5036385";"35450382";"10.1021/acsmedchemlett.1c00539";"2022";"ACS Med Chem Lett";"13";"546";"553";"";"";"";"";"";""
"CHEMBL3388469";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC83 infected in Vero 76 cells assessed as reduction in viral titer at 0.5 uM by crystal violet staining based microplaque assay relative to untreated control";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL4835610";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC83 infected in Asian tiger mosquito C6/36 cells assessed as reduction in virus titer in cell supernatant by measuring inhibition of plaque formation using Vero cells and measured following infection of supernatants with Vero cells for 48 hrs pi by serial dilution plaque based methylene blue dye analysis";"Venezuelan equine encephalitis virus";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"C6";"";"CHEMBL4834424";"33835811";"10.1021/acs.jmedchem.0c02183";"2021";"J Med Chem";"64";"4762";"4786";"";"";"";"";"";""
"CHEMBL5366318";"F";"Antiviral activity against Venezuelan equine encephalitis virus infected in human MRC5 cells assessed as virus induced cell death at 100 uM relative to control";"Venezuelan equine encephalitis virus";"45";"45";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"MRC5";"";"CHEMBL5365426";"37591319";"10.1016/j.bmcl.2023.129432";"2023";"Bioorg Med Chem Lett";"94";"129432";"129432";"";"";"";"";"";""
"CHEMBL3398857";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC-83 vaccine infected in HEK293 cells assessed as reduction of viral titer at 25 uM by plaque reduction assay relative to untreated control";"Venezuelan equine encephalitis virus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC-83 vaccine";"Scientific Literature";"11036";"";"";"HEK293";"";"CHEMBL3396967";"25740634";"10.1016/j.bmc.2015.01.054";"2015";"Bioorg Med Chem";"23";"1569";"1587";"";"";"";"";"";""
"CHEMBL1012925";"F";"Antiviral activity against Venezuelan equine encephalomyelitis virus infected in african green monkey Vero cells assessed as plaque reduction at 250 ug/mL";"Venezuelan equine encephalitis virus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"11036";"";"";"Vero";"";"CHEMBL1137794";"3373220";"10.1021/np50055a001";"1988";"J Nat Prod";"51";"1";"21";"";"";"";"";"";""
"CHEMBL3381194";"F";"Antiviral activity against Venezuelan equine encephalitis virus V3526 containing non-structural protein 2 Y102C mutant infected in Vero 76 cells assessed as reduction in virus-induced cytopathic effect after 2 days by Celltiter-Glo reagent based assay";"Venezuelan equine encephalitis virus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"V3526";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL3388468";"F";"Antiviral activity against Venezuelan equine encephalitis virus TC83 infected in Vero 76 cells assessed as reduction in viral titer at 1 uM by crystal violet staining based microplaque assay relative to untreated control";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TC83";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL3388471";"F";"Antiviral activity against Venezuelan equine encephalitis virus TrD infected in Vero 76 cells assessed as reduction in viral titer at 1 uM by crystal violet staining based microplaque assay relative to untreated control";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TrD";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
"CHEMBL3388470";"F";"Antiviral activity against Venezuelan equine encephalitis virus TrD infected in Vero 76 cells assessed as reduction in viral titer at 5 uM by crystal violet staining based microplaque assay relative to untreated control";"Venezuelan equine encephalitis virus";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"TrD";"Scientific Literature";"11036";"";"";"Vero 76";"";"CHEMBL3352189";"25244572";"10.1021/jm501203v";"2014";"J Med Chem";"57";"8608";"8621";"";"";"";"";"";""
