PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103222736,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Unspecified,,,,MIC,=,3.1,ug.mL-1
2,103564273,54724181,C1=CC=C(C=C1)CN2C=CC(=CC2=O)O,Unspecified,,,,MIC,>,80,ug.mL-1
3,103564275,54736914,COC1=CC=C(C=C1)CN2C=CC(=CC2=O)O,Unspecified,,,,MIC,>,80,ug.mL-1
4,103564648,44449500,C1=CC(=C(C=C1Cl)Cl)OC2=[N+](C=C(C=C2)Cl)[O-],Unspecified,,,,MIC,>,100,ug.mL-1
5,103564691,44449526,COC1=CC=C(C(=O)N1)OC2=C(C=C(C=C2)Cl)Cl,Unspecified,,,,MIC,>,100,ug.mL-1
6,103564692,44449527,COC1=[N+](C=C(C=C1)OC2=CC=CC=C2Cl)[O-],Unspecified,,,,MIC,>,100,ug.mL-1
7,103564694,25167902,C1=CC=C(C=C1)CC2=CC=C(NC2=O)OCC3=CC=CC=C3,Unspecified,,,,MIC,>,100,ug.mL-1
8,103564695,44449528,COC1=CC=C(C(=O)N1)OC2=CC=CC=C2Cl,Unspecified,,,,MIC,>,100,ug.mL-1
9,103564696,44449529,CCOC(=O)C1=NOC(=C1)CN2C=CC(=CC2=O)OCC3=CC=CC=C3,Unspecified,,,,MIC,>,100,ug.mL-1
10,103564748,44449559,CC(=O)NC1=CC(=C(C=C1)CN2C=CC(=CC2=O)OCC3=CC=CC=C3)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
11,103564749,44449560,C#CCN1C=CC(=CC1=O)OCC2=CC=CC=C2,Unspecified,,,,MIC,>,100,ug.mL-1
12,103564750,25167901,C1=CC=C(C=C1)COC2=CC(=O)N(C=C2)CC3=C(C=C(C=C3)N)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
13,103564752,44449562,C1=CC=C(C=C1)COC2=CC(=O)N(C=C2)CC3=C(C=C(C=C3)[N+](=O)[O-])Cl,Unspecified,,,,MIC,>,80,ug.mL-1
14,103564805,44449593,C1=CC=C(C=C1)COC2=CC(=O)N(C=C2)CC3=C(C=C(C=C3)C(=O)O)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
15,103564807,44449594,C1=CC=C(C=C1)COC2=CC(=O)N(C=C2)CC3=C(C=C(C=C3)C#N)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
16,103564808,44449595,C1=CC=C(C=C1)COC2=CC(=O)N(C=C2)CC3=C(C=C(C=C3)C(=O)N)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
17,103564863,44449629,C1=CC=C(C(=C1)CN2C=CC(=CC2=O)OCCCN3C4=CC=CC=C4N=N3)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
18,103564864,44449630,C1=CC=C(C(=C1)CN2C=CC(=CC2=O)OCCCN3C=CN=C3)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
19,103564865,44449631,C1=CC=C2C(=C1)C=CN2CCCOC3=CC(=O)N(C=C3)CC4=CC=CC=C4Cl,Unspecified,,,,MIC,>,80,ug.mL-1
20,103564908,44449659,C1=CC=C(C=C1)CN2C=CC(=CC2=O)OCCCN3C4=CC=CC=C4C5=CC=CC=C53,Unspecified,,,,MIC,>,80,ug.mL-1
21,103564909,44449660,C1=CC=C(C(=C1)CN2C=CC(=CC2=O)OCCCN3C4=CC=CC=C4C5=CC=CC=C53)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
22,103564910,44449661,COC1=CC=C(C=C1)CN2C=CC(=CC2=O)OCCCN3C4=CC=CC=C4C5=CC=CC=C53,Unspecified,,,,MIC,>,80,ug.mL-1
23,103564912,44449663,C1=CC=C2C=C(C=CC2=C1)COC3=CC(=O)N(C=C3)CC4=CC=CC=C4Cl,Unspecified,,,,MIC,>,80,ug.mL-1
24,103564958,44449699,C1=CC=C2C(=C1)C=CC=C2COC3=CC(=O)N(C=C3)CC4=CC=CC=C4Cl,Unspecified,,,,MIC,>,80,ug.mL-1
25,103564960,44449701,C1=CC=C(C(=C1)CN2C=CC(=CC2=O)OCC3=CC=C(C=C3)C#N)Cl,Unspecified,,,,MIC,>,80,ug.mL-1
26,103565012,16046253,C1=CC=C(C=C1)COC2=CC(=O)N(C=C2)CC3=CC=CC=C3Cl,Unspecified,,,,MIC,=,16,ug.mL-1
27,103565015,54734085,C1=CC(=CC=C1CN2C=CC(=CC2=O)O)O,Unspecified,,,,MIC,>,80,ug.mL-1
28,103565016,10193032,C1=CC=C(C=C1)CN2C=CC(=CC2=O)OCC3=CC=CC=C3,Unspecified,,,,MIC,>,80,ug.mL-1
