PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Additional comments
1,103680707,45267084,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4CCCC4)CC5=CN=C(N=C5N)N,Unspecified,,,,Ratio IC50,>,110,
2,103682414,45267934,CCCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)O)OC,Unspecified,,,,Ratio IC50,=,2037,
3,103682421,45267939,CCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Unspecified,,,,Ratio IC50,>,281,
4,103684117,45268817,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=CC=C4)CC5=CN=C(N=C5N)N,Unspecified,,,,Ratio IC50,>,348,
5,103685872,45269661,CCCCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Unspecified,,,,Ratio IC50,>,118,
6,103685880,45269665,COC1=CC(=CC(=C1O)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=C(C=C4)CO)CC5=CN=C(N=C5N)N,Unspecified,,,,Ratio IC50,>,348,
7,103687683,45270497,CC1C2=CC=CC=C2C=NN1C(=O)CCC3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Unspecified,,,,Ratio IC50,>,304,
8,103687695,45270501,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4CCCCC4)CC5=CN=C(N=C5N)N,Unspecified,,,,Ratio IC50,>,73,
9,103687701,45270504,COC1=CC(=CC(=C1OCCN2CCOCC2)/C=C/C(=O)N3C(C4=CC=CC=C4C=N3)C5=CC=CC=C5)CC6=CN=C(N=C6N)N,Unspecified,,,,Ratio IC50,>,124,
10,103689369,45271328,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)CCCO)CC4=CN=C(N=C4N)N,Unspecified,,,,Ratio IC50,>,208,
11,103689371,45271331,CC1=CC=C(C=C1)C2C3=CC=CC=C3C=NN2C(=O)/C=C/C4=C(C(=CC(=C4)CC5=CN=C(N=C5N)N)OC)OC,Unspecified,,,,Ratio IC50,>,127,
12,103689372,45271332,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CN=C(N=C4OC)OC)CC5=CN=C(N=C5N)N,Unspecified,,,,Ratio IC50,>,37,
13,103691111,45272213,CC(C)(C1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC)C(=O)OC,Unspecified,,,,Ratio IC50,=,2710,
14,103692920,17897164,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2CC3=CC=CC=C3C=N2)CC4=CN=C(N=C4N)N,Inconclusive,,,Potential missing data,Ratio IC50,,,Not Determined
15,103692936,45273072,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=C(C=C4)CO)CC5=CN=C(N=C5N)N,Unspecified,,,,Ratio IC50,>,237,
16,103692937,45273073,CN(C)CC1=CC=CC=C1C2C3=CC=CC=C3C=NN2C(=O)/C=C/C4=C(C(=CC(=C4)CC5=CN=C(N=C5N)N)OC)OC,Unspecified,,,,Ratio IC50,>,105,
