PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Intensity_A,Intensity_B,Z-score_A,Z-score_B,Auto-fluorescent
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Total fluorescence intensity for replicate A,Total fluorescence intensity for replicate B,"Z-score for replicate A, calculated using experimental well plate average FI and standard deviation","Z-score for replicate B, calculated using experimental well plate average FI and standard deviation","Indicates whether a compound was considered auto-fluorescent (AF), based on the well total fluorescence intensity"
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,
1,92192484,3239485,CCCCOC1=C2C(=C(C=C1)OCCCC)NC3(N2)C4=CC=CC=C4N(C3=O)C(=O)C,Inactive,0,,,1.64122e+06,2.2492e+06,-0.33,-0.68,
2,92192485,739336,C1CCN(C1)CCNS(=O)(=O)C2=CC=CC3=NSN=C32,Inactive,0,,,1.63347e+06,2.2478e+06,-0.38,-0.69,
3,92192486,5185806,COC1=CC=CC(=C1)C(=O)N(CCCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O)C5=CC=CC=C5,Inactive,0,,,2.19361e+06,2.85933e+06,3.29,3.09,
4,92192487,281156,C1COC2(O1)C3=CC=CC=C3NC2=O,Inactive,0,,,1.63375e+06,2.25329e+06,-0.38,-0.65,
5,92192488,633301,CC1(CC2=C(C(C3=C(O2)CC(CC3=O)(C)C)C4=CC=C(C=C4)OC)C(=O)C1)C,Inactive,2,,,1.56028e+06,2.27293e+06,-0.86,-0.53,
6,92192489,3277723,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)C(=O)NC4=CC(=CC=C4)Br)[N+](=O)[O-],Inactive,0,,,1.63198e+06,2.26079e+06,-0.39,-0.61,
7,92192490,818753,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)O,Inactive,0,,,1.70623e+06,2.39426e+06,0.09,0.22,
8,92192491,80525,C1=CC=C2C(=C1)N=C(S2)SCC(=O)O,Inactive,0,,,1.69812e+06,2.38106e+06,0.04,0.14,
9,92192492,135495446,CCOC1=CC=C(C=C1)CC2C(=O)N/C(=N/C3=CC=CC=N3)/S2,Inactive,0,,,1.68597e+06,2.36162e+06,-0.04,0.02,
10,92192493,1736082,CCCCOC1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2)O)C3=NC4=CC=CC=C4S3,Inactive,0,,,1.70189e+06,2.4056e+06,0.07,0.29,
11,92192494,2865915,CCOC1=CC=C(C=C1)N(CC(=O)NCCSC2=CC=CC=N2)S(=O)(=O)C3=CC=C(C=C3)SC,Inactive,0,,,1.64858e+06,2.35465e+06,-0.28,-0.03,
12,92192495,5342354,C1=CC=C2C(=C1)C(=O)C3=CC=CC(=C3C2=O)C4=CC=C(O4)/C=C/5\C(=O)N(C(=S)S5)CC(=O)O,Inactive,0,,,1.65066e+06,2.34477e+06,-0.27,-0.09,
13,92192496,3140654,COC1=CC2=C(C=C1)OC=C2C(=O)C3=C(C4=CC=CC=C4O3)N,Inactive,0,,,2.29774e+06,2.9597e+06,3.98,3.71,
14,92192497,5027239,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC=C3CCN4C(=O)C5=C(C4=O)C(=CC=C5)[N+](=O)[O-],Inactive,0,,,1.65559e+06,2.35437e+06,-0.24,-0.03,
15,92192498,6737448,C1=CC=C2C(=C1)N=C3C4=C(C=CC(=C4)OC(F)(F)F)N(C3=N2)CC5=CC=CC=N5,Inactive,0,,,1.66966e+06,2.58791e+06,-0.15,1.41,
16,92192499,998055,CC1=CC(=CC=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC(=CC(=N3)C)C,Inactive,0,,,1.68988e+06,2.36862e+06,-0.01,0.06,
17,92192500,4680187,CCCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=C4C(=C(C=C3)O)C(=O)C5=CC=CC=C5C4=O,Inactive,0,,,1.70671e+06,2.39658e+06,0.1,0.23,
18,92192501,2245837,CCOC1=CC=C(C=C1)N2C(=O)/C(=C\C3=C(C=CC(=C3)Br)OC)/C(=O)NC2=O,Inactive,0,,,1.70953e+06,2.40588e+06,0.12,0.29,
19,92192502,1042891,C1=CC2=NSN=C2C(=C1)S(=O)(=O)NC3=C(C=C(C=C3)Br)C(=O)O,Inactive,23,,,1.24618e+06,1.93327e+06,-2.93,-2.63,
