PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active,,,,0.48,Ki,=,480,nM
2,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active,,,,3.78,IC50,=,3780,nM
3,103508777,16110337,CC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.049,Ki,=,49,nM
4,103508777,16110337,CC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.389,IC50,=,389,nM
5,103508787,16110326,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.17,Ki,=,170,nM
6,103508787,16110326,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,1.33,IC50,=,1330,nM
7,103508802,16110328,CC1=C(C(=NC(=N1)N)N)C#CC(C2=CC(=C(C(=C2)OC)OC)OC)O,Active,,,,0.39,Ki,=,390,nM
8,103508802,16110328,CC1=C(C(=NC(=N1)N)N)C#CC(C2=CC(=C(C(=C2)OC)OC)OC)O,Active,,,,3.07,IC50,=,3070,nM
9,103508820,16110341,CC1=C(C(=NC(=N1)N)N)C#CC(C2=CC(=C(C(=C2)OC)OC)OC)OC,Active,,,,2,Ki,=,2000,nM
10,103508820,16110341,CC1=C(C(=NC(=N1)N)N)C#CC(C2=CC(=C(C(=C2)OC)OC)OC)OC,Unspecified,,,,15.8,IC50,=,15800,nM
11,103647012,25093361,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=CC(=C2)C3=CC=CC=C3)OC,Active,,,,1.03,Ki,=,1030,nM
12,103647012,25093361,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=CC(=C2)C3=CC=CC=C3)OC,Active,,,,8.09,IC50,=,8090,nM
13,103647076,25093365,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=C(C=C2)C3=CC=CC=C3)OC,Active,,,,1.6,Ki,=,1600,nM
14,103647076,25093365,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=C(C=C2)C3=CC=CC=C3)OC,Unspecified,,,,12.6,IC50,=,12600,nM
15,103648036,25138223,CC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,0.2,Ki,=,200,nM
16,103648036,25138223,CC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,1.6,IC50,=,1600,nM
17,103648037,25058133,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,0.69,Ki,=,690,nM
18,103648037,25058133,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,5.47,IC50,=,5470,nM
19,103648039,25138225,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.064,Ki,=,64,nM
20,103648039,25138225,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.502,IC50,=,502,nM
21,103695194,25187895,CCC(C#CC1=C(N=C(N=C1N)N)C)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,1.19,Ki,=,1190,nM
22,103695194,25187895,CCC(C#CC1=C(N=C(N=C1N)N)C)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,9.4,IC50,=,9400,nM
23,104246558,25187896,CC1=C(C(=NC(=N1)N)N)C#CC(C)(C)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,2.94,Ki,=,2940,nM
24,104246558,25187896,CC1=C(C(=NC(=N1)N)N)C#CC(C)(C)C2=CC(=C(C(=C2)OC)OC)OC,Unspecified,,,,23.2,IC50,=,23200,nM
25,123084061,49788717,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)C3=CC=CC=C3,Active,,,,0.43,Ki,=,430,nM
26,123084061,49788717,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)C3=CC=CC=C3,Active,,,,3.4,IC50,=,3400,nM
27,123088460,52943277,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=C(C=C(C=C2)C3=CC=CC=C3)OC,Active,,,,1.64,Ki,=,1640,nM
28,123088460,52943277,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=C(C=C(C=C2)C3=CC=CC=C3)OC,Unspecified,,,,12.9,IC50,=,12900,nM
29,123090756,52944456,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=C(C=C(C(=C2)OC)C3=CC=CC=C3)OC,Active,,,,1.83,Ki,=,1830,nM
30,123090756,52944456,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=C(C=C(C(=C2)OC)C3=CC=CC=C3)OC,Unspecified,,,,14.4,IC50,=,14400,nM
31,123090878,49788718,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=CC(=C2)OC)C3=CC=CC=C3,Active,,,,0.097,Ki,=,97,nM
32,123090878,49788718,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=CC(=C2)OC)C3=CC=CC=C3,Active,,,,0.765,IC50,=,765,nM
33,123097764,52948202,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=CC=C2)C3=CC=CC=C3,Active,,,,0.083,Ki,=,83,nM
34,123097764,52948202,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=CC=C2)C3=CC=CC=C3,Active,,,,0.655,IC50,=,655,nM
35,123100173,52949513,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)C3=CC=CC=C3)OC,Active,,,,0.23,Ki,=,230,nM
36,123100173,52949513,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)C3=CC=CC=C3)OC,Active,,,,1.78,IC50,=,1780,nM
