PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent Inhibition of substrate cleavage in the presence of 10 microM test compound
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,858285,659625,CC1=CC2=C(C=C1)NC3=C2CN(CC3)C(=O)CN4CCSCC4,Active,61,,,61.5
2,859522,660818,C1CCC(CC1)NC(=O)N2CCC3=C(C2)C4=CC=CC=C4N3,Active,37,,,36.5
3,856002,3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Active,33,,,33.2
4,24796077,2985490,CCOCC(=O)NC1=CC=CC=C1C(=O)N2CCOCC2,Active,32,,,32.5
5,26659296,2015650,CS(=O)(=O)OC1=CC2=C(C=C1)C(=O)/C(=C/C=C/C3=CC=CC=C3)/O2,Inactive,27,,,26.9
6,849283,651760,CN1C2=C(CN(CN2)CCC3=CC(=C(C=C3)OC)OC)C(=O)N(C1=O)C,Inactive,22,,,22.1
7,855695,298107,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,20,,,19.8
8,26663016,5388983,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,Inactive,16,,,16.1
9,24797278,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Inactive,15,,,14.6
10,24824042,300241,COC1=CC=CC2=C1OC3=CC=CC=C3C2=O,Inactive,13,,,12.6
11,855880,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,Inactive,12,,,12.2
12,24786178,16188981,CC(C)[C@H]1CN(CCN1CC2=CN(N=C2C3=CC(=CC=C3)Cl)C)C,Inactive,12,,,12
13,26671445,16682709,CC(CC1=CC=CC=C1)NCC(=O)NC2=CC(=NC3=CC=CC=C32)N(C)C.C(=O)(C(=O)O)O,Inactive,12,,,11.6
14,4265458,5417112,CC1=C(C(=CC2=C1OC(=O)C=C2C3=CC=C(C=C3)OC)CN(C)C)O,Inactive,11,,,11.3
15,8139906,6238,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,Inactive,11,,,11.2
16,14736580,973360,CC1=C(C=C(C=C1)C(=O)NC2=C(C=C(C=C2)O)C(=O)O)C,Inactive,10,,,10.3
17,24786681,2886887,COC1=C(C=C(C=C1)C2CC(=NN2C(=O)C3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-])OC,Inactive,10,,,10.2
18,8139897,3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,Inactive,10,,,10
19,26659949,16681999,CC1=NC2(CCCCC2)CC3=CC(=C(C=C13)OC)OC.C1=CC=C(C(=C1)C(=O)O)O,Inactive,10,,,9.8
20,24811172,4604090,CC1=CC=C(C=C1)C2C(=C(C(=O)O2)O)C(=O)C,Inactive,10,,,9.7
21,24809515,2871809,CC1(CC(CCO1)NCC2=CC=CC=C2)C.Cl,Inactive,9,,,9.4
22,7976307,2838744,CC1=CC2=C(C=C1)N3CCCNC4C3=C2CCC4,Inactive,9,,,9.2
23,26660122,4526920,CC1(CC(CCO1)(CCN=CC2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)OC)C,Inactive,9,,,9.1
24,24780054,16187213,CCOC(=O)C1(CCCN(C1)C2CCN(CC2)C(=O)C)CC3=CC(=CC=C3)Cl,Inactive,9,,,9.1
25,24795613,2986788,CC(C)CC(=O)N(CC1=CC=C(C=C1)F)C2CCS(=O)(=O)C2,Inactive,9,,,8.9
26,14730560,5662,C1CCC(C(C1)N2CCC(CC2)C3=CC=CC=C3)O,Inactive,9,,,8.9
27,24819327,4559992,COC1=C(C=C(C=C1)C2C3=C(CC(N2)C(=O)O)C4=CC=CC=C4N3)CN5CCN(CC5)C6=CC=C(C=C6)F,Inactive,9,,,8.8
28,855529,3025,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,Inactive,8,,,8.5
29,24809559,819946,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)F)C=O,Inactive,8,,,8.3
30,24796046,2987342,CC(C)(C)C(=O)NC(=S)NNC(=O)C1=CC=NC=C1,Inactive,8,,,8.3
31,49731996,5282408,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=C/C(=O)O)\C(=O)O,Inactive,8,,,8
