PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ACTIVITY_QUALIFIER,IC_50_MICROM,SCORE,Panel ID,Panel Name
RESULT_TYPE,,,,,,,,STRING,FLOAT,INTEGER,INTEGER,STRING
RESULT_DESCR,,,,,,,,Qualifier for the value of IC50,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,,,
1,134964690,702952,C1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active,2,,,=,0.5,1,1,BoNT/ALC
2,134964690,702952,C1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active,2,,,>,20,20,2,LF
3,134964698,564008,C1C(N(N=C1C2=CC=C(C=C2)[N+](=O)[O-])C3=CC=CC=C3)C4=CC=CO4,Inactive,1,,,>,20,20,1,BoNT/ALC
4,134964698,564008,C1C(N(N=C1C2=CC=C(C=C2)[N+](=O)[O-])C3=CC=CC=C3)C4=CC=CO4,Active,1,,,>,20,20,2,LF
5,134964700,1329560,C1CCN(CC1)C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Active,2,,,=,1.2,2,1,BoNT/ALC
6,134964700,1329560,C1CCN(CC1)C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Active,2,,,>,20,20,2,LF
7,134964704,2865835,COC1=CC=CC=C1N2C(CC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,2,,,=,0.2,1,1,BoNT/ALC
8,134964704,2865835,COC1=CC=CC=C1N2C(CC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,2,,,>,20,20,2,LF
9,134964719,2827281,C1C(N(N=C1C2=CC=CC=C2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,2,,,=,1,1,1,BoNT/ALC
10,134964719,2827281,C1C(N(N=C1C2=CC=CC=C2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active,2,,,>,20,20,2,LF
11,134964725,3297919,C1=CC=C(C=C1)C2=NC3=NC(=CN3N=C2C4=CC=CC=C4)C5=CC=C(C=C5)Cl,Active,1,,,=,0.7,1,1,BoNT/ALC
12,134964725,3297919,C1=CC=C(C=C1)C2=NC3=NC(=CN3N=C2C4=CC=CC=C4)C5=CC=C(C=C5)Cl,Inactive,1,,,=,0.3,1,2,LF
13,134964731,5056211,COC1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active,1,,,=,0.5,1,1,BoNT/ALC
14,134964731,5056211,COC1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,1,,,=,4.9,5,2,LF
15,134964734,1255814,CC1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active,1,,,=,0.3,1,1,BoNT/ALC
16,134964734,1255814,CC1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Inactive,1,,,=,1.44,2,2,LF
17,135383771,2214213,C1COCCN1C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Inactive,1,,,>,20,20,1,BoNT/ALC
18,135383771,2214213,C1COCCN1C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Active,1,,,>,20,20,2,LF
19,135383772,1299052,C1CC1NC(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Inactive,1,,,>,20,20,1,BoNT/ALC
20,135383772,1299052,C1CC1NC(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CS4)C5=CC=CS5,Inactive,1,,,=,0.2,1,2,LF
21,135383773,2858748,CC1=C(SC(=N1)N2C(CC(=N2)C3=CC=CS3)C4=CC(=C(C=C4)OC)OC)C(=O)C.Cl,Active,2,,,=,1.3,2,1,BoNT/ALC
22,135383773,2858748,CC1=C(SC(=N1)N2C(CC(=N2)C3=CC=CS3)C4=CC(=C(C=C4)OC)OC)C(=O)C.Cl,Active,2,,,>,20,20,2,LF
