PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,160670340,66559883,COC1=CC=C(C=C1)OS(=O)(=O)NC(=O)CCCCCCCCC=C,Active,,,Potential missing data,Inhibition,%,Active
2,160675660,70684776,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC2=C(C=C1)C(=CO2)OS(=O)(=O)N,Active,,,Potential missing data,Inhibition,%,Active
3,160675661,66559709,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)OC,Active,,,Potential missing data,Inhibition,%,Active
4,160675662,66559888,C1=CC=C(C=C1)C2=CC=C(C=C2)/C=C/C(=O)NS(=O)(=O)OC3=CC=CC=C3,Active,,,Potential missing data,Inhibition,%,Active
5,160681000,66559885,C1=CC=C(C=C1)CCCCCCCC(=O)NS(=O)(=O)OC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
6,160681001,46213586,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)Cl,Active,,,Potential missing data,Inhibition,%,Active
7,160681002,46213587,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)C,Active,,,Potential missing data,Inhibition,%,Active
8,160681003,66559800,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)CCNC(=O)OC(C)(C)C,Active,,,Potential missing data,Inhibition,%,Active
9,160686311,66559803,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC2=C(C=C1)N=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
10,160686312,66559882,CCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)OC,Active,,,Potential missing data,Inhibition,%,Active
11,160686313,66559706,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=CC=C1,Active,,,Potential missing data,Inhibition,%,Active
12,160686314,66559707,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC(=CC=C1)Cl,Active,,,Potential missing data,Inhibition,%,Active
13,160686315,66559619,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1CCCC1,Active,,,Potential missing data,Inhibition,%,Active
14,160691788,66559708,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC(=C(C=C1)Cl)Cl,Active,,,Potential missing data,Inhibition,%,Active
15,160691789,66559710,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)CC(=O)OC,Active,,,Potential missing data,Inhibition,%,Active
16,160691790,66559711,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)C(=O)OCC,Active,,,Potential missing data,Inhibition,%,Active
17,160697204,66559884,C1=CC=C(C=C1)CCCCCCCCCCC(=O)NS(=O)(=O)OC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
18,160697205,66559622,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1CCOCC1,Active,,,Potential missing data,Inhibition,%,Active
19,160697206,66559624,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1CCN(CC1)C(=O)OC(C)(C)C,Active,,,Potential missing data,Inhibition,%,Active
20,160697207,66559801,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
21,160697208,66559621,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1CCCCC1,Active,,,Potential missing data,Inhibition,%,Active
22,160702595,66559623,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1CCNCC1,Active,,,Potential missing data,Inhibition,%,Active
23,160702596,66559620,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1CCOC1,Active,,,Potential missing data,Inhibition,%,Active
24,160702597,66559887,C1=CC=C(C=C1)CCCCCC(=O)NS(=O)(=O)OC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
25,160707826,66559802,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC2=C(C=C1)OCO2,Active,,,Potential missing data,Inhibition,%,Active
26,160707827,66559886,C1=CC=C(C=C1)CCCCCCC(=O)NS(=O)(=O)OC2=CC=CC=C2,Active,,,Potential missing data,Inhibition,%,Active
27,160707828,66559799,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC1=CC=C(C=C1)CCN,Active,,,Potential missing data,Inhibition,%,Active
28,160707829,66559618,CCCCCCCCCCCCCCCC(=O)NS(=O)(=O)OC,Active,,,Potential missing data,Inhibition,%,Active
