PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0000054935 uM,Ratio-Activity at 0.0000109870 uM,Ratio-Activity at 0.0000219741 uM,Ratio-Activity at 0.0000439481 uM,Ratio-Activity at 0.0000878962 uM,Ratio-Activity at 0.0001757925 uM,Ratio-Activity at 0.0003515850 uM,Ratio-Activity at 0.0007031700 uM,Ratio-Activity at 0.00141 uM,Ratio-Activity at 0.00281 uM,Ratio-Activity at 0.00563 uM,Ratio-Activity at 0.011 uM,Ratio-Activity at 0.023 uM,Ratio-Activity at 0.045 uM,Ratio-Activity at 0.090 uM,Ratio-Activity at 0.180 uM,Ratio-Activity at 0.360 uM,Ratio-Activity at 0.720 uM,Ratio-Activity at 1.440 uM,Ratio-Activity at 2.880 uM,Ratio-Activity at 5.760 uM,Ratio-Activity at 11.52 uM,Ratio-Activity at 23.04 uM,Ratio-Activity at 46.08 uM,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0000054935 uM,W460-Activity at 0.0000109870 uM,W460-Activity at 0.0000219741 uM,W460-Activity at 0.0000439481 uM,W460-Activity at 0.0000878962 uM,W460-Activity at 0.0001757925 uM,W460-Activity at 0.0003515850 uM,W460-Activity at 0.0007031700 uM,W460-Activity at 0.00141 uM,W460-Activity at 0.00281 uM,W460-Activity at 0.00563 uM,W460-Activity at 0.011 uM,W460-Activity at 0.023 uM,W460-Activity at 0.045 uM,W460-Activity at 0.090 uM,W460-Activity at 0.180 uM,W460-Activity at 0.360 uM,W460-Activity at 0.720 uM,W460-Activity at 1.440 uM,W460-Activity at 2.880 uM,W460-Activity at 5.760 uM,W460-Activity at 11.52 uM,W460-Activity at 23.04 uM,W460-Activity at 46.08 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0000054935 uM,W530-Activity at 0.0000109870 uM,W530-Activity at 0.0000219741 uM,W530-Activity at 0.0000439481 uM,W530-Activity at 0.0000878962 uM,W530-Activity at 0.0001757925 uM,W530-Activity at 0.0003515850 uM,W530-Activity at 0.0007031700 uM,W530-Activity at 0.00141 uM,W530-Activity at 0.00281 uM,W530-Activity at 0.00563 uM,W530-Activity at 0.011 uM,W530-Activity at 0.023 uM,W530-Activity at 0.045 uM,W530-Activity at 0.090 uM,W530-Activity at 0.180 uM,W530-Activity at 0.360 uM,W530-Activity at 0.720 uM,W530-Activity at 1.440 uM,W530-Activity at 2.880 uM,W530-Activity at 5.760 uM,W530-Activity at 11.52 uM,W530-Activity at 23.04 uM,W530-Activity at 46.08 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,5.49352e-06,1.0987e-05,2.19741e-05,4.39481e-05,8.78962e-05,0.000175793,0.000351585,0.00070317,0.00140634,0.00281268,0.00562536,0.0112507,0.0225014,0.0450029,0.0900058,0.180012,0.360023,0.720046,1.44009,2.88018,5.76037,11.5207,23.0415,46.0829,,,,,,,,,,5.49352e-06,1.0987e-05,2.19741e-05,4.39481e-05,8.78962e-05,0.000175793,0.000351585,0.00070317,0.00140634,0.00281268,0.00562536,0.0112507,0.0225014,0.0450029,0.0900058,0.180012,0.360023,0.720046,1.44009,2.88018,5.76037,11.5207,23.0415,46.0829,,,,,,,,,,5.49352e-06,1.0987e-05,2.19741e-05,4.39481e-05,8.78962e-05,0.000175793,0.000351585,0.00070317,0.00140634,0.00281268,0.00562536,0.0112507,0.0225014,0.0450029,0.0900058,0.180012,0.360023,0.720046,1.44009,2.88018,5.76037,11.5207,23.0415,46.0829,
1,7973996,100492,COC1=C(C=C2C(=C1)C(=C3C(=C2O)COC3=O)C4=CC5=C(C=C4)OCO5)OC,Active,95,,,Inhibitor,0.0501,119.307,,Complete curve; high efficacy,-7.3,1.3443,0.9841,-107.872,11.4356,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-110.634,8.878,9.561,-6.8293,18.439,5.4634,23.9024,6.8293,12.2927,2.7317,17.7561,19.122,-9.561,-19.122,-46.439,-61.4634,-86.7317,-99.7073,-105.171,-107.902,-110.634,-105.171,-109.268,-108.585,-110.634,Complete curve; high efficacy,-7.1,1.2221,0.9223,-92.5365,5.5593,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-90.2304,9.762,-5.8064,-6.3774,26.4217,-11.4671,30.984,-6.7648,4.6045,-11.4358,15.1644,29.8319,-25.6392,-9.6731,-34.976,-39.461,-70.2218,-83.5532,-88.0075,-90.9944,-92.5563,-88.5119,-91.0219,-90.0949,-90.2304,Complete curve; partial efficacy,-7.1,1.6259,0.9397,40.1125,-2.5858,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,35.401,1.6065,-1.0028,-7.6289,-1.1898,-1.2899,-1.0769,4.6392,-7.9266,-10.5346,-1.7495,-6.5089,-0.9697,5.0572,13.1558,18.4685,24.7229,50.5791,41.5106,37.5023,33.9506,44.6039,37.4468,42.0386,35.401,QC'd by DPISMR
2,26755557,1760987,CC(=O)OC1=C2COC(=O)C2=C(C3=CC(=C(C=C31)OC)OC)C4=CC5=C(C=C4)OCO5,Active,95,,,Inhibitor,0.0398,119.526,,Complete curve; high efficacy,-7.4,1.2475,0.987,-105.731,13.7951,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-109.951,4.7805,18.439,10.9268,9.561,28,4.0976,4.7805,12.9756,21.1707,21.1707,4.0976,-6.8293,-31.4146,-54.6341,-78.5366,-86.0488,-98.3415,-101.073,-98.3415,-107.219,-107.902,-103.805,-101.756,-109.951,Complete curve; high efficacy,-7.3,1.4163,0.9445,-89.1336,4.6317,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-89.4357,-11.8379,23.1816,7.0129,-7.2257,19.0438,-22.3831,-6.8562,10.1737,18.783,19.9485,-5.4145,-6.0724,-16.5492,-44.0891,-63.7895,-68.9854,-83.7489,-87.5612,-86.7064,-90.2253,-92.612,-88.7254,-87.785,-89.4357,Complete curve; partial efficacy,-7.2,1.3443,0.9498,49.5796,-3.7208,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,45.913,0,-6.6324,-3.9738,-1.5365,1.8757,-2.1311,-20.7872,-3.2813,-2.3637,-3.1098,-0.9039,3.0062,11.9144,11.2699,30.0225,46.6296,42.7378,48.9011,37.5228,57.372,52.2313,45.5243,51.4546,45.913,QC'd by InterBioScreen
3,29216396,164791,CC(=O)O[C@@H]1[C@H]2COC(=O)[C@@H]2[C@@H](C3=CC4=C(C=C13)OCO4)C5=CC(=C(C(=C5)OC)OC)OC,Active,89,,,Inhibitor,0.7943,126.068,,Complete curve; high efficacy,-6.1,0.6,0.9686,-113.502,12.5659,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-102.439,2.7317,10.2439,23.2195,4.7805,6.1463,22.5366,12.2927,15.0244,-2.0488,15.7073,16.3902,-4.7805,1.3659,-1.3659,-22.5366,-23.2195,-42.3415,-41.6585,-55.3171,-74.439,-89.4634,-102.439,-88.0976,-102.439,Complete curve; high efficacy; poor fit,-5.8,0.8,0.883,-97.5182,3.978,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-88.3687,14.6951,-4.0003,-9.278,-9.8828,23.0959,-2.3093,-0.5844,25.2882,-0.7359,20.8941,0.5696,4.3788,-11.9466,-8.6822,16.5204,-38.5505,-14.3633,-19.8309,-48.6495,-61.2725,-75.1332,-80.4819,-84.3562,-88.3687,Complete curve; partial efficacy; poor fit,-6.2,0.4,0.8933,59.5219,-3.883,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,48.4544,-9.1087,-3.3276,-3.8815,0.1497,-10.4822,3.6434,1.3731,6.3688,3.4462,16.9875,-2.1295,-2.4278,-0.3379,8.4842,20.9886,30.3744,16.2697,28.7227,32.4803,38.6061,38.1496,53.431,43.1292,48.4544,QC'd by Microsource
4,26755555,2946213,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Br)O,Active,89,,,Inhibitor,0.7943,111.003,,Complete curve; high efficacy,-6.1,1.7885,0.9588,-110.33,0.6727,-1.1,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-109.951,-1.3659,-4.0976,38.2439,-0.6829,16.3902,21.8537,-8.878,0.6829,-12.2927,8.878,-15.7073,10.9268,6.8293,-14.3415,-12.9756,2.0488,-23.2195,-47.122,-73.7561,-105.171,-111.317,-106.537,-112.683,-109.951,Complete curve; high efficacy,-5.9,2.4064,0.9174,-95.8392,9.9062,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-92.2769,13.7156,11.095,21.7386,22.5161,3.0726,-23.7365,-6.6574,29.5155,16.4488,-4.5802,20.7093,23.1004,15.4521,-0.1042,13.7188,17.762,-19.4543,-2.5119,-58.9619,-88.7747,-94.3126,-92.0039,-91.628,-92.2769,Complete curve; partial efficacy; poor fit,-5.9,0.7,0.8607,68.8965,5.6182,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,57.1883,4.7832,5.6175,-14.1561,1.427,8.6614,7.674,4.2006,4.3138,2.6333,14.1179,8.2827,19.0328,21.8892,13.0824,10.7563,16.8075,16.1057,20.1815,50.0908,52.5386,66.8987,44.77,63.2435,57.1883,QC'd by Chembridge
5,7968167,5309260,CC1=CC2=C(C=C1)OC(=O)C3=C2N(N=C3)CC(=O)NC4=CC=CC=C4N5CCN(CC5)C,Active,87,,,Inhibitor,1.9953,111.186,,Complete curve; high efficacy,-5.7,1.6266,0.9802,-109.964,1.2218,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-112,0.6364,-1.9091,-0.6364,3.1818,4.4545,-1.9091,1.2727,1.2727,3.8182,7.6364,10.1818,-8.9091,-1.2727,1.2727,-13.3636,-1.9091,1.2727,-5.7273,-49,-68.0909,-88.4545,-100.546,-110.727,-112,Complete curve; high efficacy,-5.6,1.6604,0.9711,-100.219,-0.5287,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-99.3777,-5.6245,-3.5502,-0.2336,-1.7884,-0.2926,-0.959,1.1281,2.1383,3.6442,6.3661,6.0028,-13.5832,-0.7354,-3.2598,-13.0609,1.4803,3.6097,-1.6293,-41.2593,-57.3736,-73.3816,-94.4997,-98.6996,-99.3777,,,,,,,4,,14.187,-13.8575,-21.5465,-20.929,-12.7074,-18.2637,-13.1429,-11.2634,-14.1447,-11.0798,-15.779,-13.8842,-13.6034,-14.5522,-14.6196,-9.1006,-11.4066,-8.9719,-12.42,-8.6885,-0.6075,17.4157,20.1867,29.41,14.187,QC'd by DPISMR
