PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,160701578,66552950,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C2C(=CN=C3N)Br)O)O)CO,Active,,,,0.32,EC50,<,320,nM
2,160701578,66552950,C1=C([C@H]([C@H]([C@@H]1N2C=NC3=C2C(=CN=C3N)Br)O)O)CO,Active,,,,3.02,EC90,=,3.02,uM
3,336880340,118895044,C1=CN=C(C2=C1N(C=N2)C3=C[C@H]([C@@H]([C@@H]3O)O)CO)N,Active,,,,0.32,EC50,<,320,nM
4,336880340,118895044,C1=CN=C(C2=C1N(C=N2)C3=C[C@H]([C@@H]([C@@H]3O)O)CO)N,Active,,,,0.32,EC90,<,0.32,uM
5,336886330,118895042,C1=CN=C(C2=C1N(C=N2)C3=C[C@@H]([C@H]([C@H]3O)O)CO)N,Active,,,,0.32,EC50,<,320,nM
6,336886330,118895042,C1=CN=C(C2=C1N(C=N2)C3=C[C@@H]([C@H]([C@H]3O)O)CO)N,Unspecified,,,,74.1,EC90,=,74.1,uM
