PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,404672991,126618154,C1=CN(C(=O)NC1=O)[C@H]2C([C@@H]([C@H](O2)CO)O)(Br)Br,Inactive,,,Potential missing data,Activity,Not Active
2,404676269,145966123,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(Br)Br,Inactive,,,Potential missing data,Activity,Not Active
3,404676774,145966455,C1=NC(=C2C(=N1)N(C=N2)[C@H]3C([C@@H]([C@H](O3)CO)O)(Br)Br)N,Inactive,,,Potential missing data,Activity,Not Active
4,404676825,145966489,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H](C([C@@H](O1)N2C=CC(=NC2=O)N)(Br)Br)O)OC3=CC=CC=C3,Inactive,,,Potential missing data,Activity,Not Active
5,404683956,126618143,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H](C([C@@H](O1)N2C=CC(=O)NC2=O)(Br)Br)O)OC3=CC=CC=C3,Inactive,,,Potential missing data,Activity,Not Active
6,404688882,145974659,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H](C([C@@H](O1)N2C=NC3=C(N=CN=C32)N)(Br)Br)O)OC4=CC=CC=C4,Inactive,,,Potential missing data,Activity,Not Active
7,404690642,145975822,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H](C([C@@H](O1)N2C=NC3=C2N=C(NC3=O)N)(Br)Br)O)OC4=CC=CC=C4,Inactive,,,Potential missing data,Activity,Not Active
8,404694775,145978558,C1=NC2=C(N1[C@H]3C([C@@H]([C@H](O3)CO)O)(Br)Br)N=C(NC2=O)N,Inactive,,,Potential missing data,Activity,Not Active
