PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,440110677,155511106,CCN(CC)CCNC1=C2C(=NC=C1)C(=CC=N2)NCCN(CC)CC,Unspecified,,,,Ratio CC50/EC50,>,1.8
2,440121089,155518041,C1COCCN1CCCCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCCN6CCOCC6.Cl.Cl.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,=,30
3,440127927,155522402,C1COCCN1CCCCNC2=C3C(=NC=C2)C(=CC=N3)NCCCCN4CCOCC4,Unspecified,,,,Ratio CC50/EC50,>,11.2
4,440128722,155522896,C1COCCN1CCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCC(CN6CCOCC6)O.Cl.Cl.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,>,16.7
5,440141696,155531403,C1=CC2=C(C=CN=C2C3=C1C4=NC=CC(=C4C=C3)NCCCCN)NCCCCN.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,>,1
6,440148131,155535640,C1COCCN1CCNC2=C3C=CC4=C(C3=NC=C2)C=CC5=C(C=CN=C45)NCCN6CCOCC6.Cl.Cl.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,>,28.5
7,440156085,155540052,CN(C)CCOCCNC1=C2C=CC3=C(C2=NC=C1)C=CC4=C(C=CN=C34)NCCOCCN(C)C.Cl.Cl.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,=,2
8,440193883,155555234,CCN(CC)CCCNC1=C2C(=NC=C1)C(=CC=N2)NCCCN(CC)CC,Unspecified,,,,Ratio CC50/EC50,>,2
9,440204193,155559378,C1=CC2=NC=CC(=C2N=C1)NCCCCNC3=C4C=CC(=CC4=NC=C3)Cl,Unspecified,,,,Ratio CC50/EC50,>,8.7
10,440215629,155563916,CCN(CC)CCCNC1=C2C=CC3=C(C2=NC=C1)C=CC4=C(C=CN=C34)NCCN5CCOCC5.Cl.Cl.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,>,12.6
11,440219833,155565573,C1=CC2=C(C=CN=C2C3=C1C4=NC=CC(=C4C=C3)NCCCN)NCCCN.Cl.Cl.Cl.Cl,Unspecified,,,,Ratio CC50/EC50,>,1
12,440229090,155569213,CCN(CC)CCCC(C)NC1=C2C(=NC=C1)C(=CC=N2)NC(C)CCCN(CC)CC,Unspecified,,,,Ratio CC50/EC50,>,13
