PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,242407125,3779088,CN1CCN(CC1)CC(=O)NN(CC2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,13,%
2,504794046,12293582,C1COCCN1CC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,-1,%
3,504794131,12293583,C1COCCN1CCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,29,%
4,504796083,172440592,CCCCCC(=O)NN(CC1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,18,%
5,504799473,172442946,CCOC(=O)CCCCCCNCC(=O)NN(CC1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,30,%
6,504799592,172443024,C1=CC=C(C=C1)CCNCCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,61,%
7,504801033,27134850,C1CN(CCN1CC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,,Activity,=,8,%
8,504801948,172444648,CCOC(=O)CCCCCCNCC(=O)N(C1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,35,%
9,504802245,3763466,CCCCCC(=O)N(C1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,32,%
10,504802525,172445061,CCCCCC(=O)NN(C1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,67,%
11,504805036,172446793,COC(=O)C1CCN(CC1)CC(=O)NN(CC2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,24,%
12,504806208,172447621,CCOC(=O)CCCCCCNCC(=O)NN(C1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,51,%
13,504807422,142418519,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)CC3=CC=C(C=C3)Br,Unspecified,,,,Activity,=,36,%
14,504808063,172448919,C1=CC=C2C(=C1)C3=CC=CC=C3N2NC(=O)CCl,Unspecified,,,,Activity,<,75,%
15,504809368,172449817,CN(C)CC(=O)NN1C2=CC=CC=C2C3=CC=CC=C31,Unspecified,,,,Activity,<,75,%
16,504816345,172454643,CCOC(=O)CCCCCCNCCC(=O)NN(C1=CC=CC=C1)C2=CC=CC=C2,Unspecified,,,,Activity,=,53,%
17,504817815,172455668,CN(C)CCC(=O)NN1C2=CC=CC=C2C3=CC=CC=C31,Unspecified,,,,Activity,<,75,%
18,504820539,172457556,C1COCCN1CCNCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,27,%
19,504821385,172458140,C1CN(CCC1CCNCC(=O)N(C2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,Unspecified,,,,Activity,=,8,%
20,504822945,172459212,CCOC(=O)C1CCN(CC1)CC(=O)N(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,40,%
21,504826415,172461615,C1=CC=C(C=C1)N(C2=CC=CC=C2)NC(=O)CC3=CC=C(C=C3)Br,Unspecified,,,,Activity,=,73,%
22,504828267,172462893,CCOC(=O)C1CCN(CC1)CCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,24,%
23,504829033,172463410,C1CN(CCC1CCNCCC(=O)NN(CC2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,Unspecified,,,,Activity,<,75,%
24,504831747,172465301,C1COCCN1CCNCCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,42,%
25,504835000,68965428,C1=CC=C(C=C1)CCNCC(=O)N(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,38,%
26,504835373,27152675,CCOC(=O)C1CCN(CC1)CC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,47,%
27,504835502,172467996,C1=CC=C(C=C1)CN(C2=CC=CC=C2)NC(=O)CC3=CC=C(C=C3)Br,Unspecified,,,,Activity,=,32,%
28,504836466,172468663,CN1CCN(CC1)CCC(=O)NN(CC2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,<,75,%
29,504836522,172468708,CCOC(=O)C1CCN(CC1)CC(=O)NN(CC2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,15,%
30,504836562,172468738,C1CN(CCN1CCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,,Activity,=,70,%
31,504839230,12293581,C1CCN(CC1)CCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,60,%
32,504839402,172470709,C1=CC=C(C=C1)CCNCC(=O)NN(C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,Activity,=,10,%
