PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,124881348,5102,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015901-02/213244138,,Inhibitor,0.0968,110.7521,,91,Complete curve; high efficacy,-7.0141,0.4,0.9585,-90.6387,20.1135,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.3418,,,,,,-0.5984,12.2255,,-14.6837,,-25.8764,-28.406,,-47.9044,-57.1869,,-71.5825,-66.0577,,-73.2976,-88.3418,,,,QC'd by Microsource
2,26756900,5353422,CCC1C2(C(C(O1)(C(C(O2)/C=C/C=C/C=C/C3=C(C(=CC(=O)O3)OC)C)O)C)OC(=O)C)C,Active,89,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163515-01/213244144,,Inhibitor,0.1086,90.5992,,89,Complete curve; high efficacy,-6.9641,1.6924,0.9485,-72.6872,17.912,-1.1,1 0 0 0 0 0 0 0 0 0 0,-79.8329,,,,,,-17.7818,0.0894,,35.7286,,8.1707,-14.448,,-54.8824,-60.8271,,-70.2711,-73.7057,,-72.5773,-79.8329,,,,QC'd by BIOMOL
3,385219838,65452,CC[C@H]([C@H]1[C@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00167550-06/213244200,,Inhibitor,1.5744,127.8227,,88,Complete curve; high efficacy,-5.8029,0.4,0.9498,-118.3608,9.4618,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.876,,,,,,,6.4975,-5.0338,,-5.3335,,-22.1156,-41.6739,,-31.7036,-39.9182,,-60.0742,-88.1741,,-98.634,-96.876,,,QC'd by SIGMA
4,385219837,16667711,CC1C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00178679-02/213244193,,Inhibitor,1.2187,86.1705,,86,Complete curve; high efficacy,-5.9141,2.7202,0.9725,-90.9469,-4.7764,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.4274,,,,,,-9.8089,-8.0933,,-7.8767,,0.1487,7.7148,,-16.2932,-16.8832,,-78.3609,-84.776,,-86.7169,-98.4274,,,,QC'd by Microsource
5,90341111,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015735-08/213244216,,Inhibitor,2.1671,97.622,,86,Complete curve; high efficacy,-5.6641,2.3332,0.9531,-98.7797,-1.1577,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.1764,,,,,,15.0124,-13.8217,,-3.5656,,16.5889,-5.379,,-14.3591,-7.1533,,-51.2005,-93.5038,,-95.1896,-99.1764,,,,QC'd by SigmaAldrich
6,170466763,73828,COC(=O)C1=C(N=C(C(=N1)Cl)Cl)N,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253704-01/213244099,,Inhibitor,1.9314,79.7316,,85,Complete curve; high efficacy,-5.7141,3.99,0.9252,-80.3033,-0.5718,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.6926,,,,,,-8.3382,-2.1468,,10.3598,,-3.4471,-6.8138,,-9.3693,16.6589,,-48.271,-69.3734,,-73.0538,-97.6926,,,,QC'd by GVK
7,90340670,2545,CC12C3CCC(C1(C(=O)OC2=O)C)O3,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015266-08/213244228,,Inhibitor,3.8537,103.1315,,85,Complete curve; high efficacy,-5.4141,1.21,0.9424,-101.9682,1.1634,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.1225,,,,,,-17.3609,20.215,,8.103,,1.56,-7.7154,,-6.7454,-4.5931,,-37.1042,-62.0852,,-92.7842,-96.1225,,,,QC'd by SigmaAldrich
8,174006489,9858940,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,Active,84,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00165889-02/213244111,,Inhibitor,4.8516,89.0309,,84,Complete curve; high efficacy,-5.3141,4.9549,0.9517,-100.0743,-11.0434,-1.1,1 0 0 0 0 0 0 0 0 0 0,-99.2801,,,,,,-37.0029,-24.3257,,-9.8152,,-21.3663,-19.2301,,-22.5827,-14.9348,,-1.014,-84.4966,,-98.3359,-99.2801,,,,QC'd by Selleck
9,137276002,11282283,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263158-01/213244178,,Inhibitor,8.8536,95.0297,,83,Complete curve; high efficacy,-5.0529,1.331,0.9588,-103.5875,-8.5578,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.3844,,,,,,,-13.7645,-2.0495,,-15.1563,,-15.5243,-4.7234,,5.2953,-25.1049,,-34.8958,-66.9119,,-95.0331,-95.3844,,,QC'd by Selleck
