PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,124882897,73265389,C[C@H]1CCCC=CC2C[C@@H](C[C@@H]2[C@@H](C=CC(=O)O1)O)O,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017254-02/212313969,,Inhibitor,0.0193,163.4779,100,Complete curve; high efficacy,-7.7141,1,0.9508,-163.4779,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-159.6694,,,,,,3.8719,-14.4988,,-15.6154,,-111.2063,,-151.4721,-157.8816,,-154.2996,,-155.725,-162.1805,,-157.8044,,-159.6694,,,,QC'd by Tocris
2,124950713,10126189,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242514-01/212314710,,Inhibitor,0.0968,190.2374,100,Complete curve; high efficacy,-7.0141,1,0.9717,-190.2374,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-183.4732,,,,,,8.6309,-20.28,,-24.1501,,-24.6737,,-68.0069,-161.3987,,-179.239,,-178.5907,-181.4419,,-185.4165,,-183.4732,,,,QC'd by Selleck
3,137275830,53396328,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00182868-02/212315653,,Inhibitor,0.0385,169.4097,100,Complete curve; high efficacy,-7.4141,1,0.9141,-169.4097,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-161.569,,,,,,-0.5584,5.3146,,6.0954,,-42.8957,,-162.2542,-163.2078,,-161.8218,,-159.4539,-160.9278,,-160.1402,,-161.569,,,,QC'd by ChemAxon
4,137275906,57441923,C[C@@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@H]5C,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250405-01/212314191,,Inhibitor,0.0306,147.5042,100,Complete curve; high efficacy,-7.5141,1,0.9923,-147.5042,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-149.9026,,,,,,-10.0421,-10.236,,-42.783,,-60.0866,,-108.0938,-126.854,,-146.0616,,-143.596,-146.0706,,-146.8247,,-149.9026,,,,QC'd by Selleck
5,137275909,25167777,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250408-01/212314207,,Inhibitor,0.0172,133.0786,100,Complete curve; high efficacy,-7.7641,1,0.9585,-133.0786,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-131.1063,,,,,,6.5544,-18.2492,,-51.3442,,-80.1522,,-102.9679,-120.8387,,-122.3598,,-158.4269,-128.525,,-124.6246,,-131.1063,,,,QC'd by Sequoia
6,137276067,44599690,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263223-01/212314112,,Inhibitor,0.0432,158.9906,100,Complete curve; high efficacy,-7.3641,1,0.9358,-158.9906,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-156.5364,,,,,,-17.1453,-0.5439,,-11.9624,,-35.0391,,-143.9851,-133.3909,,-151.8511,,-149.5349,-160.5966,,-149.6616,,-156.5364,,,,QC'd by Cayman
7,174006442,25260757,CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346635-01/212314137,,Inhibitor,0.0153,128.8985,100,Complete curve; high efficacy,-7.8141,1,0.9919,-128.8985,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-129.8488,,,,,,-10.0072,-16.4126,,-54.5627,,-78.6275,,-102.1231,-119.9602,,-130.9944,,-129.8589,-129.6485,,-124.1528,,-129.8488,,,,QC'd by Selleck
8,174006456,44187953,CCN1C2=C(C(=NC(=N2)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C(=O)N5CCN(CC5)C)N6CCOCC6)N=N1,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346649-01/212314161,,Inhibitor,0.0306,161.5271,100,Complete curve; high efficacy,-7.5141,1,0.982,-136.409,25.118,-1.1,0 0 0 0 0 0 0 0 0 0 0,-137.0779,,,,,,13.6033,6.5129,,8.1598,,-49.5963,,-106.8652,-118.5274,,-126.78,,-133.9325,-128.0366,,-138.6271,,-137.0779,,,,QC'd by Selleck
9,174006464,51358113,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263216-02/212314206,,Inhibitor,0.0054,148.9966,100,Complete curve; high efficacy,-8.2641,1,0.9887,-148.9966,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-146.4822,,,,,,-30.1222,-50.5296,,-94.8767,,-120.9704,,-138.1813,-142.0084,,-147.0178,,-144.9499,-155.0364,,-157.1694,,-146.4822,,,,QC'd by Tocris
10,174006494,56965896,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346500-01/212314147,,Inhibitor,0.0611,148.5712,100,Complete curve; high efficacy,-7.2141,1,0.957,-148.5712,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-141.3428,,,,,,-4.7154,7.9929,,9.4605,,-28.6359,,-95.0827,-137.9746,,-142.0064,,-133.0446,-149.1678,,-146.7224,,-141.3428,,,,QC'd by Selleck
