PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,124881348,5102,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015901-02/213243988,,Inhibitor,0.0217,84.697,94,Complete curve; high efficacy,-7.6641,1.6259,0.991,-89.2442,-4.5472,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.5846,,,,,,-7.4272,-5.4069,,-18.2394,,-57.1805,-77.432,,-84.4514,-87.2102,,-87.28,-86.7442,,-91.0564,-96.5846,,,,QC'd by Microsource
2,174006556,204100,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346582-01/213243937,,Inhibitor,0.0153,107.8581,94,Complete curve; high efficacy,-7.8141,1.01,0.999,-85.0167,22.8414,-1.1,0 0 0 0 0 0 0 0 0 0 0,-86.3991,,,,,,15.1182,8.1278,,-15.5329,,-47.2117,-67.2991,,-77.539,-81.7898,,-84.7003,-84.9287,,-84.8089,-86.3991,,,,QC'd by Selleck
3,90340671,9951825,C1=CC=C(C(=C1)N)S/C(=C(\C(=C(/SC2=CC=CC=C2N)\N)\C#N)/C#N)/N,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094462-03/213243999,,Inhibitor,0.0685,105.9761,93,Complete curve; high efficacy,-7.1641,1.9282,0.9951,-101.0461,4.93,-1.1,0 0 0 0 0 0 0 0 0 0 0,-102.0668,,,,,,-3.4552,7.4878,,5.752,,-6.1647,-55.8229,,-87.8086,-101.3387,,-101.4609,-101.5751,,-101.7339,-102.0668,,,,QC'd by SigmaAldrich
4,124883112,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00017358-03/213243882,,Inhibitor,0.0306,101.7669,93,Complete curve; high efficacy,-7.5141,0.8,0.9888,-87.2669,14.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.6858,,,,,,9.444,2.6931,,-21.3104,,-24.973,-55.1165,,-73.5837,-81.2724,,-83.2318,-85.5312,,-85.3969,-88.6858,,,,QC'd by Timtec
5,174007463,14957,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00017338-05/213243900,,Inhibitor,0.0306,97.9598,93,Complete curve; high efficacy,-7.5141,2.0479,0.9965,-87.1884,10.7714,-1.1,0 0 0 0 0 0 0 0 0 0 0,-89.1496,,,,,,4.374,13.4351,,5.5349,,-30.1547,-73.1735,,-85.3719,-86.0396,,-88.7881,-87.6877,,-86.5121,-89.1496,,,,QC'd by SantaCruz Bio
6,385219838,65452,CC[C@H]([C@H]1[C@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00167550-06/213243974,,Inhibitor,0.1574,130.1462,92,Complete curve; high efficacy,-6.8029,0.5,0.9948,-107.9491,22.197,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.076,,,,,,,9.909,2.8969,,-13.7744,,-19.3493,-47.7556,,-59.8788,-73.3477,,-86.5291,-97.4538,,-100.6599,-101.076,,,QC'd by SIGMA
7,26756900,5353422,CCC1C2(C(C(O1)(C(C(O2)/C=C/C=C/C=C/C3=C(C(=CC(=O)O3)OC)C)O)C)OC(=O)C)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163515-01/213243918,,Inhibitor,0.1367,85.8332,91,Complete curve; high efficacy,-6.8641,3.5722,0.998,-90.3207,-4.4875,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.4997,,,,,,-7.4052,-5.0744,,-1.0341,,-4.5338,-15.6376,,-79.67,-87.716,,-90.0326,-89.5714,,-90.1036,-93.4997,,,,QC'd by BIOMOL
8,385219837,16667711,CC1C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00178679-02/213243891,,Inhibitor,0.1534,98.6195,91,Complete curve; high efficacy,-6.8141,3.6272,0.996,-97.0109,1.6086,-1.1,0 0 0 0 0 0 1 0 0 0 0,-100.4254,,,,,,6.8166,2.854,,-2.3352,,-3.1849,-3.8727,,-79.6633,-48.875,,-95.2605,-96.0482,,-97.6669,-100.4254,,,,QC'd by Microsource
9,144213997,4984721,C1=CC(=C(C=C1[N+](=O)[O-])O)N,Active,90,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091650-03/213243973,,Inhibitor,0.3955,100.4969,90,Complete curve; high efficacy,-6.4029,2.7202,0.9958,-102.1234,-1.6265,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.9196,,,,,,,-4.0793,-2.2921,,-5.2823,,6.5128,-10.9139,,-61.9037,-100.4316,,-101.4541,-101.5863,,-101.6889,-101.9196,,,QC'd by SIGMA
