PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,440109550,122601030,COC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=C(C=CC(=C3)Cl)O)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,13,%
2,440110006,122600866,COC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC=NC=C3)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,14,%
3,440110181,122600636,COC1=CC=C(C=C1)/C=C/C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,26,%
4,440110472,122600640,CC(=O)NC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,31,%
5,440111822,122600671,C1[C@@H](N(C(=O)CN1C(=O)CC2=CC=CC=C2)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,0,%
6,440112345,122600682,CC1=CC=C(C=C1)CN2[C@H](CN(CC2=O)C(=O)C3=CC=C(C=C3)OC)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,50,%
7,440112980,122600858,C1[C@@H](N(C(=O)CN1C(=O)C2=CC(=CC=C2)C(F)(F)F)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,2,%
8,440113165,122600847,C1[C@@H](N(C(=O)CN1C(=O)C2=CC=CC(=C2)C(=O)C3=CC=CC=C3)CC4=CC(=CC=C4)C(F)(F)F)CCC5=CC=CC=C5,Unspecified,,,,Inhibition,=,13,%
9,440113241,122600704,COC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC(=C(C=C3)OCC4=CC=CC=C4)OC)CCC5=CC=CC=C5,Unspecified,,,,Inhibition,=,33,%
10,440113587,122600941,COC1=CC=CC(=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,0,%
11,440113659,122600741,C1[C@@H](N(C(=O)CN1C(=O)CC2=CC=C(C=C2)C3=CC=CC=C3)CC4=CC(=CC=C4)C(F)(F)F)CCC5=CC=CC=C5,Unspecified,,,,Inhibition,=,19,%
12,440114028,122600981,C1[C@@H](N(C(=O)CN1C(=O)C2=CC=CC=C2C(F)(F)F)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,0,%
13,440114295,122600675,C1[C@@H](N(C(=O)CN1C(=O)CC2=CNC3=CC=CC=C32)CC4=CC(=CC=C4)C(F)(F)F)CCC5=CC=CC=C5,Unspecified,,,,Inhibition,=,13,%
14,440117789,122600872,COC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC(=CC=C3)C#N)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,0,%
15,440118177,122600931,CC[C@H](C)C(=O)N1C[C@@H](N(C(=O)C1)CC2=CC(=CC=C2)C(F)(F)F)CCC3=CC=CC=C3,Unspecified,,,,Inhibition,=,0,%
16,440118701,122600869,COC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC=C(C=C3)[N+](=O)[O-])CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,15,%
17,440120128,122600693,CC(C)C1=CC=C(C=C1)CN2[C@H](CN(CC2=O)C(=O)C3=CC=C(C=C3)OC)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,56,%
18,440121181,122600658,C1[C@@H](N(C(=O)CN1C(=O)C2=CC=C(C=C2)OC(F)(F)F)CC3=CC(=CC=C3)C(F)(F)F)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,18,%
19,440121306,122600691,COC1=CC=C(C=C1)C(=O)N2C[C@@H](N(C(=O)C2)CC3=CC=CC=C3OC)CCC4=CC=CC=C4,Unspecified,,,,Inhibition,=,61,%
20,440121550,122600644,C1[C@@H](N(C(=O)CN1C(=O)CCC2=CC3=C(C=C2)OCO3)CC4=CC(=CC=C4)C(F)(F)F)CCC5=CC=CC=C5,Unspecified,,,,Inhibition,=,16,%
