PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103680919,45267207,C1C(N(C(=O)CN1C(=O)C2=CC3=CC=CC=C3O2)CC4=CC(=CC=C4)C(F)(F)F)CC5=CC=CC=C5,Active,,,,1.8,IC50,=,1800,nM,
2,103680928,45267215,CC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC=C(C=C3)OC)CCC4=CC=CC=C4,Active,,,,0.4,IC50,=,400,nM,
3,103680929,45267216,CC1=CC=C(C=C1)CN2CCN(C[C@@H]2CC3=CC=CC=C3)C(=O)C4=CC5=CC=CC=C5O4,Active,,,,3.1,IC50,=,3100,nM,
4,103682618,45268058,COC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC4=CC=CC=C4S3)CCC5=CC=CC=C5,Active,,,,0.5,IC50,=,500,nM,
5,103682625,45268065,C1C(N(C(=O)CN1C(=O)C2=CC3=CC=CC=C3O2)CC4=CC=C(C=C4)Cl)CC5=CC=CC=C5,Active,,,,0.8,IC50,=,800,nM,
6,103682650,45268082,CC1=CC=C(C=C1)CN2[C@H](CN(CC2=O)CC3=CC4=CC=CC=C4O3)CC5=CC=CC=C5,Active,,,,10,IC50,=,10000,nM,
7,103684325,45268945,CC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC4=CC=CC=C4O3)CC5=CC=CC=C5,Active,,,,0.8,IC50,=,800,nM,
8,103684336,45268953,COC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC4=CC=CC=C4N3)CC5=CC=CC=C5,Active,,,,1.2,IC50,=,1200,nM,
9,103686111,45269798,C1C(N(C(=O)CN1C(=O)C2=CC3=CC=CC=C3S2)CC4=CC=C(C=C4)Cl)CC5=CC=CC=C5,Active,,,,2.1,IC50,=,2100,nM,
10,103686122,45269805,CC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC=C(C=C3)C)CCC4=CC=CC=C4,Active,,,,1.2,IC50,=,1200,nM,
11,103687933,45270632,COC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC4=CC=CC=C4O3)CC5=CC=CC=C5,Active,,,,0.6,IC50,=,600,nM,
12,103689569,45271448,CCC1CN(CC(=O)N1CC2=CC(=CC=C2)C(F)(F)F)C(=O)C3=CC4=CC=CC=C4N3,Active,,,,2.4,IC50,=,2400,nM,
13,103689570,45271449,COC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC4=CC=CC=C4N3)CCC5=CC=CC=C5,Active,,,,1.7,IC50,=,1700,nM,
14,103689590,45271454,CC1=CC=C(C=C1)CN2[C@H](CN(CC2=O)C(=O)C3=CC4=CC=CC=C4O3)CC5=CC=CC=C5,Active,,,,0.2,IC50,=,200,nM,
15,103691339,45272336,COC1=CC=C(C=C1)CN2C(CN(CC2=O)C(=O)C3=CC4=CC=CC=C4O3)CCC5=CC=CC=C5,Active,,,,1,IC50,=,1000,nM,
16,103691356,45272346,CCC1CN(CC(=O)N1CC2=CC(=CC=C2)C(F)(F)F)C(=O)C3=CC4=CC=CC=C4O3,Active,,,,1.6,IC50,=,1600,nM,
17,103693190,45273227,CC1=CC=C(C=C1)CN2[C@H](CNCC2=O)CC3=CC=CC=C3,Inactive,,,Potential missing data,,IC50,,,,Not Active
18,103693191,45273228,C1CN(C[C@@H](N1)CC2=CC=CC=C2)C(=O)C3=CC4=CC=CC=C4O3,Inactive,,,Potential missing data,,IC50,,,,Not Active
19,103693197,45273229,CC1=CC=C(C=C1)CN2[C@@H](CN(CC2=O)C(=O)C3=CC4=CC=CC=C4O3)CC5=CC=CC=C5,Active,,,,3,IC50,=,3000,nM,
