PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00295 uM,Activity at 0.015 uM,Activity at 0.074 uM,Activity at 0.369 uM,Activity at 1.843 uM,Activity at 9.217 uM,Activity at 46.08 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.00294931,0.0147465,0.0737327,0.368664,1.84332,9.21659,46.0829,
1,50106811,9829825,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@H]4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)O)CO)O)O)O)O,Active,93,,,Inhibitor,0.1,91.4516,,Complete curve; high efficacy,-7,2.4064,0.9938,-100.06,-8.6088,-1.1,0 0 0 0 0 0 0,-100.975,-13.954,-3.6364,-38.8952,-96.5189,-97.3287,-101.088,-100.975,QC'd by SigmaAldrich
2,50106243,3068143,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,Active,91,,,Inhibitor,0.1585,94.8285,,Complete curve; high efficacy,-6.8,1.2876,0.9931,-96.5999,-1.7714,-1.1,0 0 0 0 0 0 0,-97.2975,-8.0477,0.4164,-28.2549,-71.2794,-92.9647,-95.97,-97.2975,QC'd by SigmaAldrich
3,50106134,2733504,C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2.[Cl-],Active,91,,,Inhibitor,0.2512,111.567,,Complete curve; high efficacy,-6.6,0.8,0.9839,-100.642,10.9256,-1.1,0 0 0 0 0 0 0,-95.1599,8.0457,3.1721,-26.0804,-44.2103,-88.9086,-96.0077,-95.1599,QC'd by SigmaAldrich
4,50103918,5282230,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC,Active,87,,,Inhibitor,2.8184,96.8348,,Complete curve; high efficacy,-5.55,0.9,0.9668,-126.14,-29.3055,-1.1,0 0 0 0 0 0 0,-116.482,-30.9286,-19.234,-44.198,-41.0035,-66.4911,-105.172,-116.482,QC'd by SigmaAldrich
5,50105902,11957469,C[C@H]1CCC/C=C/C2C[C@@H](C[C@]2(C/C=C/C(=O)O1)O)O,Active,87,,,Inhibitor,1.122,90.8399,,Complete curve; high efficacy,-5.95,4.9549,0.9723,-90.8399,0,-1.1,0 0 0 0 0 0 0,-90.6482,-11.6538,-5.0503,1.7181,14.2948,-82.8004,-92.6296,-90.6482,QC'd by SigmaAldrich
